Handle,ObjType,Content,Layer,Extra
AF908C,BlockReference,"*U33",L-BD,0.9995569999999999
AF9091,BlockReference,"L-SECLBL",L-SECLBL,0.9995569999999999
AF90AD,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992911999999999
B1A1D0,MText,"Theor. S.E.1/4  Sec. 15-64-3-W.6M.",C-SYMBOL,19.991139999999998
B1AA1E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,8.99606421000004
B1AA96,DBText,"Theoretic Government Road Allowance",L-ROAD-T,8.99606421000004
B1AB7C,BlockReference,"*U20",DETAIL-T,0.9995626900000023
B1B140,MText,"L.S. 7",L-SECTION-LSD,10.000000000000052
B1B142,MText,"L.S. 2",L-SECTION-LSD,10.000000000000052
B1B144,MText,"L.S. 1",L-SECTION-LSD,10.000000000000052
B1B145,MText,"L.S. 8",L-SECTION-LSD,10.000000000000052
B1B4A6,AlignedDimension,"Hammerhead  P/L R/W  230446",F-RW-T,Compass 5 000
B1B4A7,AlignedDimension,"Hammerhead  P/L R/W  230366",F-RW-T,Compass 5 000
B1B4A8,AlignedDimension,"Hammerhead  P/L R/W  230178",F-RW-T,Compass 5 000
B1B4A9,MText,"Hammerhead Battery Site MLL 220159",F-WS-T,10.000000000000052
B1B4AA,AlignedDimension,"PGI  P/L R/W  151384",F-RW-T,Compass 5 000
B1B4AB,AlignedDimension,"PGI  P/L R/W  190452",F-RW-T,Compass 5 000
B1B4AC,AlignedDimension,"CNRL   P/L R/W  042 1616  991456",F-RW-T,Compass 5 000
B1B4AD,AlignedDimension,"CNRL  P/L R/W  042 1618  991454",F-RW-T,Compass 5 000
B1B4AE,MText,"CNRL Riser Site PIL 000134",F-WS-T,10.000000000000052
B1B4B0,AlignedDimension,"Hammerhead  Water Line R/W  200508",F-AR-T,Compass 5 000
B1B5E5,AlignedDimension,"Hammerhead  A/R  170293",F-AR-T,Compass 5 000
B1B632,AlignedDimension,"Hammerhead  A/R  232072",F-AR-T,Compass 5 000
B1B79B,MText,"Hammerhead 8-15 (Surface) MSL 231649",F-WS-T,10.000000000000052
B1BB05,BlockReference,"*U31",P-TEMP-BLOCKS,1
B1C178,BlockReference,"*U32",DETAIL-T,0.9995569999999999
B1C69B,MText,"Bog",WETLAND-T,10.000000000000115
B1C69F,MText,"Marsh",WETLAND-T,10.000000000000115
B1C6A1,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6A5,MText,"Marsh",WETLAND-T,10.000000000000115
B1C6A7,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6A9,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6AB,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6AD,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6AF,MText,"Ephemeral Drainage",WETLAND-T,10.000000000000115
B1C6B1,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6B3,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6B5,MText,"Marsh",WETLAND-T,10.000000000000115
B1C6B7,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6B9,MText,"Swamp",WETLAND-T,10.000000000000115
B1C6BB,MText,"Fen",WETLAND-T,10.000000000000115
B1C6CB,MText,"Marsh",WETLAND-T,10.000000000000115
B1C6CF,MText,"Marsh",WETLAND-T,10.000000000000115
B1C6D1,MText,"Marsh",WETLAND-T,10.000000000000115
B1C6D3,MText,"Stream",WETLAND-T,10.000000000000115
B1C6EC,MText,"Cutblock",T-TEXT,9.995626900000044
B1C6ED,MText,"Cutblock",T-TEXT,9.995626900000044
B1C6EE,MText,"Open Water",T-WATER-T,10.000000000000115
B1C6F1,MText,"Open Water",T-WATER-T,10.000000000000115
B1C6F5,MText,"Open Water",T-WATER-T,10.000000000000115
B1C6F8,MText,"Open Water",T-WATER-T,10.000000000000115
B1C6FB,MText,"30cm Spruce",T-BUSH-T,9.995441314431895
B1C6FD,MText,"30cm Spruce",T-BUSH-T,9.995441314431895
B1C6FF,MText,"Marsh",WETLAND-T,10.000000000000115
B1C701,MText,"Intermittent Stream",WETLAND-T,10.000000000000115
B1C703,MText,"Marsh",WETLAND-T,10.000000000000115
B1C705,MText,"Ephemeral Drainage",WETLAND-T,10.000000000000115
B1C708,MText,"Marsh",WETLAND-T,10.000000000000115
B1C70A,MText,"Swamp",WETLAND-T,10.000000000000115
B1C720,MText,"Marsh",WETLAND-T,10.000000000000117
B1C722,MText,"Swamp",WETLAND-T,10.000000000000117
B1C73F,MText,"30cm Spruce",T-BUSH-T,9.995626900000042
B1C740,MText,"30cm Spruce",T-BUSH-T,9.995626900000042
B1C776,BlockReference,"*U34",AS-WILDLIFE-BLOCK,0.9995626900000016
B28295,MText,"SEE BP1  DETAIL",DETAIL-T,15.992911999999999
B282C0,MText,"DETAIL BP1 NOT TO SCALE",DETAIL-T,19.991139999999998
B2B628,BlockReference,"Disclaimer_Legal",C-AR,0.3
