Handle,ObjType,Content,Layer,Extra
BCB6B5,AlignedDimension,"Fortis  Power Line R/W  940189",F-EZE-T,Compass 5 000
BCBEF6,AlignedDimension,"Paramount  A/R  831",F-AR-T,Compass 5 000
BCBF1E,AlignedDimension,"Tourmaline  A/R LOC 122761",F-AR-T,Compass 5 000
BCBF4F,AlignedDimension,"PGI  A/R  200351",F-AR-T,Compass 5 000
BCC78A,MText,"Tourmaline 10-16 (Surface) MSL 053656",F-AR-T,9.99404
BCC78C,MText,"Tourmaline Riser Site PIL 061024",F-RW-T,9.99404
BCCFAD,MText,"Tourmaline Riser Site PIL 080309",F-RW-T,9.99404
BCCFAF,MText,"Paramount Riser Site PIL 140817",F-RW-T,9.99404
BCD7D3,AlignedDimension,"Tourmaline  P/L R/W  072 6624  061663",F-RW-T,Compass 5 000
BCE030,AlignedDimension,"Tourmaline  P/L R/W Plan 082 5340  071382",F-RW-T,Compass 5 000
BCE04F,AlignedDimension,"Tourmaline  P/L R/W  130236",F-RW-T,Compass 5 000
BCE8E6,AlignedDimension,"Paramount  P/L R/W  131327",F-RW-T,Compass 5 000
BCE90E,AlignedDimension,"PGI   P/L R/W  882 2328  870517",F-RW-T,Compass 5 000
BCF165,AlignedDimension,"Tourmaline  P/L R/W  932 1333  920662",F-RW-T,Compass 5 000
BD0A09,AlignedDimension,"Tourmaline  P/L R/W  932 1333  920662",F-RW-T,Compass 5 000
BD0A3C,AlignedDimension,"Tourmaline  P/L R/W  922 1992  920664",F-RW-T,Compass 5 000
BD1293,AlignedDimension,"Paramount  P/L R/W  962 4093  940588",F-RW-T,Compass 5 000
BD12C7,AlignedDimension,"Tourmaline  P/L R/W Plan 952 0097  941051",F-RW-T,Compass 5 000
BD1B16,AlignedDimension,"Fortis  Power Line R/W  930111",F-EZE-T,Compass 5 000
BD2358,AlignedDimension,"Paramount  A/R  041829",F-AR-T,Compass 5 000
BD2374,AlignedDimension,"PGI  A/R  200351",F-AR-T,Compass 5 000
BD2BD5,AlignedDimension,"Paramount  A/R  780448",F-AR-T,Compass 5 000
BD2BFC,MText,"Paramount 10-20 (Surface) MSL 043100",F-AR-T,9.99404
BD2BFD,AlignedDimension,"Paramount  P/L R/W  062 7799  051485",F-RW-T,Compass 5 000
BD343E,AlignedDimension,"Paramount  P/L R/W  832 1065  800796",F-RW-T,Compass 5 000
BD3481,AlignedDimension,"Tourmaline  P/L R/W  832 2968  830502",F-RW-T,Compass 5 000
BD3CC5,AlignedDimension,"Paramount  P/L R/W  882 1720  870643",F-RW-T,Compass 5 000
BD3CFF,AlignedDimension,"PGI  P/L R/W  922 1077  910724",F-RW-T,Compass 5 000
BD455E,AlignedDimension,"Paramount  P/L R/W Plan 982 2880  981394",F-RW-T,Compass 5 000
BD4586,MText,"West Fraser Surface Materials SME 220046 (Expired)",F-AR-T,9.99404
BD4DAE,MText,"Tourmaline Surface Materials SML 880040",F-AR-T,9.99404
BD4DB3,MText,"A. Gering Ranching Surface Materials SML 900051",F-AR-T,9.99404
BD55E0,AlignedDimension,"Paramount  P/L R/W  962 4093  940588",F-RW-T,Compass 5 000
BD5611,AlignedDimension,"PGI   P/L R/W  882 2328  870517",F-RW-T,Compass 5 000
BD5639,AlignedDimension,"Tourmaline  P/L R/W  922 1992  920664",F-RW-T,Compass 5 000
BD5661,AlignedDimension,"PGI  A/R  200351",F-AR-T,Compass 5 000
BD5688,AlignedDimension,"Fortis  Power Line R/W  940189",F-EZE-T,Compass 5 000
BD67FE,AlignedDimension,"West Fraser  A/R  010204",F-AR-T,Compass 5 000
BD681C,AlignedDimension,"West Fraser  A/R  010204",F-AR-T,Compass 5 000
BD683A,AlignedDimension,"Paramount  P/L R/W Plan 832 1065  800796",F-RW-T,Compass 5 000
BD708D,AlignedDimension,"Paramount  P/L R/W  832 1689  800797",F-RW-T,Compass 5 000
BD70D9,AlignedDimension,"Fortis  Power Line R/W  940189",F-EZE-T,Compass 5 000
