Handle,ObjType,Content,Layer,Extra
BC4A59,BlockReference,"L-SECLBL",L-SECLBL,0.999466
BC4A5F,MText,"L.S. 1",L-SECTION-LSD,9.989303661822232
BC4A60,MText,"L.S. 2",L-SECTION-LSD,9.989303661822232
BC4A62,MText,"L.S. 8",L-SECTION-LSD,9.989303661822232
BC4A63,MText,"L.S. 7",L-SECTION-LSD,9.989303661822232
BC4AE2,DBText,"Theor. S.E.1/4",C-SYMBOL,19.978607323644443
BC4AE3,DBText,"Sec. 24-62-20-W.5M.",C-SYMBOL,19.978607323644443
BC4AE4,MText,"Rge. 20",D-TXT,13.985025126551113
BC4AE5,MText,"Rge. 19",D-TXT,13.985025126551113
BC4B12,DBText,"Theor. N.E.1/4",C-SYMBOL,19.978607323644443
BC4B14,MText,"L.S. 9",L-SECTION-LSD,9.99465040000013
BC4B16,MText,"L.S. 10",L-SECTION-LSD,9.99465040000013
BC4B18,MText,"L.S. 16",L-SECTION-LSD,9.99465040000013
BC4B1A,MText,"L.S. 15",L-SECTION-LSD,9.99465040000013
BC4B1C,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.99465040000013
BC4B1D,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.99465040000013
BC4B1E,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.99465040000013
BC4B1F,MText,"Rge. 20",D-TXT,13.985025126551113
BC4B20,MText,"Rge. 19",D-TXT,13.985025126551113
BC4B4F,BlockReference,"HRV",CG-NOTES,0.9989303661822149
BC4B53,BlockReference,"HRV",CG-NOTES,0.9989303661822149
BC4B57,AlignedDimension,"Veren  A/R  232212",C-AR-T,Compass 5 000
BC4B58,AlignedDimension,"Veren  P/L R/W  240720",C-AR-T,Compass 5 000
BC4B59,MText,"Veren 7-24 (Surface) MSL 240995",C-WS-T,9.989303661822229
BC4B5B,AlignedDimension,"Paramount  A/R  981548",F-AR-T,Compass 5 000
BC4B5C,AlignedDimension,"Razor  A/R  930440",F-AR-T,Compass 5 000
