Handle,ObjType,Content,Layer,Extra
AF43FE,BlockReference,"L-SECLBL",L-SECLBL,0.9998309999999999
AF4C9F,MText,"L.S. 1",L-SECTION-LSD,9.998310000000027
AF4CA0,MText,"L.S. 2",L-SECTION-LSD,9.998310000000027
AF4CA2,MText,"L.S. 8",L-SECTION-LSD,9.998310000000027
AF4CA3,MText,"L.S. 7",L-SECTION-LSD,9.998310000000027
AF4CAB,MText,"L.S. 9",L-SECTION-LSD,9.998310000000027
AF4CAD,MText,"L.S. 10",L-SECTION-LSD,9.998310000000027
AF4CAF,MText,"L.S. 16",L-SECTION-LSD,9.998310000000027
AF4CB1,MText,"L.S. 15",L-SECTION-LSD,9.998310000000027
AF4CB4,MText,"Theor. N.E.1/4  Sec. 33-63-13-W.6M.",C-SYMBOL,19.996620000000053
AF4CBA,MText,"Theor. S.E.1/4  Sec. 33-63-13-W.6M.",C-SYMBOL,19.996620000000053
AF57E4,BlockReference,"*U21",AS-SURFACE IMPACT,1
AF5825,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.997296000000048
AF5827,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.997296000000048
AF5840,BlockReference,"*U21",AS-SURFACE IMPACT,1
AF59DC,AlignedDimension,"CNRL  A/R  013373",C-AR-T,Compass 5 000
AF5A00,MText,"CNRL 8-33 (Surface) MSL 052677",C-WS-T,9.998310000000025
AF5A01,MText,"CNRL 2-4 (Surface) MSL 100017",C-WS-T,9.998310000000025
AF5BA6,AlignedDimension,"CNRL  P/L R/W  072 1155  051873",C-RW-T,Compass 5 000
AF5BFA,AlignedDimension,"CNRL  P/L R/W  112 5003  090914",C-RW-T,Compass 5 000
AF5C26,AlignedDimension,"CNRL  P/L R/W  100508",C-RW,Compass 5 000
AF6536,AlignedDimension,"CNRL  A/R  013373",C-AR-T,Compass 5 000
AF6566,AlignedDimension,"CNRL  P/L R/W  072 1155  051873",C-RW-T,Compass 5 000
AF6592,AlignedDimension,"CNRL  A/R  051744",C-AR-T,Compass 5 000
AF65C3,MText,"CNRL Camp Site DML 110087",C-WS-T,9.998310000000023
AF6752,MText,"CNRL 8-33 (Surface) MSL 090374",C-RW-T,9.998310000000023
AF6753,MText,"CNRL Riser Site PIL070596",C-WS-T,9.998310000000023
AF690B,AlignedDimension,"CNRL  P/L R/W  070054",C-RW-T,Compass 5 000
AF6983,AlignedDimension,"CNRL  P/L R/W  112 5003  090914",C-RW-T,Compass 5 000
AF6B54,AlignedDimension,"CNRL  P/L R/W  091435",C-RW-T,Compass 5 000
AF6C28,AlignedDimension,"CNRL  P/L R/W  053740",C-RW-T,Compass 5 000
AF6DFB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998310000000021
AF6DFC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998310000000021
AF6E02,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998310000000023
AFC670,DBText,"RP",35,10.000000000000043
AFC868,BlockReference,"*U33",AS-WILDLIFE-BLOCK,1
AFC88E,BlockReference,"*U33",AS-WILDLIFE-BLOCK,1
AFC8A9,BlockReference,"GAS",C-WS-S,5.000000000000021
AFC8AA,BlockReference,"GAS",C-WS-S,5.000000000000021
AFC8AB,MText,"Edmonton Office -  Forestry Division Dept. CLR170014",F-WS-T,9.99831000000002
AFD700,BlockReference,"*U35",AS-OWNER,1
AFD72D,BlockReference,"*U34",AS-OWNER,1
B04B60,MText,"Twp. 63",D-TXT,14.00000000000005
B04B61,MText,"Twp. 64",D-TXT,14.00000000000005
B058B9,AlignedDimension,"CNRL  P/L R/W  100508",C-RW,Compass 5 000
B058EA,AlignedDimension,"CNRL  P/L R/W  090912",C-RW-T,Compass 5 000
B08C97,AlignedDimension,"CNRL  P/L R/W  131365",C-RW,Compass 5 000
B1A042,BlockReference,"*U42",P-TEMP-BLOCKS,0.9998309999999999
B1A057,BlockReference,"*U40",P-TEMP-BLOCKS,0.9998309999999999
B1A06E,BlockReference,"*U41",P-TEMP-BLOCKS,0.9998309999999999
