Handle,ObjType,Content,Layer,Extra
BC7330,BlockReference,"A$C13A22376",AS-ROADS,1
BC736D,BlockReference,"L-SECLBL",L-SECLBL,0.9996419999999928
BC738F,MText,"Wooded  Coniferous Fen",WETLAND-T,9.996329999999938
BC7391,MText,"Wooded  Coniferous Fen",WETLAND-T,9.996329999999938
BC7393,MText,"Wooded  Marsh Swamp",WETLAND-T,9.996329999999938
BC7395,DBText,"N.E.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.99283999999986
BC7396,DBText,"Temporary Workspace = 0.065 ha  0.16 Ac.",L-AREAWORK,10.99606199999993
BC7397,DBText,"Government Road Allowance",L-ROAD-T,9.996419999999928
BC7398,DBText,"Government Road Allowance",L-ROAD-T,9.99641999999993
BC7399,DBText,"N.W.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.99283999999986
BC73B2,MText,"IPC Workspace RTF2313964",T-EXISTING TFA-T,9.996329999999897
BC73B9,AlignedDimension,"Inter Pipeline  2314567",T-EXISTING TFA-T,Compass 5 000
BC73BB,MText,"Inter Pipeline Workspace RTF 2314568",T-EXISTING TFA-T,9.99641999999992
BC73BE,AlignedDimension,"IPC",T-EXISTING TFA-T,Compass 5 000
BC73CB,MText,"IPC Sewage Disposal RTF 242013",T-EXISTING TFA-T,9.999999999999963
BC73CD,MText,"IPC Waste Water RTF 242012",T-EXISTING TFA-T,9.996398269999968
BC73D8,MText,"IPC Workspace RTF 243509",T-EXISTING TFA-T,9.999999999999963
BC73DC,MText,"IPC Temp. Access RTF 243757",T-EXISTING TFA-T,9.999999999999963
BC73E8,MText,"Transcanada Workspace RTF 243288",T-EXISTING TFA-T,10.000000000000002
BC73EB,MText,"Transcanada Workspace RTF 243288",T-EXISTING TFA-T,10.000000000000002
BC73F5,MText,"Transcanada Workspace RTF 243263",T-EXISTING TFA-T,10.000000000000002
BC75D5,BlockReference,"HRV",CG-NOTES,0.9996419999999928
BC75D9,MText,"Rge. 18",D-TXT,13.994957577999973
BC75DA,MText,"Rge. 17",D-TXT,13.994957577999973
BC75E2,AlignedDimension,"IPC  A/R  091364",C-AR-T,Compass 5 000
BC75E3,AlignedDimension,"IPC  A/R  091363",C-AR-T,Compass 5 000
BC75E4,AlignedDimension,"IPC  A/R MSL 120977",C-AR-T,Compass 5 000
BC75E5,AlignedDimension,"IPC  A/R  231931",C-AR-T,Compass 5 000
BC75E6,AlignedDimension,"IPC  A/R  241267",C-AR-T,Compass 5 000
BC75E7,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
BC75E8,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
