Handle,ObjType,Content,Layer,Extra
AF334E,DBText,"RP",35,9.999999999999975
AF368D,BlockReference,"L-SECLBL",L-SECLBL,0.999667
AF3697,MText,"L.S. 9",L-SECTION-LSD,9.99666999999998
AF3699,MText,"L.S. 10",L-SECTION-LSD,9.99666999999998
AF369B,MText,"L.S. 16",L-SECTION-LSD,9.99666999999998
AF369D,MText,"L.S. 15",L-SECTION-LSD,9.99666999999998
AF369F,DBText,"Theor. N.E.1/4 Sec. 14-79-8-W.5M.",C-SYMBOL,19.993339999999957
AF416B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996669999999977
AF436A,BlockReference,"*U20",L-SECLBL,0.999667
AF438C,AlignedDimension,"CNRL  A/R  3665",C-WS-T,Compass 5 000
AF4556,AlignedDimension,"CNRL  A/R  851785",C-WS-T,Compass 5 000
AF4E78,MText,"CNRL 10-14 (Surface) MSL 851785",C-WS-T,9.99667
AF4E79,AlignedDimension,"CNRL  P/L R/W  032 2997  022706",C-RW-T,Compass 5 000
AF4EE4,AlignedDimension,"CNRL  P/L R/W  862 1887  850942",C-RW-T,Compass 5 000
AF50A3,AlignedDimension,"CNRL  P/L R/W  862 1640  850964",C-RW-T,Compass 5 000
AF59C4,AlignedDimension,"CNRL  P/L R/W  8706",C-RW-T,Compass 5 000
AF62F9,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994671999999962
AF75CE,BlockReference,"*U27",AS-WILDLIFE-BLOCK,0.999667
AF77E8,BlockReference,"GAS",C-WS-S,4.998334999999992
AF77E9,BlockReference,"GAS",C-WS-S,4.998334999999992
B01001,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999667
B01007,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999667
B01013,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999667
B01019,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999667
B0101F,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999667
B0102E,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999667
B01034,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999667
B01530,MText,"SEE DETAIL",DETAIL-T,15.994671999999984
B018FA,BlockReference,"*U28",P-TEMP-BLOCKS,0.999667
B01A4B,BlockReference,"*U33",P-TEMP-BLOCKS,0.999667
B01A60,BlockReference,"*U29",P-TEMP-BLOCKS,0.999667
B01A75,BlockReference,"*U35",P-TEMP-BLOCKS,0.999667
B01A8A,BlockReference,"*U28",P-TEMP-BLOCKS,0.999667
B022A1,BlockReference,"*U32",P-TEMP-BLOCKS,0.999667
B02423,BlockReference,"*U30",P-TEMP-BLOCKS,0.999667
B02438,BlockReference,"*U34",P-TEMP-BLOCKS,0.999667
B0244D,BlockReference,"*U31",P-TEMP-BLOCKS,0.999667
B02462,BlockReference,"*U32",P-TEMP-BLOCKS,0.999667
B02E2E,BlockReference,"*U32",P-TEMP-BLOCKS,0.999667
B02E43,BlockReference,"*U48",P-TEMP-BLOCKS,0.999667
B02E58,BlockReference,"*U30",P-TEMP-BLOCKS,0.999667
B02E6D,BlockReference,"*U30",P-TEMP-BLOCKS,0.999667
B19C83,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996669999999991
