Handle,ObjType,Content,Layer,Extra
BB2134,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996630000000083
BB2E3C,MText,"CNRL 12-6 (Surface) MSL 062715",C-WS-T,9.996630000000083
BB5079,MText,"Rge. 8",D-TXT,13.99528200000009
BB507A,MText,"Rge. 9",D-TXT,13.99528200000009
C026AE,BlockReference,"*U22",DETAIL-T,0.999663
C0270E,BlockReference,"*U21",P-TEMP-BLOCKS,0.999663
C02738,AlignedDimension,"CNRL  A/R  790602",C-AR-T,Compass 5 000
C0273A,AlignedDimension,"CNRL  A/R  033385",C-AR-T,Compass 5 000
C0273B,AlignedDimension,"CNRL  A/R  091192",C-AR-T,Compass 5 000
C0273C,AlignedDimension,"CNRL  A/R  091194",C-AR-T,Compass 5 000
C0273F,AlignedDimension,"CNRL  P/L R/W  022 2188  010077",C-RW-T,Compass 5 000
C02744,AlignedDimension,"CNRL  P/L R/W PLA 091194",C-RW-T,Compass 5 000
C02745,AlignedDimension,"CNRL  P/L R/W  091200",C-RW-T,Compass 5 000
C02749,MText,"CNRL 15-1 (Surface) MSL 091192",C-WS-T,9.9966300000001
C0274B,MText,"CNRL 10-1 (Surface) MSL 091194",C-WS-T,9.9966300000001
C0274D,MText,"CNRL Riser Site PIL 090417",C-WS-T,9.9966300000001
C05DC9,BlockReference,"L-SECLBL",L-SECLBL,0.999663
C05E0F,MText,"SEE DETAIL",DETAIL-T,15.994608000000095
C071ED,MText,"Grizzly Bear Secondary Access Management Boundary",AS-WILDLIFE,10.00000000000002
C071F5,MText,"Grizzly Bear Core Access Management Boundary",AS-WILDLIFE,10.00000000000002
C27A04,BlockReference,"GAS",C-WS-S,5.00000000000001
C50C19,MText,"DETAIL NOT TO SCALE",DETAIL-T,19.993260000000067
C50C1B,BlockReference,"*U21",P-TEMP-BLOCKS,0.999663
C50C32,DBText,"RP",35,10.000000000000016
C50D87,MText,"Theor. N.E.1/4 Sec. 1-65-9-W.6M.",C-SYMBOL,19.993380000000005
C50D8F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994608000000039
C50D91,MText,"L.S. 9",L-SECTION-LSD,9.996690000000003
C50D93,MText,"L.S. 10",L-SECTION-LSD,9.996690000000003
C50D95,MText,"L.S. 16",L-SECTION-LSD,9.996690000000003
C50D97,MText,"L.S. 15",L-SECTION-LSD,9.996690000000003
C5129B,AlignedDimension,"CNRL  A/R  062715",C-AR-T,Compass 5 000
C512D4,BlockReference,"GAS",C-WS-S,5.00000000000001
C512D5,BlockReference,"GAS",C-WS-S,5.00000000000001
C54447,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.3
