Handle,ObjType,Content,Layer,Extra
AF7EFE,DBText,"Government Road Allowance",L-ROAD-T,9.996329999999622
AF7EFF,MText,"Rge. 18",D-TXT,13.994861999999449
AF7F00,MText,"Rge. 17",D-TXT,13.994861999999449
AF7F02,MText,"L.S. 10",L-SECTION-LSD,9.996329999999622
AF7F0E,MText,"Wooded Coniferous Fen",WETLAND-T,9.992571380729622
AF8109,MText,"L.S. 9",L-SECTION-LSD,9.996329999999622
AF813D,BlockReference,"GAS",C-WS-S,4.998164999999811
AF835A,BlockReference,"GAS",C-WS-S,4.998164999999811
AF835B,BlockReference,"GAS",C-WS-S,4.998164999999811
AF835C,BlockReference,"GAS",C-WS-S,4.998164999999811
AF835E,BlockReference,"GAS",C-WS-S,4.998164999999811
AF835F,BlockReference,"GAS",C-WS-S,4.998164999999811
AF8360,BlockReference,"GAS",C-WS-S,4.998164999999811
AF8361,BlockReference,"GAS",C-WS-S,4.998164999999811
AF8362,BlockReference,"GAS",C-WS-S,4.998164999999811
AF8363,BlockReference,"GAS",C-WS-S,4.998164999999811
AF8368,BlockReference,"GAS",C-WS-S,4.998164999999811
AF8387,BlockReference,"Gabd",C-WS-S,4.998164999999811
AF8388,MText,"10-25 (Abd.)",C-WS-T,9.996329999999622
AF8389,BlockReference,"GAS",C-WS-S,4.998164999999811
AF838A,BlockReference,"GAS",C-WS-S,4.998164999999811
AF838B,BlockReference,"GAS",C-WS-S,4.998164999999811
AF838C,BlockReference,"GAS",C-WS-S,4.998164999999811
AF838D,BlockReference,"GAS",C-WS-S,4.998164999999811
AF838E,BlockReference,"GAS",C-WS-S,4.998164999999811
AF839F,MText,"L.S. 15",L-SECTION-LSD,9.996329999999622
AF83A1,MText,"L.S. 16",L-SECTION-LSD,9.996329999999622
AF83A5,BlockReference,"*U46",AS-SURFACE IMPACT,1
AF83B5,MText,"N.E.1/4 Sec. 25 76-18-W.4M.",C-SYMBOL,19.992659999999244
AF83B6,MText,"Wooded Marsh Swamp",WETLAND-T,9.992571380729622
AF83BA,BlockReference,"L-SECLBL",L-SECLBL,0.999633
AF8412,AlignedDimension,"IPC  A/R  973143",C-AR-T,Compass 5 000
AF8413,AlignedDimension,"IPC  A/R MSL 120977",C-AR-T,Compass 5 000
AF8414,AlignedDimension,"IPC  A/R  091363  be Amended)",C-AR-T,Compass 5 000
AF8415,AlignedDimension,"IPC  A/R  090344",C-AR-T,Compass 5 000
AF8416,AlignedDimension,"IPC  A/R  090345  be Amended)",C-AR-T,Compass 5 000
AF8417,AlignedDimension,"IPC  A/R  231112",C-AR-T,Compass 5 000
AF8418,AlignedDimension,"IPC  A/R  ______",C-AR-T,Compass 5 000
AF8419,AlignedDimension,"IPC  A/R  091362  Be Amended)",C-AR-T,Compass 5 000
AF841A,AlignedDimension,"IPC  P/L R/W  091428  be Amended)",C-RW-T,Compass 5 000
AF841B,AlignedDimension,"IPC  P/L R/W  982 5882  972577",C-RW-T,Compass 5 000
AF841D,MText,"IPC Central Processing Facility MSL 231295",C-WS-T,9.996329999999615
AF841F,MText,"IPC 10-25(Surface) MSL 974642",C-WS-T,9.996329999999622
AF8421,MText,"IPC Plant Site MLL 090122 (To be Amended)",C-WS-T,9.996329999999622
AF8423,MText,"IPC 15-25(Surface) MSL 120431",C-WS-T,9.996329999999622
AF8425,MText,"IPC Sump Site MSL 083216 (To be Amended)",C-WS-T,9.996159999999653
AF8427,MText,"IPC 7-25 (Surface) MSL 231421",C-WS-T,9.996408400000004
AF8429,MText,"IPC Storage Site MLL ______",C-WS-T,9.996408400000009
AF842B,DBText,"(Undeveloped)",T-TEXT,9.996329999999622
AF842E,MText,"10cm Poplar",T-BUSH-T,9.996408399999716
AF84AE,BlockReference,"*U23",L-MON,1
AF8F23,BlockReference,"HRV",CG-NOTES,0.9996094001558117
AFA161,AlignedDimension,"IPC  A/R  240057",C-AR-T,Compass 5 000
AFA162,MText,"IPC 9-25 (Surface) MSL 240046",C-WS-T,9.999763914914896
B005F1,MText,"IPC Recovery Site MSL 231366",C-WS-T,9.996408400000009
B01708,MText,"IPC Riser Site PIL 230321",C-WS-T,9.996329999999622
B0171A,AlignedDimension,"InterPipeline  P/L R/W  230977",F-RW-T,Compass 5 000
B01F8F,MText,"IPC Variable Width A/R LOC 240215",C-AR-T,9.996329999999622
B01F91,AlignedDimension,"IPC  A/R  231931",C-AR-T,Compass 5 000
B0314E,AlignedDimension,"IPC  P/L R/W  231194",C-RW-T,Compass 5 000
B03A43,MText,"IPC Riser Site PIL 230320",C-WS-T,9.996329999999622
B03A62,AlignedDimension,"IPC  P/L R/W  091463  be Amended)",C-RW-T,Compass 5 000
B03AE6,AlignedDimension,"IPC  P/L R/W  230909",C-RW-T,Compass 5 000
B0449D,MText,"IPC WorkSpace RTF2317382",C-WS-T,9.996329999999992
B0449F,MText,"IPC WorkSpace RTF2317383",C-WS-T,9.996329999999992
B044A3,AlignedDimension,"InterPipeline  2314567",F-AR-T,Compass 5 000
B044A5,MText,"InterPipeline WorkSpace RTF 2314568",F-WS-T,9.99641999999998
B08BC1,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC2,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC3,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC4,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC5,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC6,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC7,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC8,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BC9,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BCA,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BCB,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BCC,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BCD,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BCE,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BCF,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD0,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD1,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD2,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD3,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD4,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD5,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD6,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD7,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD8,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BD9,BlockReference,"GAS",C-WS-S,4.998165000000003
B08BDA,BlockReference,"GAS",C-WS-S,4.998165000000003
B0972B,BlockReference,"GAS",C-WS-S,4.998165000000003
B0972C,BlockReference,"GAS",C-WS-S,4.998165000000003
B0972D,BlockReference,"GAS",C-WS-S,4.998165000000003
B0972E,BlockReference,"GAS",C-WS-S,4.998165000000003
B0972F,BlockReference,"GAS",C-WS-S,4.998165000000003
B0B6E0,BlockReference,"*U42",P-TEMP-BLOCKS,0.999275131386
B0C1B6,BlockReference,"*U43",DETAIL-T,0.9997370158142344
B0D771,BlockReference,"*U44",CG-NOTES,0.999633
B0EC4C,MText,"IPC Sewage Disposal RTF 240778",C-WS-T,9.996329999999622
B0F6AF,MText,"IPC Sewage Disposal RTF 242013",C-WS-T,9.996329999999992
B0F6B1,AlignedDimension,"IPC  Water  242012",C-WS-T,Compass 5 000
B16F13,AlignedDimension,"IPC  Water",C-WS-T,Compass 5 000
B1BD66,BlockReference,"Disclaimer_Legal",0,0.3
