Handle,ObjType,Content,Layer,Extra
AF4028,BlockReference,"L-SECLBL",L-SECLBL,0.9996379999999999
AF41E4,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99637999999998
AF4ACA,MText,"L.S. 9",L-SECTION-LSD,9.99637999999998
AF4ACC,MText,"L.S. 10",L-SECTION-LSD,9.99637999999998
AF4ACE,MText,"L.S. 16",L-SECTION-LSD,9.99637999999998
AF4AD0,MText,"L.S. 15",L-SECTION-LSD,9.99637999999998
AF6F93,BlockReference,"*U23",0,0.9996379999999999
AF787E,AlignedDimension,"CNRL  A/R  4748",C-AR-T,Compass 5 000
AF8A07,AlignedDimension,"Secure  P/L R/W  170610",F-AR-T,Compass 5 000
AF9BB4,AlignedDimension,"Secure  P/L R/W  221619",F-AR-T,Compass 5 000
AF9BF7,AlignedDimension,"CNRL  A/R  981131",C-AR-T,Compass 5 000
AF9C3B,MText,"CNRL 10-20 (Surface) MSL 5675 (Expired)",C-WS-T,9.996379999999983
AFA4E8,MText,"Secure 10-20 (Surface) MSL 141838",F-WS-T,9.996379999999983
AFB0B5,MText,"CNRL 15-20 (Surface) MSL 981515",C-WS-T,9.996379999999983
AFB96A,MText,"Secure Riser Site PIL 210163",F-WS-T,9.996379999999983
AFBB0C,MText,"Secure Riser Site PIL 210165",F-WS-T,9.996379999999983
AFBB0E,MText,"CNRL Compressor Site PIL 990175",C-WS-T,9.996379999999983
AFC555,AlignedDimension,"CNRL  P/L R/W  4546 RS  4002",C-AR-T,Compass 5 000
AFCE47,AlignedDimension,"CNRL  P/L R/W  002713",C-AR-T,Compass 5 000
AFD742,AlignedDimension,"CNRL  P/L R/W  092 8595  003096",C-RW-T,Compass 5 000
AFE1EF,AlignedDimension,"CNRL  P/L R/W  3484",C-RW-T,Compass 5 000
AFEB6C,AlignedDimension,"CNRL  P/L R/W  012 4185  982492",C-AR-T,Compass 5 000
AFF609,AlignedDimension,"Secure  P/L R/W  151331",F-RW-T,Compass 5 000
AFFEFB,AlignedDimension,"Secure  P/L R/W  150497",F-RW-T,Compass 5 000
B010D6,AlignedDimension,"CNRL  P/L R/W  170778",C-RW-T,Compass 5 000
B012B0,AlignedDimension,"CNRL  P/L R/W  142030",C-RW-T,Compass 5 000
B01317,AlignedDimension,"Shell  P/L R/W  122084",F-RW-T,Compass 5 000
B01375,AlignedDimension,"Shell  P/L R/W  160518",F-RW-T,Compass 5 000
B01E10,AlignedDimension,"CNRL  P/L R/W  190472",C-RW-T,Compass 5 000
B01E5C,AlignedDimension,"CNRL  P/L R/W  190485",C-RW-T,Compass 5 000
B01EE1,AlignedDimension,"CNRL  P/L R/W  220502",C-RW-T,Compass 5 000
B01F36,AlignedDimension,"CNRL  P/L R/W  220622",C-RW-T,Compass 5 000
B02828,AlignedDimension,"CNRL  P/L R/W  220572",C-RW-T,Compass 5 000
B0FED1,DBText,"RP",35,9.996379999999988
B658C6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994207999999963
B65909,MText,"Theor. N.E.1/4 Sec. 20-67-5-W.6M.",C-SYMBOL,19.99275999999996
B66157,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.99637999999998
B6ABCB,AlignedDimension,"Secure  A/R  221619",F-AR-T,Compass 5 000
B6ABF2,AlignedDimension,"Secure  P/L R/W  141899",F-RW-T,Compass 5 000
B6AC4A,AlignedDimension,"CNRL  A/R  981131",C-AR-T,Compass 5 000
B6AC7A,AlignedDimension,"CNRL  P/L R/W  012 4185  982492",C-AR-T,Compass 5 000
B6ACB4,AlignedDimension,"Secure  P/L R/W  151331",F-RW-T,Compass 5 000
B6C651,AlignedDimension,"CNRL  P/L R/W  002713",C-AR-T,Compass 5 000
B6CF23,AlignedDimension,"CNRL  P/L R/W  3484",C-RW-T,Compass 5 000
B6CF7B,AlignedDimension,"Shell  P/L R/W  122084",F-RW-T,Compass 5 000
B6CFD9,AlignedDimension,"CNRL  P/L R/W  092 8595  003096",C-RW-T,Compass 5 000
B6D00A,MText,"CNRL Compressor Site PIL 990175",C-WS-T,9.996379999999983
B6D02F,AlignedDimension,"CNRL  P/L R/W  142030",C-RW-T,Compass 5 000
B6EF00,BlockReference,"*U59",DETAIL-T,0.9996379999999999
B6EF0E,MText,"DETAIL",DETAIL-T,19.99275999999998
B752B6,AlignedDimension,"Secure  P/L R/W  150497",F-RW-T,Compass 5 000
B8592E,MText,"SEE DETAIL",DETAIL-T,15.994207999999984
B85930,AlignedDimension,"Secure  P/L R/W  141899",F-RW-T,Compass 5 000
B866F9,BlockReference,"GABD",F-WS-S,4.998189999999997
B87159,BlockReference,"GAS",F-WS-S,4.998189999999997
B8715A,BlockReference,"GAS",C-WS-S,4.998189999999997
B8716D,MText,"10-20 (Abd.)",F-WS-T,9.996379999999983
B8716E,BlockReference,"GAS",C-WS-S,4.998189999999997
B9A532,AlignedDimension,"CNRL  P/L R/W  195126",C-RW-T,Compass 5 000
BBA557,BlockReference,"Disclaimer_Legal",0,0.513871439875718
BBAAE4,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9996379999999999
BBAAE7,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.9996379999999999
BBABA4,BlockReference,"*U63",P-TEMP-BLOCKS,0.9996379999999999
BBABB9,BlockReference,"*U64",P-TEMP-BLOCKS,0.9996379999999999
BBAC05,BlockReference,"*U66",AS-WILDLIFE-BLOCK,0.9996379999999999
