Handle,ObjType,Content,Layer,Extra
BC4D9B,BlockReference,"RP",35,1
BC6B79,BlockReference,"L-SECLBL",L-SECLBL,1
BC6B7F,BlockReference,"L-SECLBL",L-SECLBL,1
BCD55C,AlignedDimension,"IPC  P/L R/W  5379",C-RW-T,Compass 5 000
BCD596,AlignedDimension,"IPC  P/L R/W  822 0723  810708",C-RW-T,Compass 5 000
BCD5A3,AlignedDimension,"IPC  P/L R/W  772 1844  770068",C-RW-T,Compass 5 000
BCE08B,AlignedDimension,"IPC  A/R  4231",C-AR-T,Compass 5 000
BCE0B3,AlignedDimension,"IPC  P/L R/W  5379",C-RW-T,Compass 5 000
BCE0C0,AlignedDimension,"IPC  P/L R/W  772 1844  770068",C-RW-T,Compass 5 000
BCE0CD,AlignedDimension,"IPC  A/R  4231",C-AR-T,Compass 5 000
BCE0E3,AlignedDimension,"IPC  P/L R/W  822 0723  810708",C-RW-T,Compass 5 000
BD056D,MText,"Caribou Range Boundary",AS-WILDLIFE,9.999999999999984
BD1E8B,DBText,"TPA 1711",AS-TRAPPER-T,9.994149999999987
BD1E8C,DBText,"TPA 2360",AS-TRAPPER-T,9.994149999999987
BD56A7,MText,"Bank Top",T-TEXT,9.996279999999995
BD56A8,MText,"Bank Top",T-TEXT,9.996279999999995
BD60FD,DBText,"N.E.1/4 Sec. 10-78-17-W.4M.",C-SYMBOL,19.99255999999999
BD60FE,DBText,"Workspace = 0.010 ha  0.02 Ac.",L-AREAREQUIRED,10.995907999999996
BD6100,DBText,"N.W.1/4 Sec. 11-78-17-W.4M.",C-SYMBOL,19.99255999999999
BD6101,DBText,"Workspace = 0.010 ha  0.02 Ac.",L-AREAREQUIRED,10.995907999999996
BD6B4C,MText,"Unnamed Creek",T-WATER-T,9.996279999999995
BD6B4D,MText,"Unnamed Creek",T-WATER-T,9.996279999999995
BD6B4E,MText,"Unnamed Creek",T-WATER-T,9.996279999999995
BD76CD,MText,"L.S. 9",L-SECTION-LSD,9.999999999999995
BD76CF,MText,"L.S. 10",L-SECTION-LSD,9.999999999999995
BD76D1,MText,"L.S. 16",L-SECTION-LSD,9.999999999999995
BD76D3,MText,"L.S. 15",L-SECTION-LSD,9.999999999999995
BD76D5,MText,"L.S. 11",L-SECTION-LSD,9.999999999999995
BD76D7,MText,"L.S. 12",L-SECTION-LSD,9.999999999999995
BD76D9,MText,"L.S. 14",L-SECTION-LSD,9.999999999999995
BD76DA,MText,"L.S. 13",L-SECTION-LSD,9.999999999999995
BDA31F,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999995
BDA320,DBText,"(Undeveloped)",T-TEXT,9.999999999999995
BDA3E9,MText,"Unnamed Creek",T-WATER-T,9.996279999999997
BDA3EA,DBText,"Government Road Allowance",L-ROAD-T,9.996279999999997
BDA3EB,DBText,"(Undeveloped)",T-TEXT,9.996279999999997
BDAECC,AlignedDimension,"IPC  P/L R/W  822 0723  810708",C-RW-T,Compass 5 000
BDAED8,AlignedDimension,"IPC  P/L R/W  772 1844  770068",C-RW-T,Compass 5 000
BDAEE4,AlignedDimension,"IPC  P/L R/W  5379",C-RW-T,Compass 5 000
BDB9C2,DBText,"TPA 1711",AS-TRAPPER-T,9.994149999999987
BDB9C3,DBText,"TPA 2360",AS-TRAPPER-T,9.994149999999987
BDC6E0,BlockReference,"*U32",DETAIL-T,1.0000090034303066
BDC6FC,BlockReference,"*U33",DETAIL-T,1.0000090034303066
BDC70E,BlockReference,"*U34",DETAIL-T,1.0000090034303066
BDC720,BlockReference,"*U35",DETAIL-T,1.0000090034303066
BDE8DC,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,1
BDE8DF,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,1
BDE8E2,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,1
BDE8E5,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,1
BDE8E8,BlockReference,"*U36",P-TEMP-BLOCKS,1
BDE91E,BlockReference,"*U37",P-TEMP-BLOCKS,1
BDF3A0,BlockReference,"*U38",P-TEMP-BLOCKS,1
BDF3B5,BlockReference,"*U38",P-TEMP-BLOCKS,1
BDF3CA,BlockReference,"*U38",P-TEMP-BLOCKS,1
BDF3DF,BlockReference,"*U38",P-TEMP-BLOCKS,1
BE2050,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999998
BE2051,DBText,"(Undeveloped)",T-TEXT,9.999999999999998
BE2052,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999998
BE2053,DBText,"(Undeveloped)",T-TEXT,9.999999999999998
BF186D,MText,"DETAIL SCALE 1:1000",DETAIL-T,20
