Handle,ObjType,Content,Layer,Extra
B009E3,BlockReference,"*U19",0,1
B00A45,BlockReference,"*U18",AS-WILDLIFE-BLOCK,1
B01684,AlignedDimension,"Paramount  A/R  051911",F-RW-T,Compass 5 000
B02FB7,AlignedDimension,"Crescent Point  P/L R/W  180514",C-RW-T,Compass 5 000
B02FDE,AlignedDimension,"ATCO  Power Line R/W  800108",F-EZE-T,Compass 5 000
B03006,AlignedDimension,"Crescent Point  A/R  770543",C-AR-T,Compass 5 000
B03C46,AlignedDimension,"Crescent Point  P/L R/W  912 1244  900383",C-RW-T,Compass 5 000
B03C7A,BlockReference,"L-SECLBL",L-SECLBL,0.999485
B03C80,MText,"Crescent Point Riser Site PIL 180380",C-WS-T,9.994849999999996
B0489C,MText,"Crescent Point 10.00 A/R LOC 181161",C-AR-T,9.994849999999996
B0578A,MText,"L.S. 11",L-SECTION-LSD,9.994849999999996
B0578C,MText,"L.S. 12",L-SECTION-LSD,9.994849999999996
B0578E,MText,"L.S. 14",L-SECTION-LSD,9.994849999999996
B0578F,MText,"L.S. 13",L-SECTION-LSD,9.994849999999996
B05791,DBText,"Theor. N.W.1/4 Sec. 14-64-21-W.5M.",C-SYMBOL,19.989699999999992
B063B7,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991759999999994
B06FEB,BlockReference,"*U25",P-TEMP-BLOCKS,0.999485
B0BF5D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994849999999994
B0CC60,DBText,"RP",35,9.999999999999993
B1015C,BlockReference,"Disclaimer_Legal",0,0.3
