Handle,ObjType,Content,Layer,Extra
BC4E7C,BlockReference,"L-SECLBL",L-SECLBL,0.9997900199999965
BC4E86,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999982
BC4EB5,MText,"Government Road Allowance",L-ROAD-T,9.99790019999996
BC4EC5,MText,"N.W.1/4 Sec. 23-69-10-W.6M.",C-SYMBOL,19.995800399999936
BC4EC6,MText,"Camp Site = 0.490 ha  1.21 Ac.",L-AREAWORK,10.997690219999994
BC4ECD,BlockReference,"*U20",DETAIL-T,0.9997900199999965
BC4F0B,MText,"Knelsen  Sand & Gravel SML 970066",F-WS-T,9.999999999999995
BC4F0D,MText,"Indyrock SML 030054 (Expired)",F-WS-T,9.997859999999983
BC4F0F,DBText,"(Undeveloped)",T-TEXT,9.999999999999982
BC4F10,DBText,"(Undeveloped)",T-TEXT,9.997900199999963
BC6078,BlockReference,"RP",0,1
BC6441,MText,"802250 Alberta Ltd. SML 980001 (Expired)",F-WS-T,9.999999999999995
BC6467,AlignedDimension,"Cenovus  A/R  790178",F-AR-T,Compass 5 000
BC64D4,AlignedDimension,"Indyrock  A.R  100408",F-AR-T,Compass 5 000
BC6604,AlignedDimension,"CNRL  A/R  082483",C-AR-T,Compass 5 000
BC6630,MText,"L.S. 11",L-SECTION-LSD,9.997859999999983
BC6632,MText,"L.S. 12",L-SECTION-LSD,9.997859999999983
BC6634,MText,"L.S. 14",L-SECTION-LSD,9.997859999999983
BC6635,MText,"L.S. 13",L-SECTION-LSD,9.997859999999983
BCDA87,BlockReference,"*U24",P-TEMP-BLOCKS,0.9997860000000001
