Handle,ObjType,Content,Layer,Extra
AF33B8,BlockReference,"L-SECLBL",L-SECLBL,0.999638
AF33BE,BlockReference,"L-SECLBL",L-SECLBL,0.999638
AF3CA0,MText,"L.S. 1",L-SECTION-LSD,9.99638
AF3CA1,MText,"L.S. 2",L-SECTION-LSD,9.99638
AF3CA3,MText,"L.S. 8",L-SECTION-LSD,9.99638
AF3CA4,MText,"L.S. 7",L-SECTION-LSD,9.99638
AF3CA6,MText,"L.S. 9",L-SECTION-LSD,9.99638
AF3CA8,MText,"L.S. 10",L-SECTION-LSD,9.99638
AF3CAA,MText,"L.S. 16",L-SECTION-LSD,9.99638
AF3CAC,MText,"L.S. 15",L-SECTION-LSD,9.99638
AF45A2,DBText,"Government Road Allowance",L-ROAD-T,9.99638
AF45A3,DBText,"(Undeveloped)",T-TEXT,9.99638
AF45A4,DBText,"Government Road Allowance",L-ROAD-T,9.99638
AF45A5,DBText,"(Undeveloped)",T-TEXT,9.99638
AF610B,BlockReference,"*U19",AS-SURFACE IMPACT,0.999638
AF611A,AlignedDimension,"IPC  A/R  200482",C-AR-T,Compass 5 000
AF6169,BlockReference,"*U19",AS-SURFACE IMPACT,0.999638
AF61BE,BlockReference,"GABD",F-WS-S,4.99819
AF61BF,BlockReference,"GABD",C-WS-S,4.99819
AF61C0,BlockReference,"GABD",C-WS-S,4.99819
AF740A,MText,"10-01 (Abd.)",F-WS-T,9.99638
AF740D,MText,"AA/01-12 (Abd.)",C-WS-T,9.99638
AF740E,MText,"AA/03-12 (Abd.)",C-WS-T,9.99638
B03C79,BlockReference,"Pile",0,4.998190000000004
B03C7A,BlockReference,"Pile",0,4.998190000000004
B03C7B,BlockReference,"Pile",0,4.998190000000004
B03C7C,BlockReference,"Pile",0,4.998190000000004
B03C7F,BlockReference,"Pile",0,4.998190000000004
B03C80,BlockReference,"Pile",0,4.998190000000004
B03C81,BlockReference,"Pile",0,4.998190000000004
B03C82,BlockReference,"Pile",0,4.998190000000004
B03C83,BlockReference,"Pile",0,4.998190000000004
B03C84,BlockReference,"Pile",0,4.998190000000004
B03C87,BlockReference,"Pile",0,4.998190000000004
B03C89,BlockReference,"Pile",0,4.998190000000004
B03C8A,BlockReference,"Pile",0,4.998190000000004
B03C8C,BlockReference,"Pile",0,4.998190000000004
B03C8E,BlockReference,"Pile",0,4.998190000000004
B03C90,BlockReference,"Pile",0,4.998190000000004
B044A1,MText,"BH '1'",0,9.991611726740004
B044A2,MText,"BH '2'",0,9.991611726740004
B044A3,MText,"BH '3'",0,9.991611726740004
B044A4,MText,"BH '4'",0,9.991611726740004
B044A5,MText,"BH '14'",0,9.991611726740004
B044B2,MText,"BH '5'",0,9.991611726740004
B044B3,MText,"BH '6'",0,9.991611726740004
B044B4,MText,"BH '7'",0,9.991611726740004
B044B5,MText,"BH '8'",0,9.991611726740004
B044B6,MText,"BH '11'",0,9.991611726740004
B044B7,MText,"BH '13'",0,9.991611726740004
B044B8,MText,"BH '12'",0,9.991611726740004
B044B9,MText,"BH '17'",0,9.991611726740004
B044BA,MText,"BH '18'",0,9.991611726740004
B044BB,MText,"BH '19'",0,9.991611726740004
B044BC,MText,"BH '20'",0,9.991611726740004
B05633,DBText,"S.E.1/4 Sec. 12-77-18-W.4M.",C-SYMBOL,19.99276
B05634,DBText,"Access (Temporary) = 1.399 ha  3.46 Ac.",L-AREAREQUIRED,10.996018
B05635,DBText,"N.E.1/4 Sec. 1-77-18-W.4M.",C-SYMBOL,19.99276
B05636,DBText,"Access (Temporary) = 0.096 ha  0.24 Ac.",L-AREAREQUIRED,10.996018
B056A7,BlockReference,"*U23",P-TEMP-BLOCKS,0.999638
B05F12,BlockReference,"*U25",P-TEMP-BLOCKS,0.999638
B05F28,BlockReference,"*U25",P-TEMP-BLOCKS,0.999638
