Handle,ObjType,Content,Layer,Extra
AF3ABD,BlockReference,"L-SECLBL",L-SECLBL,1
AF3AC7,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000159
AF3AF6,MText,"Trumpeter Swan 800m Boundary",AS-WILDLIFE,9.99755000000001
AF3B07,MText,"Theor. N.W.1/4 Sec. 7-76-9-W.6M.",C-SYMBOL,20.00000000000017
AF3B08,DBText,"Government Road Allowance",L-ROAD-T,9.99755000000001
AF3B09,DBText,"Rge. 10",D-TXT,13.996570000000075
AF3B0A,MText,"Rge. 9",D-TXT,13.996570000000073
AF3CD4,MText,"Trumpeter Swan 500m Boundary",AS-WILDLIFE,9.99755000000001
AF3CD9,MText,"Buried Pipe",AS-PIPE-UG-T,9.99755000000001
AF3CEB,MText,"Buried Pipes",AS-PIPE-UG-T,9.99755000000001
AF3DA1,BlockReference,"GAS",F-WS-S,5.000000000000038
AF3DAB,BlockReference,"NEZD Point",HYBRID-CC,1
AF3DB2,BlockReference,"*U21",AS-SURFACE IMPACT,1
AF3DC1,BlockReference,"*U22",AS-WILDLIFE-BLOCK,1
AF3DDF,MText,"Wooded Coniferous Swamp",WETLAND-T,10.000000000000037
AF3F54,BlockReference,"*U23",P-TEMP-BLOCKS,0.9997550000000011
AF4039,AlignedDimension,"CSV  P/L R/W  231119",C-RW-T,Compass 5 000
AF403B,AlignedDimension,"Whitecap  A/R  980469",F-RW-T,Compass 5 000
AF403D,AlignedDimension,"Taqa  P/L R/W  082 6667  012941",F-RW-T,Compass 5 000
AF403F,AlignedDimension,"Pembina  P/L R/W  200680",F-RW-T,Compass 5 000
AF4040,AlignedDimension,"Whitecap  P/L R/W  072 2135  053022",F-RW-T,Compass 5 000
AF4041,AlignedDimension,"CNRL  P/L R/W  912 1437  900481",F-RW-T,Compass 5 000
AF4042,AlignedDimension,"CNRL  A/R  001677",F-RW-T,Compass 5 000
AF4043,AlignedDimension,"CNRL  A/R  890141",F-RW-T,Compass 5 000
AF4044,AlignedDimension,"CNRL  A/R  941935",F-RW-T,Compass 5 000
AF4045,AlignedDimension,"CNRL  P/L R/W  982 2162  950410",F-RW-T,Compass 5 000
AF4046,AlignedDimension,"Whitecap  P/L R/W  102 3690  081165",F-RW-T,Compass 5 000
AF4047,AlignedDimension,"CNRL  A/R  880449",F-RW-T,Compass 5 000
AF404A,MText,"CNRL 14-7 MSL 880661",F-WS-T,9.99755000000001
AF404C,MText,"Whitecap 11-7 (Surface) MSL 034281",F-WS-T,9.99755000000001
AF404E,MText,"Whitecap 13-7 (Surface) MSL 080891",F-WS-T,9.99755000000001
AF4050,MText,"CNRL 13-7 (Surface) MSL 942771 (Expired)",F-WS-T,9.99755000000001
AF4052,MText,"Taqa 3-18 (Surface) MSL 012707",F-WS-T,9.99755000000001
AF4054,MText,"CNRL 13-7 (Surface) MSL 001677",F-WS-T,9.99755000000001
AF4056,MText,"Whitecap Riser Site PIL 050556",F-WS-T,9.99755000000001
AF405B,DBText,"(Undeveloped)",T-TEXT,9.99755000000001
AF405D,MText,"5m High Grade Gravel Road",T-TEXT,9.99755000000001
AF4060,MText,"Culvert",T-TEXT,9.99755000000001
AF4061,MText,"Cutblock",T-TEXT,9.99755000000001
AF4064,MText,"8m High Grade Gravel Road",T-TEXT,9.99755000000001
AF406C,MText,"Low Areas",T-TEXT,9.99755000000001
AF406E,MText,"Ephemeral Draw",T-WATER-T,9.99755000000001
AF4071,MText,"Ephemeral Draw 5.0 Wide",T-WATER-T,9.99755000000001
AF4074,MText,"15cm Black Spruce",T-BUSH-T,9.99755000000001
AF4076,MText,"15cm Black Spruce",T-BUSH-T,9.99755000000001
AF40B2,BlockReference,"GAS",F-WS-S,5.000000000000038
AF40B3,BlockReference,"GAS",F-WS-S,5.000000000000038
AF40B4,BlockReference,"GAS",F-WS-S,5.000000000000038
AF40B5,BlockReference,"GAS",F-WS-S,5.000000000000038
AF40B6,BlockReference,"GAS",F-WS-S,5.000000000000038
AF4DA8,BlockReference,"RP",35,0.99974
AF71DB,BlockReference,"*U36",AS-WILDLIFE-BLOCK,0.99974
AF8A72,MText,"L.S. 11",L-SECTION-LSD,9.997400000000004
AF8A74,MText,"L.S. 12",L-SECTION-LSD,9.997400000000004
AF8A76,MText,"L.S. 14",L-SECTION-LSD,9.997400000000004
AF8A77,MText,"L.S. 13",L-SECTION-LSD,9.997400000000004
B04E37,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.997400000000003
B09A23,BlockReference,"*U37",P-TEMP-BLOCKS,0.9997550000000011
B0CDE8,AlignedDimension,"CSV  2316237",T-EXISTING TFA-T,Compass 5 000
B12FFB,BlockReference,"Disclaimer_Legal",0,0.3
