Handle,ObjType,Content,Layer,Extra
AF425E,BlockReference,"L-SECLBL",L-SECLBL,0.999632
AF4272,BlockReference,"RP",P-75m DRAINAGE AREA,1
AFA53A,MText,"Theor. N.W.1/4  Sec. 26-67-5-W.6M.",C-SYMBOL,19.99999999999986
AFA53B,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999927
AFA53C,BlockReference,"*U23",AS-OWNER,1
AFA54B,BlockReference,"*U24",AS-SURFACE IMPACT,1
AFA567,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999895
AFA596,MText,"L.S. 11",L-SECTION-LSD,9.99999999999993
AFA598,MText,"L.S. 12",L-SECTION-LSD,9.99999999999993
AFA59A,MText,"L.S. 14",L-SECTION-LSD,9.99999999999993
AFA59B,MText,"L.S. 13",L-SECTION-LSD,9.99999999999993
AFA92D,AlignedDimension,"CNRL  P/L R/W  912 0653  900059",C-RW,Compass 5 000
AFA92E,AlignedDimension,"Alliance  Access R/W  012 2183",F-AR,Compass 5 000
AFA92F,AlignedDimension,"Shell  P/L R/W  160518",F-AR,Compass 5 000
AFA930,AlignedDimension,"CNRL  P/L R/W  912 0281  912 1409  900881",C-RW-T,Compass 5 000
AFA931,AlignedDimension,"CNRL  P/L R/W  230206",C-RW-T,Compass 5 000
AFA932,AlignedDimension,"CNRL  P/L R/W  140514",C-RW-T,Compass 5 000
AFA944,MText,"CNRL Plant Site MSL 220499",C-WS-T,9.99999999999993
AFA946,MText,"CNRL Truck Terminal Plan 802 1003 (Not on PLSR)",C-WS-T,9.999999999999908
AFA948,MText,"CNRL 5-25 (Surface) MSL 160668",C-WS-T,9.99999999999993
AFA94A,MText,"CNRL Air Strip DLO 3384",C-AR-T,9.99999999999993
AFA94C,MText,"CNRL Plant Site Extension MLL 2875",C-WS-T,9.99999999999993
AFA950,AlignedDimension,"Manitok  A/R  064401",F-AR-T,Compass 5 000
AFA954,AlignedDimension,"ATCO  Power Line R/W  4423 RS  2818",F-EZE-T,Compass 5 000
AFA956,AlignedDimension,"PGI  P/L R/W  032 1141  012333",F-RW-T,Compass 5 000
AFA957,AlignedDimension,"Shell  P/L R/W  122070",F-RW-T,Compass 5 000
AFA958,AlignedDimension,"Manitok  P/L R/W  074 0752  063048",F-RW-T,Compass 5 000
AFA959,AlignedDimension,"Alliance  P/L R/W  012 2193  982617",F-RW-T,Compass 5 000
AFA95B,MText,"Maxim  Power Station DML 990058",F-RW-T,9.99999999999993
AFA95C,MText,"Nova  Compressor Station Plan 802 2690 DPI 810002",F-RW-T,9.99999999999993
AFA95D,MText,"Alliance Compressor Site Plan 012 2193 DPI 980267",F-WS-T,9.996339499999912
AFA95F,AlignedDimension,"Nova  P/L R/W  792 0933  780544",F-RW-T,Compass 5 000
AFA960,AlignedDimension,"Alliance  P/L R/W  012 1713  982617",F-WS-T,Compass 5 000
AFA971,AlignedDimension,"Nova  P/L R/W  822 2016  800714",F-RW-T,Compass 5 000
AFA972,MText,"PGI Compressor Site Plan 032 4348 PIL 020233",F-WS-T,9.996339499999912
AFA974,MText,"Arc Riser Site PIL 150492",F-WS-T,9.996339499999912
AFA976,MText,"Alliance Riser Site DPI 150605",F-WS-T,9.996339499999912
AFA978,AlignedDimension,"CNRL  P/L R/W  2369RS  3484",C-RW-T,Compass 5 000
AFA979,AlignedDimension,"CNRL  P/L R/W  2369RS  3548",C-RW-T,Compass 5 000
AFA97A,MText,"CNRL Gas Plant Site Plan 1102 RS (Not on PLSR) (C. of T.)",C-WS-T,9.999999999999908
AFA97C,AlignedDimension,"ATCO  Power Line R/W  2767",F-EZE-T,Compass 5 000
AFA97F,MText,"Nova  Meter Station Plan 2803RS DPI 175 (Expired)",F-RW-T,9.99999999999993
AFA982,AlignedDimension,"Keyera  P/L R/W  210254",F-RW-T,Compass 5 000
AFA983,AlignedDimension,"11.00 P/L R/W  912 0494",F-RW-T,Compass 5 000
AFA984,AlignedDimension,"Alliance  P/L R/W  012 2968  981131",F-RW-T,Compass 5 000
AFA985,AlignedDimension,"Arc  A/R  151274",F-RW-T,Compass 5 000
AFA986,AlignedDimension,"ATCO  Power Line R/W  030023",F-RW-T,Compass 5 000
AFA987,AlignedDimension,"ATCO  Power Line R/W  180072",F-RW-T,Compass 5 000
AFA988,MText,"20.00 P/L R/W Plan 002 4297",F-RW-T,9.99999999999993
AFA989,MText,"ATCO 15.00 Power Line R/W EZE 920070",F-RW-T,9.99999999999993
AFA98A,AlignedDimension,"CNRL  P/L R/W  3624RS  3729",C-RW-T,Compass 5 000
AFA98B,MText,"CNRL Compressor Station Plan 022 5626 MSL 972102 (Expired)",C-RW-T,9.99999999999993
AFA98C,MText,"CNRL 13-26 (Surface) MSL 220291",C-RW-T,9.99999999999993
AFA98D,AlignedDimension,"PGI  P/L R/W  032 4362  030844",F-RW-T,Compass 5 000
AFAFF3,AlignedDimension,"Nova  A/R  2803 RS  3548",F-AR-T,Compass 5 000
AFB16A,AlignedDimension,"Nova  P/L R/W  2803 RS  3598",F-RW-T,Compass 5 000
AFB754,AlignedDimension,"ATCO  Power Line R/W  980197",F-EZE,Compass 5 000
AFB7B9,AlignedDimension,"ATCO  Power Line R/W  990160",F-RW-T,Compass 5 000
AFBC82,AlignedDimension,"CNRL  A/R  981416",C-AR-T,Compass 5 000
AFBDD0,AlignedDimension,"CNRL  A/R  5897",C-AR-T,Compass 5 000
AFC377,AlignedDimension,"P/L R/W  022 1876  002215",F-RW-T,Compass 5 000
AFC4CF,AlignedDimension,"CNRL  P/L R/W  001969",F-RW-T,Compass 5 000
