Handle,ObjType,Content,Layer,Extra
AF286C,DBText,"RP",35,9.994999999999916
AF2A33,BlockReference,"L-SECLBL",L-SECLBL,0.9995
AF2A46,MText,"L.S. 1",L-SECTION-LSD,9.994999999999921
AF2A47,MText,"L.S. 2",L-SECTION-LSD,9.994999999999921
AF2A49,MText,"L.S. 8",L-SECTION-LSD,9.994999999999921
AF2A4A,MText,"L.S. 7",L-SECTION-LSD,9.994999999999921
AF2C17,AlignedDimension,"Can For  A/R  2418",F-AR-T,Compass 5 000
AF2C54,AlignedDimension,"Can For  A/R  930402",F-AR-T,Compass 5 000
AF2CA0,BlockReference,"*U21",F-AR-T,0.9995
AF2CB0,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991999999999877
AF4426,BlockReference,"HRV",CG-NOTES,0.9995
AF4D17,MText,"Theor. S.E.1/4 Sec. 32-64-25-W.5M.",C-SYMBOL,19.989999999999842
AF4D76,BlockReference,"*U23",AS-WILDLIFE-BLOCK,0.9995
AF5F73,MText,"Can For Sand and Gravel SML 930002",F-WS-T,9.994999999999942
AF68BD,BlockReference,"*U24",P-TEMP-BLOCKS,0.9995
AF6A71,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99499999999994
AF7CC0,BlockReference,"*U25",DETAIL-T,0.9995
AF90FA,MText,"SEE DETAIL",DETAIL-T,15.991999999999912
AF90FC,MText,"DETAIL NOT TO SCALE",DETAIL-T,19.989999999999895
B20077,MText,"Hodgins Creek",T-WATER-T,9.994999999999948
B21671,MText,"Simonette River",T-WATER-T,9.994999999999953
B21D9B,BlockReference,"HRV",CG-NOTES,0.9995
B2E1B3,BlockReference,"*U24",P-TEMP-BLOCKS,0.9995
B2F047,BlockReference,"Disclaimer_Legal",0,0.5
