Handle,ObjType,Content,Layer,Extra
C0269C,BlockReference,"*U22",DETAIL-T,0.9996630000000022
C02723,BlockReference,"*U21",P-TEMP-BLOCKS,0.9996630000000022
C02739,AlignedDimension,"CNRL  A/R  790602",C-AR-T,Compass 5 000
C0273D,AlignedDimension,"CNRL  A/R  100176",C-AR-T,Compass 5 000
C02740,AlignedDimension,"CNRL  P/L R/W  022 2188  010077",C-RW-T,Compass 5 000
C02742,AlignedDimension,"CNRL  P/L R/W  082 1597  050662",C-RW-T,Compass 5 000
C02743,AlignedDimension,"CNRL  P/L R/W  091174",C-RW-T,Compass 5 000
C02747,MText,"CNRL 4-12 (Surface) MSL 091080",C-WS-T,9.996630000000097
C02750,MText,"CNRL Riser Site PIL 090408",C-WS-T,9.996630000000097
C071EF,MText,"Grizzly Bear Secondary Access Management Boundary",AS-WILDLIFE,10.000000000000018
C071F7,MText,"Grizzly Bear Core Access Management Boundary",AS-WILDLIFE,10.000000000000018
C077E1,BlockReference,"L-SECLBL",L-SECLBL,0.9996630000000022
C08A46,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996630000000081
C40BDF,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994608000000035
C40BE1,MText,"L.S. 3",L-SECTION-LSD,9.996630000000026
C40BE3,MText,"L.S. 4",L-SECTION-LSD,9.996630000000026
C40BE5,MText,"L.S. 6",L-SECTION-LSD,9.996630000000026
C40BE7,MText,"L.S. 5",L-SECTION-LSD,9.996630000000026
C410C6,DBText,"RP",35,10.000000000000014
C41200,BlockReference,"GAS",C-WS-S,4.9983450000000085
C47017,MText,"Theor. S.W.1/4  Sec. 12-65-9-W.6M.",C-SYMBOL,19.993260000000053
C50B93,MText,"SEE DETAIL",DETAIL-T,16.000000000000007
C50CD8,MText,"DETAIL NOT TO SCALE",DETAIL-T,19.993380000000002
C530BD,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.3
