Handle,ObjType,Content,Layer,Extra
AF2F67,DBText,"RP",35,9.996040000000011
AF39C6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996040000000011
AF39CD,BlockReference,"L-SECLBL",L-SECLBL,0.999604
AF39E1,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993664000000022
AF39E3,MText,"L.S. 3",L-SECTION-LSD,9.996040000000011
AF39E5,MText,"L.S. 4",L-SECTION-LSD,9.996040000000011
AF39E7,MText,"L.S. 6",L-SECTION-LSD,9.996040000000011
AF39E9,MText,"L.S. 5",L-SECTION-LSD,9.996040000000011
AF3BC5,BlockReference,"*U18",L-SECLBL,0.999604
AF3D7A,AlignedDimension,"Hammerhead  A/R  170409",F-AR-T,Compass 5 000
AF3DAB,MText,"Hammerhead 4-14 (Surface) MSL 170909",F-WS-T,9.996040000000008
AF3DAC,AlignedDimension,"Hammerhead  P/L R/W  221029",F-RW-T,Compass 5 000
AF3F6B,AlignedDimension,"Hammerhead  P/L R/W  231061",F-RW-T,Compass 5 000
AF3F9C,AlignedDimension,"Hammerhead  P/L R/W  180925",F-RW-T,Compass 5 000
AF3FD6,AlignedDimension,"Hammerhead  P/L R/W  231086",F-RW-T,Compass 5 000
AF4A5B,MText,"Theor. S.W.1/4 Sec. 14-68-4-W.6M.",C-SYMBOL,19.992080000000023
AF80A1,BlockReference,"*U24",P-TEMP-BLOCKS,0.999604
AF8302,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.996040000000011
AFD35D,BlockReference,"*U25",DETAIL-T,0.999604
AFF28F,BlockReference,"Disclaimer_Legal",0,0.5
