Handle,ObjType,Content,Layer,Extra
BC736D,BlockReference,"L-SECLBL",L-SECLBL,0.9996419999999919
BC7391,MText,"Wooded  Coniferous Fen",WETLAND-T,9.996329999999933
BC7393,MText,"Wooded  Marsh Swamp",WETLAND-T,9.996329999999933
BC7395,DBText,"N.E.1/4 Sec. 25-76-18-W.4M.",C-SYMBOL,19.992839999999845
BC7398,DBText,"Government Road Allowance",L-ROAD-T,9.996419999999922
BC73B9,AlignedDimension,"Inter Pipeline  2314567",T-EXISTING TFA-T,Compass 5 000
BC73BB,MText,"Inter Pipeline Workspace RTF 2314568",T-EXISTING TFA-T,9.996419999999913
BC73BE,AlignedDimension,"IPC",T-EXISTING TFA-T,Compass 5 000
BC73CB,MText,"IPC Sewage Disposal RTF 242013",T-EXISTING TFA-T,9.999999999999957
BC73CD,MText,"IPC Waste Water RTF 242012",T-EXISTING TFA-T,9.996398269999963
BC73D8,MText,"IPC Workspace RTF 243509",T-EXISTING TFA-T,9.999999999999957
BC73DC,MText,"IPC Access RTF 243757",T-EXISTING TFA-T,9.999999999999957
BC73E8,MText,"Transcanada Workspace RTF 243288",T-EXISTING TFA-T,10.000000000000005
BC75D5,BlockReference,"HRV",CG-NOTES,0.9996419999999919
BC75D9,MText,"Rge. 18",D-TXT,13.994957577999967
BC75DA,MText,"Rge. 17",D-TXT,13.994957577999967
BC75E3,AlignedDimension,"IPC  A/R  091363",C-AR-T,Compass 5 000
BC75E4,AlignedDimension,"IPC  A/R MSL 120977",C-AR-T,Compass 5 000
BC75E5,AlignedDimension,"IPC  A/R  231931",C-AR-T,Compass 5 000
BC75E9,AlignedDimension,"IPC  A/R  240057",C-AR-T,Compass 5 000
BC75EF,AlignedDimension,"IPC  A/R  091362",C-AR-T,Compass 5 000
BC75F0,AlignedDimension,"IPC  A/R  090345",C-AR-T,Compass 5 000
BC75F1,MText,"IPC 25.00 A/R LOC 240215",C-AR-T,9.996386099999958
BC75F2,AlignedDimension,"IPC  A/R  241119",C-AR-T,Compass 5 000
BC75F3,AlignedDimension,"IPC  P/L R/W  091428",C-RW-T,Compass 5 000
BC75F4,AlignedDimension,"IPC  P/L R/W  230909",C-RW-T,Compass 5 000
BC75F6,AlignedDimension,"IPC  P/L R/W  231194",C-RW-T,Compass 5 000
BC75F7,AlignedDimension,"IPC  P/L R/W  091463",C-RW-T,Compass 5 000
BC75F9,AlignedDimension,"IPC  P/L R/W  982 5882  972577",C-RW-T,Compass 5 000
BC75FA,AlignedDimension,"IPC  A/G R/W  240688",C-RW-T,Compass 5 000
BC7600,MText,"IPC 15-25(Surface) MSL 120431",C-WS-T,9.99632999999992
BC7602,MText,"IPC 10-25 (Surface) MSL 974642",C-WS-T,9.999829937587
BC7604,MText,"IPC 2-36 (Surface) MSL120977",C-WS-T,9.996419999999889
BC7605,MText,"IPC 16-25 (Surface) MSL 231366",C-WS-T,9.99632999999992
BC7607,MText,"IPC 10-25 (Surface) MSL 231421",C-WS-T,9.99632999999992
BC7609,MText,"IPC Central Processing Facility MSL 231295",C-WS-T,9.996419999999889
BC760E,MText,"IPC Riser Site PIL 230321",C-WS-T,9.999763914914853
BC7610,MText,"IPC Riser Site PIL 230320",C-WS-T,9.999763914914853
BC7612,MText,"IPC 14-25 (Surface) MSL 091738",C-WS-T,9.996419999999874
BC7616,MText,"IPC 9-25 (Surface) MSL 240046",C-WS-T,9.996398269999952
BC7618,MText,"10-25 (Abd.)",C-WS-T,9.992751313859955
BC761A,MText,"IPC Storage Site MLL 240154",C-WS-T,10.003600495890439
BC761C,MText,"IPC Sump Site  MSL 083216 (To be Amended)",C-WS-T,9.99632999999992
BC7622,AlignedDimension,"Inter Pipeline  P/L R/W  230977",F-RW-T,Compass 5 000
BC7623,AlignedDimension,"White Spruce  P/L R/W  240239",F-RW-T,Compass 5 000
BC7624,AlignedDimension,"White Spruce  P/L R/W  240246",F-RW-T,Compass 5 000
BC7626,DBText,"(Undeveloped)",T-TEXT,9.996419999999922
BC7645,BlockReference,"GAS",C-WS-S,4.998209999999948
BC764B,BlockReference,"GAS",C-WS-S,4.998209999999948
BC764C,BlockReference,"GAS",C-WS-S,4.998209999999948
BC764D,BlockReference,"GAS",C-WS-S,4.998209999999948
BC764F,BlockReference,"GAS",C-WS-S,4.998209999999948
BC7650,BlockReference,"GAS",C-WS-S,4.998209999999948
BC7651,BlockReference,"GAS",C-WS-S,4.998209999999948
BC7652,BlockReference,"GAS",C-WS-S,4.998209999999953
BC7653,BlockReference,"GAS",C-WS-S,4.998209999999953
BC7654,BlockReference,"GAS",C-WS-S,4.998209999999953
BC7655,BlockReference,"GAS",C-WS-S,4.998209999999953
BC7656,BlockReference,"GAS",C-WS-S,4.998209999999953
BC7657,BlockReference,"GABD",C-WS-S,4.998209999999954
BC7658,BlockReference,"GAS",C-WS-S,4.998209999999955
BC7659,BlockReference,"GAS",C-WS-S,4.998209999999955
BC765D,BlockReference,"GAS",C-WS-S,5
BC765E,BlockReference,"GAS",C-WS-S,5
BC765F,BlockReference,"GAS",C-WS-S,5
BC7660,BlockReference,"GAS",C-WS-S,5
BC7661,BlockReference,"GAS",C-WS-S,5
BC7662,BlockReference,"GAS",C-WS-S,5
BC7663,BlockReference,"GAS",C-WS-S,5
BC7664,BlockReference,"GAS",C-WS-S,5
BC7665,BlockReference,"GAS",C-WS-S,5
BC7666,BlockReference,"GAS",C-WS-S,5
BC7667,BlockReference,"GAS",C-WS-S,5
BC7668,BlockReference,"GAS",C-WS-S,5
BC7669,BlockReference,"GAS",C-WS-S,5
BC766A,BlockReference,"GAS",C-WS-S,5
BC766B,BlockReference,"GAS",C-WS-S,5
BC766C,BlockReference,"GAS",C-WS-S,5
BC766D,BlockReference,"GAS",C-WS-S,5
BC766E,BlockReference,"GAS",C-WS-S,5
BC766F,BlockReference,"GAS",C-WS-S,5
BC7670,BlockReference,"GAS",C-WS-S,5
BC7671,BlockReference,"GAS",C-WS-S,5
BC7672,BlockReference,"GAS",C-WS-S,5
BC7673,BlockReference,"GAS",C-WS-S,5
BC7674,BlockReference,"GAS",C-WS-S,5
BC7675,BlockReference,"GAS",C-WS-S,5
BC7676,BlockReference,"GAS",C-WS-S,5
BC7677,BlockReference,"GAS",C-WS-S,5
BC7678,BlockReference,"GAS",C-WS-S,5
C0A8E8,MText,"IPC Additional Area RTF2414774",T-EXISTING TFA-T,10.000000000000005
C1F174,AlignedDimension,"IPC  P/L R/W  091463",C-RW-T,Compass 5 000
C1F190,AlignedDimension,"IPC  A/R  090345",C-AR-T,Compass 5 000
C1F1AC,AlignedDimension,"IPC  P/L R/W  982 5882  972577",C-RW-T,Compass 5 000
C1FAD0,AlignedDimension,"IPC  A/R  091362",C-AR-T,Compass 5 000
C1FF9C,MText,"IPCWork Camp DML 230059",C-WS-T,9.996398269999988
C20D2F,AlignedDimension,"IPC  A/R LOC 240082",F-RW-T,Compass 5 000
