Handle,ObjType,Content,Layer,Extra
AF9178,MText,"Twp. 65",D-TXT,13.994078000000005
AF9179,MText,"Twp. 66",D-TXT,13.994078000000005
AF9185,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995770000000006
AF9281,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995770000000006
AF9298,BlockReference,"*U19",0,1
AF92E0,BlockReference,"L-SECLBL",L-SECLBL,1
AF93DE,DBText,"Theor. S.W.1/4 Sec. 5-66-3-W.6M.",C-SYMBOL,20.00000000000001
AF93EC,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00000000000001
AF93EE,MText,"L.S. 3",L-SECTION-LSD,10.000000000000005
AF93F0,MText,"L.S. 4",L-SECTION-LSD,10.000000000000005
AF93F2,MText,"L.S. 6",L-SECTION-LSD,10.000000000000005
AF93F4,MText,"L.S. 5",L-SECTION-LSD,10.000000000000005
AF95D1,MText,"Veren  13-32 (Surface)  MSL 121150",C-WS-T,9.995699999999966
AF95D4,AlignedDimension,"CNRL  A/R  880425",F-AR-T,Compass 5 000
AF95D6,AlignedDimension,"CNRL  A/R  132195",F-AR-T,Compass 5 000
AF9709,AlignedDimension,"Veren  A/R  121130",C-AR-T,Compass 5 000
AF9829,AlignedDimension,"CNRL  A/R  140229",F-AR-T,Compass 5 000
AF9855,AlignedDimension,"PGI  P/L R/W  022 1872  001999",F-AR-T,Compass 5 000
AF998F,AlignedDimension,"Keyera  P/L R/W  131092",F-AR-T,Compass 5 000
AF9A00,AlignedDimension,"Veren  P/L R/W  140266",C-RW-T,Compass 5 000
AF9A3B,AlignedDimension,"CNRL  P/L R/W  140318",F-RW-T,Compass 5 000
AF9A60,AlignedDimension,"Veren  P/L R/W  141806",C-RW-T,Compass 5 000
AF9B9A,AlignedDimension,"Mancal  P/L R/W  150151",F-RW-T,Compass 5 000
AF9BD5,AlignedDimension,"PGI  P/L R/W  190410",F-RW-T,Compass 5 000
AFA03E,BlockReference,"*U31",DETAIL-T,0.999577
AFA0C1,BlockReference,"*U32",P-TEMP-BLOCKS,0.9990552208060003
AFA2E2,MText,"Existing Borrow Pit",T-EXISTING TFA-T,9.990552208060004
B01E9F,BlockReference,"*U33",AS-WILDLIFE-BLOCK,1
B05FBD,BlockReference,"Disclaimer_Legal",CG-NOTES,0.2
