Handle,ObjType,Content,Layer,Extra
BAF826,BlockReference,"L-SECLBL",L-SECLBL,0.99959315
BAF82C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993477120000462
BAF82E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993477120000462
BAF8BE,BlockReference,"L-SECLBL",L-SECLBL,0.999602830000027
BAF8C4,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.996028300000306
BAF8C5,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.996028300000306
BAF8C6,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.995923200000355
BAF8D6,MText,"Theor. S.W.1/4 Sec. 12-66-4-W.6M.",C-SYMBOL,19.991846400000714
BAF95F,MText,"Veren 5-12 (Surface) MSL 131064",C-WS,9.995923200000254
BAF9A9,MText,"Veren 15.00 A/R LOC 131113",C-AR-T,9.995923200000254
BAF9AB,AlignedDimension,"Veren  A/R  210907",C-AR-T,Compass 5 000
BAF9AF,AlignedDimension,"Veren  Waterline R/W  210892",C-RW-T,Compass 5 000
BAF9B1,AlignedDimension,"Veren  P/L R/W  160830",C-RW-T,Compass 5 000
BAF9B2,AlignedDimension,"Veren  P/L R/W  220277",C-RW-T,Compass 5 000
BAF9B5,AlignedDimension,"Veren  P/L R/W  170041",C-RW-T,Compass 5 000
BAF9B7,AlignedDimension,"Veren  P/L R/W  170447",C-RW-T,Compass 5 000
BAF9B9,AlignedDimension,"Veren  P/L R/W  ______",C-RW-T,Compass 5 000
BAF9BA,AlignedDimension,"Veren  P/L R/W  ______",C-RW-T,Compass 5 000
BAF9BD,MText,"Veren 12-12 (Surface) MSL 221538 (To be Amended)",C-WS-T,9.995923200000254
BAF9BF,MText,"Veren Pump Station PIL 210219",C-WS-T,9.995923200000254
BAF9C1,AlignedDimension,"CNRL  A/R  045549",F-AR-T,Compass 5 000
BAF9C3,AlignedDimension,"CNRL  Access R/W  902 2055  881104",F-AR-T,Compass 5 000
BAF9D7,AlignedDimension,"CNRL  A/R  890935",F-AR-T,Compass 5 000
BAF9DB,AlignedDimension,"Mancal  P/L R/W  112169",F-RW-T,Compass 5 000
BAF9DC,AlignedDimension,"CNRL  P/L R/W  902 2055  890721",F-RW-T,Compass 5 000
BAF9DD,AlignedDimension,"HWN  P/L R/W  131055",F-RW-T,Compass 5 000
BAF9E7,MText,"CNRL 10.00 P/L R/W Plan 052 4987 PLA 052315",F-RW-T,9.995923200000236
BAF9E9,AlignedDimension,"CNRL  P/L R/W  220903",F-RW-T,Compass 5 000
BAF9EA,AlignedDimension,"HWN  P/L R/W  121940",F-RW-T,Compass 5 000
BAF9EC,AlignedDimension,"CNRL  P/L R/W  942 0857  940124",F-RW-T,Compass 5 000
BAF9F0,MText,"CNRL 6-12 (Surface) MSL 045549",F-WS-T,9.995923200000254
BAF9F1,MText,"CNRL 1-11 (Surface) MSL 881654",F-WS-T,9.995923200000254
BAF9F2,MText,"Mancal 16-11 (Surface) MSL 141322",F-WS-T,9.995923200000254
BAF9F3,MText,"HWN Riser Site PIL 130509",F-WS-T,9.995923200000254
BAF9FE,MText,"40cm Poplar & Scattered Spruce",T-BUSH-T,9.995923200000247
BAFA0C,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA0D,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA0E,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA0F,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA10,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA11,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA12,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA13,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA14,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA15,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA16,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA17,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA18,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA19,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA1A,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA1B,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA1C,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA1D,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA1E,BlockReference,"GAS",F-WS-S,4.997961600000131
BAFA1F,BlockReference,"GAS",F-WS-S,4.997961600000131
BB7371,AlignedDimension,"HWN  P/L R/W  121940",F-RW-T,Compass 5 000
BC6CA5,BlockReference,"604066",Parcel Mapping,1.000407015594295
BCE4C9,AlignedDimension,"Alberta Rail Rock  A/R  012332",F-AR-T,Compass 5 000
BCFE99,MText,"Theor. N.W.1/4  Sec. 12-66-4-W.6M.",C-SYMBOL,19.99186300000029
BD220E,AlignedDimension,"Veren  P/L R/W  170041",C-RW-T,Compass 5 000
BD225A,AlignedDimension,"Veren  P/L R/W  220744",C-RW-T,Compass 5 000
BD2276,AlignedDimension,"CNRL  P/L R/W  220903",F-RW-T,Compass 5 000
BD2292,AlignedDimension,"Veren  P/L R/W  160828",C-RW-T,Compass 5 000
BD23BE,AlignedDimension,"Alberta Rail Rock  A/R  012332",F-AR-T,Compass 5 000
BF2497,AlignedDimension,"Veren  Water Line R/W  210892",C-AR-T,Compass 5 000
BF6EA0,AlignedDimension,"Veren  P/L R/W  220744",C-RW-T,Compass 5 000
C08984,MText,"Veren Processing Facility MLL 250005",C-WS,9.995923200000265
C089BA,AlignedDimension,"Veren  P/L R/W  250048",C-AR-T,Compass 5 000
C0942E,AlignedDimension,"Veren  P/L R/W  250048",C-AR-T,Compass 5 000
C09724,MText,"Existing Borrow Pit",T-EXISTING RTF-T,10.000000000000037
C09792,BlockReference,"*U50",P-TEMP-BLOCKS,0.99959315
C097A7,BlockReference,"*U51",P-TEMP-BLOCKS,0.99959315
C097BD,BlockReference,"*U52",DETAIL-T,1
C097CF,BlockReference,"*U53",DETAIL-T,1
C09885,MText,"Existing Log Deck",T-EXISTING RTF-T,9.99597
C0988D,BlockReference,"*U54",DETAIL-T,0.9995970000000022
C0989F,BlockReference,"*U55",P-TEMP-BLOCKS,0.9995970000000022
C098BC,MText,"40cm Poplar & Spruce",T-BUSH-T,9.996028300000033
C0EA37,DBText,"RP",35,9.995931500000028
C19195,BlockReference,"*U55",P-TEMP-BLOCKS,0.9995970000000022
C1B55F,MText,"100m Buffer",P-BUFFER-T,9.995970000000018
C2C63B,MText,"L.S. 9",L-SECTION-LSD,9.995931500000001
C2C63D,MText,"L.S. 10",L-SECTION-LSD,9.995931500000001
C2C63F,MText,"L.S. 16",L-SECTION-LSD,9.995931500000001
C2C641,MText,"L.S. 15",L-SECTION-LSD,9.995931500000001
C2C643,MText,"L.S. 3",L-SECTION-LSD,9.995931500000001
C2C645,MText,"L.S. 4",L-SECTION-LSD,9.995931500000001
C2C647,MText,"L.S. 6",L-SECTION-LSD,9.995931500000001
C2C649,MText,"L.S. 5",L-SECTION-LSD,9.995931500000001
C2E8AF,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.5
