Handle,ObjType,Content,Layer,Extra
BC6B4C,BlockReference,"RP",CG-NOTES,-1
BCC98C,BlockReference,"L-SECLBL",L-SECLBL,0.9995507200000007
BCC9D0,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999877
BCC9D4,MText,"Buried Telus Cable",AS-TELUS,9.995507199999926
BCC9D5,MText,"Fortis O/H Power Line",AS-POWER,9.991159954008488
BCC9E2,DBText,"Government Road Allowance",L-ROAD-T,9.995507199999944
BCC9E3,DBText,"(Correction Line)",L-ROAD-T,9.995507199999944
BCC9F3,DBText,"Government Road Allowance",L-ROAD-T,9.995507199999947
BCCA08,MText,"Buried Telus Cable",AS-TELUS,9.995507199999926
BCCA13,MText,"Fortis O/H Power Line",AS-POWER,9.991159954008488
BCCA16,MText,"Twp. 58",D-TXT,13.999999999999929
BCCA17,MText,"Twp. 59",D-TXT,13.999999999999929
BCCD7A,AlignedDimension,"Outlier  A/R  030512",C-AR-T,Compass 5 000
BCCD7C,AlignedDimension,"Outlier  P/L R/W  031995",C-RW-T,Compass 5 000
BCCD7D,AlignedDimension,"Outlier  P/L R/W  021935",C-RW-T,Compass 5 000
BCCD7E,AlignedDimension,"Outlier  P/L R/W  112 1221  033923",C-RW-T,Compass 5 000
BCCD7F,AlignedDimension,"Outlier  P/L R/W  101296",C-RW-T,Compass 5 000
BCCD80,AlignedDimension,"Outlier  P/L R/W  021935",C-RW-T,Compass 5 000
BCCD83,MText,"Outlier 8-34 (Surface) MSL 030735",C-WS-T,9.995507199999926
BCCD84,MText,"Outlier Battery Site MSL 031959",C-WS-T,9.995507199999926
BCCD85,MText,"8-34 (Abd.)",C-WS-T,9.995507199999926
BCCD88,AlignedDimension,"Woodlands County  Forestry Road  600018",F-AR-T,Compass 5 000
BCCD8A,AlignedDimension,"Fortis  Width  Line R/W  3105",F-EZE-T,Compass 5 000
BCCD8F,AlignedDimension,"Sinopec  P/L R/W  092 7183  054675",F-RW-T,Compass 5 000
BCCD91,AlignedDimension,"Fortis  Power Line R/W  5821 MC",F-RW-T,Compass 5 000
BCCD92,AlignedDimension,"Fortis  Width  Control R/W  150003",F-VCE-T,Compass 5 000
BCCD94,AlignedDimension,"46.00 Road  842 1011",L-TITLEDB-T,Compass 5 000
BCCD95,MText,"Lot 1 Block 2 Plan 062 6383",L-TITLEDB-T,9.995507199999926
BCCD96,MText,"Lot 1 Block 1 Plan 022 7441",L-TITLEDB-T,9.995507199999926
BCCD97,AlignedDimension,"20.12 Road  800 CL",L-TITLEDB-T,Compass 5 000
BCCD99,AlignedDimension,"46.00 Road  842 1011",L-TITLEDB-T,Compass 5 000
BCCD9C,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999877
BCCD9D,DBText,"(Undeveloped)",T-TEXT,9.995507199999944
BCCD9E,DBText,"(Undeveloped)",T-TEXT,9.995507199999947
BCCDBF,BlockReference,"*U22",AS-OWNER,1
BCCDCE,BlockReference,"*U21",AS-OWNER,1
BCCDF0,BlockReference,"GABD",F-WS-S,4.997753599999968
BCF8F3,BlockReference,"*U37",P-TEMP-BLOCKS,1
BCF957,DBText,"N.E.1/4 Sec. 34-58-12-W.5M.",C-SYMBOL,19.991040000000005
BCF958,DBText,"Area Required = 0.041 ha  0.10 Ac.",L-AREAREQUIRED,10.995072000000008
BCFBB5,MText,"S.E.1/4 Sec. 34-58-12-W.5M.",C-SYMBOL,19.99101439999983
BCFBB6,MText,"Area Required = 0.803 ha  1.98 Ac.",L-AREAREQUIRED,10.995072000000008
BD1063,MText,"L.S. 9",L-SECTION-LSD,9.995520000000003
BD1065,MText,"L.S. 10",L-SECTION-LSD,9.995520000000003
BD1067,MText,"L.S. 16",L-SECTION-LSD,9.995520000000003
BD1069,MText,"L.S. 15",L-SECTION-LSD,9.995520000000003
BD109C,MText,"L.S. 1",L-SECTION-LSD,9.995520000000003
BD109D,MText,"L.S. 2",L-SECTION-LSD,9.995520000000003
BD109F,MText,"L.S. 8",L-SECTION-LSD,9.995520000000003
BD10A0,MText,"L.S. 7",L-SECTION-LSD,9.995520000000003
BD8E82,AlignedDimension,"Cenovus  P/L R/W  092 6577  032086",F-RW-T,Compass 5 000
