Handle,ObjType,Content,Layer,Extra
BC776D,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999877
BC794D,BlockReference,"*U27",CG-NOTES,0.99961669
BC7CC8,BlockReference,"RISER",AS-SYMBOL,4.99808345
BC7CCD,BlockReference,"RISER",AS-SYMBOL,4.99808345
BCC211,BlockReference,"*U46",AS-POWER-EXISTING-ANC,4.99808345
BCC212,BlockReference,"*U45",AS-POWER-EXISTING-ANC,4.99808345
BCFE39,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BCFE3A,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BCFE3B,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BCFE3C,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BCFE3D,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BCFE3F,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BD1098,BlockReference,"FLARE",AS-SYMBOL,4.99808345
BD36F2,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9961669
BD66B8,BlockReference,"L-SECLBL",L-SECLBL,1
BD66C2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99999999999995
BD66C3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99999999999995
BD6709,MText,"Obsidian 10.00 A/R LOC 220191",F-AR-T,9.99999999999995
BD670A,MText,"InPlay 10-7 (Surface) MSL 233",C-WS-T,9.99999999999995
BD670C,MText,"InPlay 16-7 (Surface) MSL 233",C-WS-T,9.99999999999995
BD670D,AlignedDimension,"InPlay  A/R  233",C-AR-T,Compass 5 000
BD670E,AlignedDimension,"InPlay  A/R  1440",C-AR-T,Compass 5 000
BD670F,MText,"Barrel 15-7 (Surface) MSL 051752",F-WS-T,9.99999999999995
BD6710,AlignedDimension,"Barrel  A/R  051752",F-AR-T,Compass 5 000
BD6711,MText,"InPlay 16-7 (Surface) MSL 210016",C-WS-T,9.99999999999995
BD6712,MText,"InPlay 10-7 (Surface) MSL 210017",C-WS-T,9.99999999999995
BD6713,MText,"Obsidian Riser Site PIL 220043",F-WS-T,9.99999999999995
BD6715,MText,"Obsidian Riser Site PIL 220044",F-WS-T,9.99999999999995
BD6718,AlignedDimension,"Pembina  P/L R/W  6198 KS  136",F-AR-T,Compass 5 000
BD6719,AlignedDimension,"Barrel  P/L R/W  062 5342  052211",F-AR-T,Compass 5 000
BD671A,AlignedDimension,"Cenovus  P/L R/W  092 4100  053647",F-AR-T,Compass 5 000
BD671B,AlignedDimension,"InPlay  P/L R/W  210017",C-RW-T,Compass 5 000
BD671D,AlignedDimension,"InPlay  P/L R/W  210041",C-RW-T,Compass 5 000
BD671E,AlignedDimension,"InPlay  P/L R/W  210295",C-RW-T,Compass 5 000
BD671F,AlignedDimension,"Obsidian  P/L R/W  210885",F-AR-T,Compass 5 000
BD6720,AlignedDimension,"InPlay  Flow Line R/W  790126",C-RW-T,Compass 5 000
BD6723,AlignedDimension,"Fortis  Power Line R/W  140120",F-EZE-T,Compass 5 000
BD672B,MText,"Unnamed Creek",T-WATER-T,9.986663518276936
BD7B30,AlignedDimension,"Barrel  P/L R/W  062 6567  052215",F-EZE-T,Compass 5 000
BDA37E,BlockReference,"GAS",C-WS-S,4.99808345
BDA37F,BlockReference,"GAS",C-WS-S,4.99808345
BDA380,BlockReference,"GAS",C-WS-S,4.99808345
BDA381,BlockReference,"GAS",F-WS-S,4.99808345
BDA530,BlockReference,"GAS",C-WS-S,4.99808345
BDA531,BlockReference,"GAS",C-WS-S,4.99808345
BDA532,BlockReference,"GAS",C-WS-S,4.99808345
BDA533,BlockReference,"GAS",C-WS-S,4.99808345
BDA56A,BlockReference,"GAS",C-WS-S,4.99808345
BE9C96,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BE9C97,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BE9C98,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BE9C99,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BE9C9A,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BE9C9B,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99808345
BE9C9C,BlockReference,"RISER",AS-SYMBOL,4.99808345
BE9C9D,BlockReference,"RISER",AS-SYMBOL,4.99808345
BE9C9E,BlockReference,"FLARE",AS-SYMBOL,4.99808345
BE9C9F,BlockReference,"GAS",C-WS-S,4.99808345
BE9CA0,BlockReference,"GAS",C-WS-S,4.99808345
BE9CA1,BlockReference,"GAS",C-WS-S,4.99808345
BEA6E2,MText,"Obsidian 10.00 A/R LOC 220191",F-AR-T,9.99999999999995
BEA6E3,MText,"Obsidian Riser Site PIL 220043",F-WS-T,9.99999999999995
BEA6E4,MText,"W/H 103/6-9 (HZ)",C-WS-T,9.99999999999995
BEA6E5,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9961669
BEA6E6,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9961669
BEA6E7,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9961669
BEA6E8,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9961669
BEA921,MText,"Tank",AS-STRUCTURE-T,9.996166900000052
BEA923,MText,"Building",AS-STRUCTURE-T,9.996166900000052
BEA926,MText,"Building",AS-STRUCTURE-T,9.996166900000052
BEA928,MText,"Buildings",AS-STRUCTURE-T,9.996166900000052
BEA92C,MText,"Building",AS-STRUCTURE-T,9.996166900000052
BEA931,MText,"Tank",AS-STRUCTURE-T,9.996166900000052
BEDCA5,MText,"Trail",T-TEXT,9.99999999999995
BEDCA6,AlignedDimension,"Obsidian  P/L R/W  210885",F-AR-T,Compass 5 000
BEDCCD,AlignedDimension,"Fortis  Power Line R/W  140120",F-EZE-T,Compass 5 000
BEDCF4,AlignedDimension,"InPlay  A/R  233",C-AR-T,Compass 5 000
BEDD5F,BlockReference,"*U47",AS-POWER-EXISTING-ANC,4.99808345
BEDD78,BlockReference,"*U48",AS-POWER-EXISTING-ANC,4.99808345
BEE68A,MText,"InPlay 10-7 (Surface) MSL 233",C-WS-T,9.99999999999995
BEE68B,AlignedDimension,"InPlay  A/R  1440",C-AR-T,Compass 5 000
BEE6BB,AlignedDimension,"Pembina  P/L R/W  6198 KS  136",F-AR-T,Compass 5 000
BEE6EB,AlignedDimension,"InPlay  P/L R/W  210295",C-RW-T,Compass 5 000
BEE712,AlignedDimension,"InPlay  P/L R/W  210041",C-RW-T,Compass 5 000
BEE739,AlignedDimension,"InPlay  Flow Line R/W  790126",C-RW-T,Compass 5 000
BF1017,AlignedDimension,"InPlay  P/L R/W  210017",C-RW-T,Compass 5 000
BF2848,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.9923338
BF3AAB,MText,"SEE DETAIL",DETAIL-T,15.993867039999968
BF43AC,MText,"Buried Pipe",AS-PIPE-UG-T,9.99999999999995
BF447D,MText,"Buried Pipes(2)",AS-PIPE-UG-T,9.99999999999995
BF447E,MText,"Buried Pipe",AS-PIPE-UG-T,9.99999999999995
BF448C,MText,"AS-BUILT LEGEND",0,9.9961669
BF45DF,DBText,"Anchor",CG-NOTES,9.9961669
BF45E0,DBText,"Flare Stack",CG-NOTES,9.9961669
BF45E3,DBText,"Pipe",CG-NOTES,9.9961669
BF45E4,DBText,"A/G (Above Ground)",CG-NOTES,9.9961669
BF45E5,DBText,"U/G (Underground)",CG-NOTES,9.9961669
BF45E7,DBText,"Propane Bullet",CG-NOTES,9.9961669
BF45E8,DBText,"Riser",CG-NOTES,9.9961669
BF45EB,DBText,"Power Pole",CG-NOTES,9.9961669
BF516B,MText,"Buried Pipe",AS-PIPE-UG-T,9.99999999999995
BF516C,MText,"Buried Pipe",AS-PIPE-UG-T,9.99999999999995
BF679D,MText,"W/H 11-9 (HZ)",C-WS-T,9.99999999999995
BF679E,MText,"W/H 102/14-9 (HZ)",C-WS-T,9.99999999999995
C01A7E,BlockReference,"*U55",0,0.99961669
C25112,BlockReference,"*U56",P-TEMP-BLOCKS,0.99961669
C25128,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.99961669
C2AF92,MText,"Theor. N.E.1/4 Sec. 7-47-9-W.5M.",C-SYMBOL,19.999999999999876
C2E09E,MText,"InPlay 10-7 (Surface) MSL 210017",C-WS-T,9.99999999999995
C39F1F,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.99961669
C39FE9,BlockReference,"*U57",P-TEMP-BLOCKS,0.99961669
C3C335,MText,"L.S. 9",L-SECTION-LSD,9.9961669
C3C337,MText,"L.S. 10",L-SECTION-LSD,9.9961669
C3C339,MText,"L.S. 16",L-SECTION-LSD,9.9961669
C3C33B,MText,"L.S. 15",L-SECTION-LSD,9.9961669
C415BB,BlockReference,"Disclaimer_Legal",0,1
