Handle,ObjType,Content,Layer,Extra
BC9BEA,BlockReference,"FDI",L-MON,5.000000000000012
BCB7BD,BlockReference,"FDI",L-MON,5.000000000000011
BCD0D4,AlignedDimension,"Wheatland County  Roadway  001 266 428  231 313 458",F-FLOWLINE-T,Compass 5 000
BCE8BC,AlignedDimension,"Persist  A/R",F-AR-T,Compass 5 000
BCE8ED,AlignedDimension,"20.12 Road  8459 Q",L-TITLEDB,Compass 5 000
BCF0DC,BlockReference,"L-SECLBL",L-SECLBL,0.99985007
BD0116,AlignedDimension,"Persist  A/R",F-AR-T,Compass 5 000
BD0905,AlignedDimension,"Harvest  P/L R/W  011 007 297",F-RW-T,Compass 5 000
BD0961,AlignedDimension,"ATCO  P/L R/W  761 1202",C-RW-T,Compass 5 000
BD098A,AlignedDimension,"R/W  IRR 376 BC",L-TITLEDB-T,Compass 5 000
BD09CF,MText,"Irrigation R/W Plan IRR 572 BR",L-TITLEDB-T,9.998500700000022
BD119B,MText,"Lot 3 Block 1 Plan 081 3440",L-TITLEDB-T,9.998500700000022
BD119C,MText,"Lot 2 Block 1 Plan 081 3440",L-TITLEDB-T,9.998500700000022
BD119D,MText,"Lot 1 Block 1 Plan 081 3440",L-TITLEDB-T,9.998500700000022
BD119E,DBText,"S.W.1/4 Sec. 17-22-26-W.4M.",C-SYMBOL,19.997001400000045
BD1975,AlignedDimension,"Ember  A/R",F-AR-T,Compass 5 000
BD216E,AlignedDimension,"Ember  A/R",F-AR-T,Compass 5 000
BD218A,AlignedDimension,"Ember  P/L R/W  101 4134",F-AR-T,Compass 5 000
BD4198,BlockReference,"TEMP",L-MON,5.000000000000007
BD4199,BlockReference,"TEMP",L-MON,5.000000000000007
BD419A,BlockReference,"TEMP",L-MON,5.000000000000007
BD419B,BlockReference,"TEMP",L-MON,5.000000000000007
BD419C,BlockReference,"TEMP",L-MON,5.000000000000007
BD4F56,BlockReference,"TEMP",L-MON,4.9992503500000085
BD4F57,BlockReference,"TEMP",L-MON,4.9992503500000085
BD4F58,BlockReference,"TEMP",L-MON,4.9992503500000085
BD4F59,BlockReference,"TEMP",L-MON,4.9992503500000085
BD4F5A,BlockReference,"TEMP",L-MON,4.9992503500000085
BD5294,DBText,"278°27'45"",L-BD,9.998500700000017
BD5295,DBText,"173.19 (Tie)",L-BD,9.998500700000017
BD529E,DBText,"611.99 (Tie)",L-BD,9.998500700000017
BD529F,DBText,"267°33'45"",L-BD,9.998500700000017
BD57D3,DBText,"91°47'25"",L-BD,9.998500700000017
BD57D5,DBText,"91°47'25"",L-BD,9.998500700000017
BD57DC,DBText,"1°",L-BD,9.998500700000017
BD6791,DBText,"47'",L-BD,9.998500700000017
BD6793,MText,"91°47'25''",L-BD,9.998500700000017
BD6796,MText,"271°47'25''",L-BD,9.998500700000017
BD679A,MText,"181°47'25''",L-BD,9.998500700000017
BD6CC1,MText,"25''",L-BD,9.998500700000017
BD7466,DBText,"611.99 (Tie)",L-BD,9.998500700000017
