Handle,ObjType,Content,Layer,Extra
B00918,MText,"Approximate Location of  G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,9.998882499999961
B0091D,AlignedDimension,"Taqa  P/L R/W  022 6146",F-RW,Compass 5 000
B00920,AlignedDimension,"Keyera  P/L R/W  162 1027",F-RW,Compass 5 000
B00923,MText,"EQUS O/H Power Line",AS-POWER,9.998882499999969
B00938,MText,"Telus Pedestal",AS-TELUS,9.998882499999969
B0097D,DBText,"(High Grade Gravel)",T-TEXT,9.998882499999961
B0097E,DBText,"Government Road Allowance",L-ROAD-T,9.998882499999961
B00EC3,MText,"Buried Pipe",AS-PIPE-UG-T,9.998882499999961
B00EC4,MText,"Buried Pipe (2)",AS-PIPE-UG-T,9.998882499999961
B0109E,BlockReference,"*U24",0,0.99988825
B1E616,MText,"Blindman River",T-WATER-T,9.998882499999944
B2E338,BlockReference,"*U26",DETAIL-T,0.99988825
B35563,DBText,"Pasture",T-TEXT,9.998882499999976
B359E5,DBText,"Cultivation",T-TEXT,9.999999999999972
B375D4,MText,"Buried Telus Cables (2)",AS-TELUS,9.998882499999969
B37B04,MText,"Gate",T-TEXT,9.998882499999961
B37B05,AlignedDimension,"5.03 Road  2944 NY",P-TXT,Compass 5 000
B38887,DBText,"Cultivation",T-TEXT,9.999999999999972
B38EEB,BlockReference,"xing2",P-CROSSINGS,0.9995454683101328
B38EF2,BlockReference,"xing2",P-CROSSINGS,0.9995454683101328
B6DB43,MText,"±400m",0,9.99999999999999
B6DB45,MText,"±400m",0,9.99999999999999
B6DB47,MText,"LINE OF SIGHT",0,9.99999999999999
B6DB84,MText,"±300m",0,9.99999999999999
B6DB86,MText,"±400m",0,9.99999999999999
B6DB88,MText,"LINE OF SIGHT",0,9.99999999999999
BBBCBC,DBText,"RP",35,9.999999999999996
BBC287,MText,"Blind Line",L-SEC,9.998882499999944
BBF08D,MText,"Culvert 0.4 Dia.",T-TEXT,9.998882499999969
BC1655,MText,"Culvert 0.4 Dia.",T-TEXT,9.998882499999969
BC1658,MText,"Culvert 0.4 Dia.",T-TEXT,9.998882499999969
BC165B,MText,"Culvert 0.4 Dia.",T-TEXT,9.998882499999969
BC165E,MText,"Culvert 0.4 Dia.",T-TEXT,9.998882499999969
BC1CE0,BlockReference,"*U25",DETAIL-T,1
BC1CEE,MText,"SITE PHOTO PLAN",DETAIL-T,19.99999999999993
BC399A,MText,"Culvert 0.4 Dia.",T-TEXT,9.998882499999969
BC4287,AlignedDimension,"5.03 Road  2944 NY",P-TXT,Compass 5 000
BC55B6,MText,"Baytex 10.00 A/R LOC 232251",C-AR-T,9.9988825
BC566E,MText,"N.-S.1/4 Line",L-QSEC,9.998882499999999
BCA148,MText,"Water Line",T-TEXT,9.998882499999961
