Handle,ObjType,Content,Layer,Extra
B02C57,BlockReference,"L-SECLBL",L-SECLBL,1
B06897,BlockReference,"FDI",L-MON,4.998503985
B068BA,BlockReference,"plspike",L-MON,4.998503985
B068C4,BlockReference,"plspike",L-MON,4.998503985
B068C9,BlockReference,"plspike",L-MON,4.998503985
B068CE,BlockReference,"plspike",L-MON,4.998503985
B068D3,BlockReference,"plspike",L-MON,4.998503985
B068D8,BlockReference,"plspike",L-MON,4.998503985
B068DD,BlockReference,"FDI",L-MON,4.998503985
B068E2,BlockReference,"FDI",L-MON,4.998503985
B068E7,BlockReference,"FDI",L-MON,4.998503985
B068EC,BlockReference,"FDI",L-MON,4.998503985
B068F1,BlockReference,"plspike",L-MON,4.998503985
B068F6,BlockReference,"plspike",L-MON,4.998503985
B068FB,BlockReference,"plspike",L-MON,4.998503985
B06900,BlockReference,"plspike",L-MON,4.998503985
B06905,BlockReference,"plspike",L-MON,4.998503985
B073E9,BlockReference,"RISER",AS-SYMBOL,4.998503985
B073EE,BlockReference,"RISER",AS-SYMBOL,4.998503985
B073F3,BlockReference,"RISER",AS-SYMBOL,4.998503985
B073F8,BlockReference,"RISER",AS-SYMBOL,4.998503985
B073FD,BlockReference,"RISER",AS-SYMBOL,4.998503985
B07402,BlockReference,"RISER",AS-SYMBOL,4.998503985
B07407,BlockReference,"RISER",AS-SYMBOL,4.998503985
B0740C,BlockReference,"RISER",AS-SYMBOL,4.998503985
B07411,BlockReference,"RISER",AS-SYMBOL,4.998503985
B07416,BlockReference,"RISER",AS-SYMBOL,4.998503985
B0741B,BlockReference,"RISER",AS-SYMBOL,4.998503985
B08791,MText,"Lot 1 Plan 952 4034",L-TITLEDB-T,10.000000000000007
B0997C,AlignedDimension,"Spark  P/L R/W  052 3623",F-RW-T,Compass 5 000
B099AD,AlignedDimension,"Spark  P/L R/W  042 2347",F-RW-T,Compass 5 000
B099CC,AlignedDimension,"Spark  P/L R/W  062 8225",F-RW-T,Compass 5 000
B0AC01,AlignedDimension,"20.12 Road  8649 Y",L-TITLEDB-T,Compass 5 000
B0BF6E,DBText,"N.E.1/4 Sec. 19-38-21-W.4M.",C-SYMBOL,20.000000000000014
B0FE71,MText,"Buried Telus Cable",AS-TELUS,10.000000000000007
B110D1,BlockReference,"GABD",F-WS-S,5.0000000000000036
B110D2,MText,"10-19 (Abd.)",F-WS,10.000000000000007
B11ABE,BlockReference,"GAS",F-WS-S,5.0000000000000036
B11ABF,AlignedDimension,"Spark  A/R",F-AR-T,Compass 5 000
B11ADB,MText,"Spark 15-19",F-WS,10.000000000000007
B13619,MText,"Trident 8-19 (Abd.)",F-WS,10.000000000000007
B1361A,BlockReference,"GABD",F-WS-S,5.0000000000000036
B1512D,MText,"Trident 16-19",F-WS,10.000000000000007
B1D10E,MText,"Fd.I. c.s. R3",L-MON,10.000000000000007
B1D10F,MText,"Fd.I. Mp. R4",L-MON,10.000000000000007
B1D110,MText,"Fd.I. Mp. R5",L-MON,10.000000000000007
B21FC9,BlockReference,"*U27",35,0.999700797
B2493B,DBText,"(8m High Grade Gravel)",T-TEXT,10.000000000000004
B2493C,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000004
B2494A,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000004
B2494B,DBText,"(Undeveloped)",T-TEXT,10.000000000000004
B24DDA,BlockReference,"*U29",AS-OWNER,1
B2529A,AlignedDimension,"30.18 Road  832 3056",L-TITLEDB-T,Compass 5 000
B252D7,DBText,"Riser Site = 0.023 ha  0.06 Ac.",L-AREAREQUIRED,11.000000000000004
B252D8,DBText,"Access Road = 0.038 ha  0.09 Ac.",L-AREAWORK,11.000000000000004
B2B71A,DBText,"1°",L-BD,9.99700797
B2BBB8,DBText,"23'",L-BD,9.99700797
B2BBBA,DBText,"20''",L-BD,9.99700797
B2FEE1,MText,"Trident 16-19",F-WS,9.99700797
B2FEE5,DBText,"Government Road Allowance",L-ROAD-T,9.99700797
B2FEE6,MText,"Buried Pipe",AS-PIPE-UG,9.99700797
B2FEE7,MText,"Buried Pipe",AS-PIPE-UG,9.99700797
B2FEE8,MText,"Buried Pipe",AS-PIPE-UG,9.99700797
B2FEEC,BlockReference,"*U26",DETAIL-T,0.999700797
B2FF04,MText,"64.29 30''",L-BD,9.99700797
B2FF05,MText,"15.00 49'",L-BD,9.99700797
B2FF06,MText,"17.97 182°",L-BD,9.99700797
B2FF0A,AlignedDimension,"Spark  P/L R/W  062 8225",F-RW-T,Compass 5 000
B2FF0B,AlignedDimension,"Spark  P/L R/W  042 2347",F-RW-T,Compass 5 000
B2FF0D,AlignedDimension,"10.00 A/R",P-TXT,Compass 5 000
B2FF0E,DBText,"(8m High Grade Gravel)",T-TEXT,9.99700797
B2FF11,MText,"Gravel Pad",T-TEXT,9.99700797
B2FF12,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF13,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF14,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF15,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF16,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF17,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF18,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF19,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF1A,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF1B,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF1C,BlockReference,"RISER",AS-SYMBOL,4.998503985
B2FF1D,BlockReference,"FDI",L-MON,4.998503985
B2FF1E,BlockReference,"FDI",L-MON,4.998503985
B2FF1F,BlockReference,"FDI",L-MON,4.998503985
B2FF20,BlockReference,"plspike",L-MON,4.998503985
B2FF21,BlockReference,"plspike",L-MON,4.998503985
B2FF22,BlockReference,"plspike",L-MON,4.998503985
B2FF23,BlockReference,"plspike",L-MON,4.998503985
B2FF24,BlockReference,"plspike",L-MON,4.998503985
B30596,MText,"38.53 270°08'10''",L-BD,9.99700797
B306CC,BlockReference,"FDI",L-MON,4.998503985
B31059,AlignedDimension,"30.18 Road  832 3056",P-TXT,Compass 5 000
B314FA,DBText,"23'",L-BD,9.99700797
B314FC,DBText,"1°",L-BD,9.99700797
B314FE,DBText,"20''",L-BD,9.99700797
B3195C,MText,"Fd.I. c.s.",L-MON,10.000000000000007
B3195E,MText,"Fd.I. c.s.",L-MON,10.000000000000007
B32CA3,MText,"Fd.I. Mp. R5",L-MON,10.000000000000007
B348ED,MText,"10.00 A/R",L-TITLEDB-T,10
B35639,BlockReference,"*U35",P-TXT,1
B356A5,MText,"L.S. 9",L-SECTION-LSD,10
B356A7,MText,"L.S. 10",L-SECTION-LSD,10
B356A9,MText,"L.S. 16",L-SECTION-LSD,10
B356AB,MText,"L.S. 15",L-SECTION-LSD,10
B3D86E,DBText,"Cultivation",T-TEXT,10
B3DCCD,DBText,"Lake",T-WATER,10
B3DCCE,DBText,"Lake",T-WATER,10
B3DCCF,BlockReference,"res_occ",AS-RESIDENCE,5
B3DCD0,DBText,"Residence",AS-RESIDENCE,10
B3E5B3,DBText,"Cultivation",T-TEXT,10
B3F44E,MText,"Trident 16-19",F-WS,10
B3F455,MText,"Buried Pipe",AS-PIPE-UG,10
B3F470,MText,"15.00 49'",L-BD,10
B3F471,MText,"17.97 182°",L-BD,10
B3F472,MText,"15.00 272°49'30''",L-BD,10
B3F473,MText,"92°49'30'' 15.00",L-BD,10
B3F474,MText,"2°49'30'' 15.00",L-BD,10
B3F475,MText,"38.53 270°08'10''",L-BD,10
B3F476,MText,"Riser (Typ.)",T-TEXT,10
B3F477,MText,"Gravel Pad",T-TEXT,9.999999999999998
B3F480,BlockReference,"plspike",L-MON,5
B3F481,BlockReference,"plspike",L-MON,5
B3F482,BlockReference,"plspike",L-MON,5
B3F483,BlockReference,"plspike",L-MON,5
B3F48B,BlockReference,"RISER",AS-SYMBOL,5
B3F48C,BlockReference,"RISER",AS-SYMBOL,5
B3F48D,BlockReference,"RISER",AS-SYMBOL,5
B3F48F,BlockReference,"RISER",AS-SYMBOL,5
B3F490,BlockReference,"RISER",AS-SYMBOL,5
B3F491,BlockReference,"RISER",AS-SYMBOL,5
B3F492,BlockReference,"RISER",AS-SYMBOL,5
B3F493,BlockReference,"RISER",AS-SYMBOL,5
B3F494,MText,"A/G Pipe",AS-PIPE-UG,10
B3F496,BlockReference,"RISER",AS-SYMBOL,5
B3F497,BlockReference,"RISER",AS-SYMBOL,5
B3F9E0,MText,"Buried Pipe",AS-PIPE-UG,10
B3F9F3,AlignedDimension,"Spark  P/L R/W  042 2347",F-RW-T,Compass 5 000
B3FE96,AlignedDimension,"Spark  P/L R/W  062 8225",F-RW-T,Compass 5 000
B3FEC8,BlockReference,"*U38",DETAIL-T,1
B4036B,AlignedDimension,"10.00 A/R",P-TXT,Compass 5 000
B403BA,MText,"SEE INSET",DETAIL-T,16
B66D15,MText,"Approximate Location of Apex Utilites Inc. Natural Gas Co-op",AS-PIPE-UG,10.000000000000007
B6B67C,AlignedDimension,"Spark  A/R",F-AR-T,Compass 5 000
B6D4AF,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.3
