Handle,ObjType,Content,Layer,Extra
B02C57,BlockReference,"L-SECLBL",L-SECLBL,1
B02C5F,AlignedDimension,"Spark  P/L R/W  042 2347",F-RW-T,Compass 5 000
B03572,AlignedDimension,"Spark  P/L R/W  042 2346",F-RW-T,Compass 5 000
B03591,AlignedDimension,"Spark  P/L R/W  052 3623",F-RW-T,Compass 5 000
B035C5,MText,"Lot 1 Block 1 Plan 112 1144",L-TITLEDB-T,10.000000000000007
B06897,BlockReference,"FDI",L-MON,5.0000000000000036
B0689C,BlockReference,"FDI",L-MON,5.0000000000000036
B068A1,BlockReference,"FDI",L-MON,5.0000000000000036
B068A6,BlockReference,"FDI",L-MON,5.0000000000000036
B068AB,BlockReference,"FDI",L-MON,5.0000000000000036
B068B0,BlockReference,"FDI",L-MON,5.0000000000000036
B068B5,BlockReference,"plspike",L-MON,5.0000000000000036
B068BA,BlockReference,"plspike",L-MON,5.0000000000000036
B068C9,BlockReference,"plspike",L-MON,5.0000000000000036
B068CE,BlockReference,"plspike",L-MON,5.0000000000000036
B068D3,BlockReference,"plspike",L-MON,5.0000000000000036
B068D8,BlockReference,"plspike",L-MON,5.0000000000000036
B068DD,BlockReference,"FDI",L-MON,5.0000000000000036
B068E2,BlockReference,"FDI",L-MON,5.0000000000000036
B068E7,BlockReference,"FDI",L-MON,5.0000000000000036
B068EC,BlockReference,"FDI",L-MON,5.0000000000000036
B068F1,BlockReference,"plspike",L-MON,5.0000000000000036
B068F6,BlockReference,"plspike",L-MON,5.0000000000000036
B068FB,BlockReference,"plspike",L-MON,5.0000000000000036
B06900,BlockReference,"plspike",L-MON,5.0000000000000036
B06905,BlockReference,"plspike",L-MON,5.0000000000000036
B073E9,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B073EE,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B073F3,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B073F8,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B073FD,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B07402,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B07407,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B0740C,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B07411,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B07416,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
B0741B,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
