Handle,ObjType,Content,Layer,Extra
BC4E0E,BlockReference,"L-SECLBL",L-SECLBL,0.999466
BC4EBD,DBText,"Theor. N.E.1/4",C-SYMBOL,19.978607323644464
BC4EBE,MText,"L.S. 9",L-SECTION-LSD,9.994650400000136
BC4EC0,MText,"L.S. 10",L-SECTION-LSD,9.994650400000136
BC4EC2,MText,"L.S. 16",L-SECTION-LSD,9.994650400000136
BC4EC4,MText,"L.S. 15",L-SECTION-LSD,9.994650400000136
BC4EC6,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994650400000136
BC4EC7,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994650400000136
BC4EC9,MText,"Rge. 20",D-TXT,13.985025126551124
BC4ECA,MText,"Rge. 19",D-TXT,13.985025126551124
BC4EDF,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991440640000354
BC4EE1,MText,"Sec. 24-62-20-W.5M.",C-SYMBOL,19.97860732364447
BC4EE3,DBText,"RP",35,10.000000000000009
BC4EEC,BlockReference,"HRV",CG-NOTES,0.9989303661822155
BC4F06,AlignedDimension,"Veren  P/L R/W  240720",C-AR-T,Compass 5 000
BC4F0E,AlignedDimension,"Paramount  A/R  1035",F-AR-T,Compass 5 000
BC4F12,AlignedDimension,"ATCO  Powerline R/W  2382",F-EZE-T,Compass 5 000
BC4F14,AlignedDimension,"ATCO  Powerline R/W  2527",F-EZE-T,Compass 5 000
BC4F2A,MText,"CNRL 28.00 P/L R/W PLA 180405",F-RW-T,9.994650400000099
BC4F2B,MText,"Texcal  9-24 (Surface) MSL 6570",F-RW-T,9.98930366182224
BC4F2D,MText,"Hybrid Tower Site Plan 092 8769 DML 2831",F-RW-T,9.98930366182224
BC4F2F,AlignedDimension,"Alliance  P/L R/W  002 3490  981096",F-RW-T,Compass 5 000
BC4F3B,AlignedDimension,"Texcal  P/L R/W  762 2395  6098",F-RW-T,Compass 5 000
BC4F3D,AlignedDimension,"Keyera  P/L R/W  200152",F-RW-T,Compass 5 000
BC4F3E,AlignedDimension,"Telus  Cable R/W  3568",F-RW-T,Compass 5 000
BC4F40,AlignedDimension,"Pembina  P/L R/W  120877",F-RW-T,Compass 5 000
BC4F41,AlignedDimension,"PGI  P/L R/W  802 0194  780509",F-RW-T,Compass 5 000
BC4F42,AlignedDimension,"Pembina  P/L R/W  297 RS  3018",F-RW-T,Compass 5 000
BC4F43,AlignedDimension,"Texcal  P/L R/W  892 0544  880372",F-RW-T,Compass 5 000
BC4F44,AlignedDimension,"Texcal  P/L R/W  3983",F-RW-T,Compass 5 000
BC4F53,AlignedDimension,"PGI  A/R  2439",F-WS-T,Compass 5 000
BC4F5F,BlockReference,"GAS",F-WS-S,4.997325200000018
BD0693,BlockReference,"TEMP",L-MON,5.000000000000003
BD0694,BlockReference,"TEMP",L-MON,5.000000000000003
BD0695,BlockReference,"TEMP",L-MON,5.000000000000003
BD0CE1,MText,"Buried Pipe",AS-PIPE-UG-T,9.994667799999885
BD0CE2,MText,"Buried Pipe",AS-PIPE-UG-T,9.994667799999885
BD0CE3,MText,"Buried Pipe",AS-PIPE-UG-T,9.994667799999885
BD0CE4,MText,"Buried Pipe",AS-PIPE-UG-T,9.994667799999885
BD0CE5,MText,"Buried Pipe",AS-PIPE-UG-T,9.994667799999885
BD0CE6,MText,"E.-W.1/4 Line",L-QSEC,9.994667799999942
BD0E0E,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.989335599999734
BD0EBB,DBText,"292°57'",L-BD1,9.994667799999926
BD0EBC,MText,"Veren 7-24 (Surface) MSL 231768",C-WS-T,9.999999999999888
BD0EBE,AlignedDimension,"Texcal  Flowline R/W  3983",F-FLOWLINE-T,Compass 5 000
BD0EBF,AlignedDimension,"Pembina  P/L R/W  120877",F-RW-T,Compass 5 000
BD0EC0,MText,"Texcal 15.00 P/L R/W Plan 892 0544 PLA 880372",F-RW-T,9.994667799999942
BD0EC1,AlignedDimension,"PGI  P/L R/W  802 0194  780509",F-RW-T,Compass 5 000
BD0EC2,AlignedDimension,"Pembina  P/L R/W  297 RS  3018",F-RW-T,Compass 5 000
BD0EC3,MText,"CNRL 28.00 P/L R/W PLA 180405",F-RW-T,9.994667799999942
BD29EA,BlockReference,"TEMP",L-MON,5.000000000000003
BD29EB,BlockReference,"TEMP",L-MON,5.000000000000003
BD29EC,BlockReference,"TEMP",L-MON,5.000000000000003
BD2BE0,DBText,"186°31'",L-BD,9.994660000000007
BD2BE7,MText,"20.9 29'",L-BD,9.994660000000007
BD2BED,DBText,"30'",L-BD,9.994660000000007
BD2BEF,DBText,"113°30'",L-BD,9.994660000000007
BD3770,DBText,"899.8(Tie)",L-BD,9.994660000000007
BD3771,DBText,"35°37'",L-BD,9.994660000000007
BD6E81,DBText,"Veren",C-WS-T,9.98930366182224
BD6E82,DBText,"7-24 (Surface)",C-WS-T,9.98930366182224
BD6E83,DBText,"MSL 231768",C-WS-T,9.98930366182224
BD7A79,MText,"SEE DETAIL",DETAIL-T,15.982996519775952
BD7A7B,MText,"100m Buffer",P-BUFFER-T,9.98937282486
BE07AB,MText,"10cm Balsam Fir 10-35cm Spruce",T-BUSH-T,9.989330647394764
BE18A6,DBText,"35°37'",L-BD,9.994660000000007
BE6277,BlockReference,"*U39",DETAIL-T,0.999466
BEA59D,BlockReference,"TEMP",L-MON,4.997330000000002
BEA59E,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5A0,DBText,"292°57'",L-BD,9.994660000000003
BEA5A2,DBText,"293°30'",L-BD,9.994660000000003
BEA5A3,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5A4,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5A6,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5A8,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5AA,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5AB,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5AC,BlockReference,"TEMP",L-MON,4.997330000000002
BEA5AD,BlockReference,"TEMP",L-MON,4.997330000000002
BEA9F6,DBText,"112°57'",L-BD,9.994660000000007
BEA9F8,DBText,"23°",L-BD,9.994660000000007
BEA9FA,DBText,"292°57'",L-BD,9.994660000000007
BEB45D,AlignedDimension,"Veren  P/L R/W  240720",C-AR-T,Compass 5 000
BEB484,MText,"293° 226.8",L-BD,9.994660000000007
BEF9F8,BlockReference,"TEMP",L-MON,5.000000000000001
BEF9F9,BlockReference,"TEMP",L-MON,5.000000000000001
BEF9FB,DBText,"30'",L-BD,9.994660000000007
BEFE4E,BlockReference,"TEMP",L-MON,5.000000000000001
BEFE4F,BlockReference,"TEMP",L-MON,5.000000000000001
BEFE64,DBText,"293°30'",L-BD,9.994660000000007
BF259A,MText,"275°37' 530.2(Tie)",L-BD,9.994660000000007
BF259B,MText,"275°37' 530.2(Tie)",L-BD,9.994660000000007
