Handle,ObjType,Content,Layer,Extra
BD01B6,BlockReference,"as-built legend",CG-NOTES,1
BE0DBA,BlockReference,"RISER",AS-SYMBOL,5.000000000000101
BE5F62,BlockReference,"RISER",AS-SYMBOL,4.9990153000000985
BE5F63,BlockReference,"RISER",AS-SYMBOL,4.9990153000000985
BE6828,BlockReference,"RISER",AS-SYMBOL,4.9990153000000985
BE7A2C,MText,"25cm Poplar  & Spruce",T-BUSH-T,9.998030600000197
BE8216,BlockReference,"RISER",AS-SYMBOL,4.9990153000000985
BF0A84,MText,"7m High Grade Gravel Road",T-TEXT,9.998030600000197
C004F7,BlockReference,"FDI",L-MON,5.000000000000088
C004F8,BlockReference,"FDI",L-MON,5.000000000000088
C06400,BlockReference,"L-SECLBL",L-SECLBL,0.9998059200000119
C0E096,MText,"Monument  Plan 082 7040",L-MON-T,9.99803060000016
C0E96D,MText,"Monument  Plan 082 7040",L-MON-T,9.99803060000016
C10328,MText,"800m Trumpeter Swan Buffer Boundary",AS-WILDLIFE,9.9980592000001
C1032A,MText,"500m Trumpeter Swan Buffer Boundary",AS-WILDLIFE,9.9980592000001
C17D26,AlignedDimension,"Insignia  A/R  210879",F-AR-T,Compass 5 000
C1CC54,AlignedDimension,"Insignia  P/L R/W  042 2923  021841",F-RW-T,Compass 5 000
C1DF1A,AlignedDimension,"Insignia  A/R  021092",F-WS-T,Compass 5 000
C1DF5E,MText,"Insignia 11-34 (Surface) MSL 210625",F-WS,10.000000000000144
D63B1C,AlignedDimension,"Insignia  P/L R/W  210464",F-RW-T,Compass 5 000
D64390,AlignedDimension,"Advantage  P/L R/W  041568",F-RW-T,Compass 5 000
D65F85,BlockReference,"Gabd",F-WS-S,4.9990153000000666
D68907,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.997935200000095
D68908,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998059200000093
D691DC,MText,"Twp. 75",D-TXT,13.99728288000009
D691DD,DBText,"Twp. 76",D-TXT,13.99728288000009
D749F2,AlignedDimension,"Insignia  P/L R/W  231174",F-RW-T,Compass 5 000
D7F3A7,MText,"30cm Poplar  & Spruce",T-BUSH-T,9.998030600000197
D9FC77,MText,"Culvert",T-TEXT,9.998030600000128
DA67E8,MText,"TPA 2706",AS-TRAPPER BOUNDARY,10.000000000000155
DA67E9,MText,"TPA 2559",AS-TRAPPER BOUNDARY,10.000000000000155
DBB47A,MText,"Theor. N.E.1/4 Sec. 34-75-11-W.6M.",C-SYMBOL,19.995870400000193
DBB47B,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996696320000076
DEFB48,BlockReference,"TEMP",L-MON,4.999015300000059
DEFB4A,BlockReference,"TEMP",L-MON,4.999015300000059
DEFB4B,BlockReference,"TEMP",L-MON,4.999015300000059
E09F71,MText,"SEE  DETAIL",DETAIL-T,15.996856959999937
E1094B,BlockReference,"FDI",L-MON,4.999015300000056
E1099D,MText,"7m High Grade Gravel Road",T-TEXT,9.998030600000197
E109A0,BlockReference,"RISER",AS-SYMBOL,4.999015300000056
E109A1,BlockReference,"RISER",AS-SYMBOL,4.999015300000056
E109A5,BlockReference,"RISER",AS-SYMBOL,4.999015300000056
E151FC,MText,"DETAIL  SCALE 1:1000",DETAIL-T,19.996061200000224
E15241,MText,"Fd.I.  Mp.",L-MON-T,9.997935200000104
E169E4,MText,"Fd.I. Mp. (Bent)",L-MON-T,9.997935200000104
E169EF,MText,"Monument  Plan 082 7040",L-MON-T,9.99803060000016
E17640,DBText,"297°07'55''",L-BD,9.998030600000112
E1D206,MText,"297°07'55'' 260.66",L-BD,9.998030600000112
E92075,DBText,"RP",35,9.998030600000112
E920F8,BlockReference,"*U36",DETAIL-T,0.99980306
F07BFE,AlignedDimension,"CNRL  P/L R/W  ______",C-RW-T,Compass 5 000
F10B12,AlignedDimension,"CNRL  P/L R/W  ______",C-RW-T,Compass 5 000
F10B40,MText,"Insignia Riser Site (Not on PLSR)",F-WS-T,9.998030600000064
F30BD6,MText,"7m High Grade Gravel Road",T-TEXT,9.998030600000197
F3EA3D,AlignedDimension,"Insignia  A/R  210879",F-AR-T,Compass 5 000
FBB8C5,BlockReference,"TEMP",L-MON,4.999015300000019
FBB8C6,BlockReference,"TEMP",L-MON,4.999015300000019
FBD833,DBText,"RP",35,9.998030600000112
FBD8DC,BlockReference,"*U46",DETAIL-T,0.99980306
FBEB87,BlockReference,"TEMP",L-MON,5.000000000000019
FBEB88,BlockReference,"TEMP",L-MON,5.000000000000019
FBEB89,BlockReference,"TEMP",L-MON,5.000000000000019
FBEB8A,BlockReference,"TEMP",L-MON,5.000000000000019
FBEB8B,BlockReference,"TEMP",L-MON,5.000000000000019
FC4744,AlignedDimension,"10.00 A/R",P-TXT,Compass 5 000
FC478F,AlignedDimension,"Insignia  P/L R/W  210464",F-RW-T,Compass 5 000
FC4DCA,AlignedDimension,"Advantage  P/L R/W  041568",F-RW-T,Compass 5 000
FC4DFC,AlignedDimension,"Insignia  P/L R/W  231174",F-RW-T,Compass 5 000
FC5628,MText,"260.76 (Tie) 115°35'35''",L-BD,9.998030600000032
FC562B,DBText,"89.16 (Tie)",L-BD,9.998030600000032
FC562C,DBText,"274°01'05''",L-BD,9.998030600000032
FC562E,DBText,"07''",L-BD,9.998030600000032
FC5630,DBText,"55''",L-BD,9.998030600000032
FC5632,DBText,"297°07'55''",L-BD,9.998030600000032
FC5633,DBText,"207°07'55''",L-BD,9.998030600000032
FC5635,DBText,"117°07'55''",L-BD,9.998030600000032
FC5C1E,MText,"25cm Poplar  & Spruce",T-BUSH-T,9.998030600000197
FC5C1F,AlignedDimension,"Insignia  A/R  021092",F-AR-T,Compass 5 000
FC5C68,AlignedDimension,"CNRL  A/R  981306",C-AR-T,Compass 5 000
FCA03C,BlockReference,"xing2",P-CROSSINGS,0.99980306
