Handle,ObjType,Content,Layer,Extra
B051A3,BlockReference,"L-SECLBL",L-SECLBL,1
B057C7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994710000000302
B057D0,MText,"Rge. 20",D-TXT,13.992625220000365
B057D1,MText,"Rge. 19",D-TXT,13.992625220000365
B057D6,DBText,"Theor. N.E.1/4",C-SYMBOL,19.989464600000435
B057D7,DBText,"Sec. 25-62-20-W.5M.",C-SYMBOL,19.989464600000435
B057D8,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000412
B0E336,BlockReference,"*U21",AS-SURFACE IMPACT,0.9994710000000312
B0EA5A,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.994732300000127
B0F5F0,AlignedDimension,"Crescent Point  P/L R/W  141539",C-RW-T,Compass 5 000
B0F66E,BlockReference,"NEZD Point",C-WS-T,1
B0F673,BlockReference,"NEZD Point",C-WS-T,1
B0F678,BlockReference,"NEZD Point",C-WS-T,1
B0F6A2,MText,"ESD Site",C-WS-T,9.994744700000364
B0F748,MText,"Pembina Tower Site DML190024 (Expired)",F-RW-T,9.994732300000216
B0F74A,AlignedDimension,"ATCO  Power Line R/W  160018",F-RW-T,Compass 5 000
B0F74B,AlignedDimension,"Pembina  A/R  200874",F-RW-T,Compass 5 000
B0F74C,AlignedDimension,"Paramount  A/R  1035",F-RW-T,Compass 5 000
B0F74D,MText,"Pembina Transport Facility MLL 150187",F-RW-T,9.994732300000216
B0F74F,AlignedDimension,"Athabasca  P/L R/W  130446",F-RW-T,Compass 5 000
B0F750,AlignedDimension,"Pembina  P/L R/W  120877",F-RW-T,Compass 5 000
B0F751,AlignedDimension,"Pembina  P/L R/W  297RS  3018",F-RW-T,Compass 5 000
B0F752,AlignedDimension,"Pembina  P/L R/W  160492",F-RW-T,Compass 5 000
B0F753,AlignedDimension,"PGI  P/L R/W  802 0194  780509",F-RW-T,Compass 5 000
B0F77F,MText,"Shell 11-25(Surface) MSL141377 (Expired)",F-RW-T,9.994732300000216
B0F781,AlignedDimension,"Pembina  P/L R/W  190209",F-RW-T,Compass 5 000
B0F785,MText,"Pembina Compressor Site PIL 850052",F-RW-T,9.994732300000216
B0F7BD,MText,"Pump Station Plan 852 2377",L-TITLEDB-T,9.994732300000216
B0F825,MText,"45cm Poplar & Spruce 15cm Birch",T-BUSH-T,9.994744700000364
B0F827,MText,"45cm Poplar & Spruce 15cm Birch",T-BUSH-T,9.994744700000364
B0F829,MText,"25cm Poplar, Spruce & Birch",T-BUSH-T,9.994744700000364
B11063,BlockReference,"RP",0,1
B13EC4,AlignedDimension,"Crescent Point  P/L R/W  231179",C-RW-T,Compass 5 000
B151C5,MText,"SEE DETAIL",DETAIL-T,15.983028502783995
B151C7,MText,"100m Buffer",P-BUFFER-T,9.984140691192355
B15273,MText,"ESD Site",C-WS-T,9.994669999999996
B15277,AlignedDimension,"Pembina  P/L R/W  160492",F-RW-T,Compass 5 000
B15400,AlignedDimension,"Paramount  A/R  1035",F-RW-T,Compass 5 000
B15440,AlignedDimension,"Crescent Point  P/L R/W  231179",C-RW-T,Compass 5 000
B15465,MText,"Buried Pipe (2)",AS-PIPE-UG-T,9.994732300000189
B15467,BlockReference,"TEMP",L-MON,4.997334999999998
B15468,BlockReference,"TEMP",L-MON,4.997334999999998
B15469,BlockReference,"TEMP",L-MON,4.997334999999998
B1546A,BlockReference,"TEMP",L-MON,4.997334999999998
B1546B,BlockReference,"TEMP",L-MON,4.997334999999998
B1546C,BlockReference,"TEMP",L-MON,4.997334999999998
B1546D,BlockReference,"TEMP",L-MON,4.997334999999998
B1546E,BlockReference,"TEMP",L-MON,4.997334999999998
B1556D,MText,"45cm Poplar & Spruce 15cm Birch",T-BUSH-T,9.994744700000364
B155AF,DBText,"191°02'",L-BD,9.994669999999996
B155B1,DBText,"281°02'",L-BD,9.994669999999996
B155B3,DBText,"11°02'",L-BD,9.994669999999996
B155B5,DBText,"101°02'",L-BD,9.994669999999996
B1596C,DBText,"279.4 (Tie)",L-BD,9.994669999999996
B1596D,DBText,"191°58'",L-BD,9.994669999999996
B19864,MText,"Existing Log Deck",T-EXISTING TFA-T,9.994744700000364
B19959,MText,"Existing Log Deck",T-EXISTING TFA-T,9.994744700000364
B1B941,DBText,"279.4 (Tie)",L-BD,9.994669999999996
B1B942,DBText,"191°58'",L-BD,9.994669999999996
B1DECA,BlockReference,"*U18",DETAIL-T,1
B1DED8,MText,"DETAIL",DETAIL-T,20
B1E56B,BlockReference,"Disclaimer_Legal",C-WS-S,0.3
