Handle,ObjType,Content,Layer,Extra
AF35C3,BlockReference,"L-SECLBL",L-SECLBL,0.9997440000000167
AF35C9,MText,"Twp. 72",D-TXT,13.996415999999796
AF35CA,MText,"Twp. 73",D-TXT,13.996415999999796
AF35CD,DBText,"Rge. 9",D-TXT,13.996415999999813
AF35CE,DBText,"Rge. 8",D-TXT,13.996415999999813
AF35D6,MText,"Buried Telus Cable",AS-TELUS,9.997439999999948
AF35D8,MText,"Government Road Allowance",L-ROAD-T,9.997439999999921
AF35DA,MText,"19th Baseline",L-ROAD-T,8.997695999999811
AF35DB,MText,"Government Road Allowance",L-ROAD-T,9.99743999999992
AF378E,AlignedDimension,"Tamarack   P/L R/W  Plan   Altus Group",F-RW-T-1,Compass 5 000
AF3790,AlignedDimension,"Tamarack  P/L R/W  Plan  Altus Group",F-RW-T-1,Compass 5 000
AF3798,DBText,"S.E.1/4 Sec. 1-73-9-W.6M.",C-SYMBOL,19.994657000000213
AF3799,DBText,"Riser Site = 0.180 ha  0.44 Ac.",L-AREAREQUIRED,10.997061350000106
AF379B,DBText,"Access Road = 0.156 ha  0.39 Ac.",L-AREAWORK,10.997061350000106
AF3A39,MText,"Buried Pipe",AS-PIPE-UG-T,9.99732850000001
AF3A74,AlignedDimension,"Crescent Point  A/R",F-AR-T,Compass 5 000
AF3A76,MText,"ATCO 7.50 Utility R/W Reg.# 132 263 477",F-EZE-T,10.997183999999866
AF3A79,MText,"ATCO 7.50 Utility R/W Reg.# 962 272 012",F-EZE-T,10.997183999999866
AF3A7C,AlignedDimension,"Secure  P/L R/W  042 2080",F-RW-T,Compass 5 000
AF3A7D,AlignedDimension,"Crescent Point   P/L R/W   082 7399",F-RW-T,Compass 5 000
AF3A7F,AlignedDimension,"Secure  P/L R/W  202 1627",F-RW-T,Compass 5 000
AF3A86,MText,"Crescent Point  8-1 (Surface)",F-WS-T,8.997695999999795
AF3A88,MText,"Tamarack  3-1 (Surface)",F-WS-T,8.997695999999795
AF3A8F,MText,"(High Grade Gravel)",T-TEXT,9.99743999999992
AF3A90,MText,"(High Grade Gravel)",T-TEXT,9.997439999999921
AF3A97,MText,"Man Made Ditch",T-WATER-T,9.997328500000117
AF3ABE,BlockReference,"*U18",AS-OWNER,0.9997440000000167
AF3AF6,BlockReference,"GAS",F-WS-S,4.9987199999999605
AF3AF7,BlockReference,"GAS",F-WS-S,4.9987199999999605
AF3AF8,BlockReference,"GAS",F-WS-S,4.9987199999999605
AF3AF9,BlockReference,"GAS",F-WS-S,4.9987199999999605
AF3AFA,BlockReference,"GAS",F-WS-S,4.998719999999963
AF3AFB,BlockReference,"GAS",F-WS-S,4.998719999999963
