Handle,ObjType,Content,Layer,Extra
B048EB,BlockReference,"L-SECLBL",L-SECLBL,1
B048F3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.9915899200009
B048F9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994744700000393
B04903,DBText,"Theor. N.E.1/4",C-SYMBOL,19.989464600000563
B04904,DBText,"Sec. 27-62-19-W.5M.",C-SYMBOL,19.989464600000563
B0FA91,MText,"Intermittent Creek 30.0 Wide",WETLAND-T,9.994732300000148
B0FA99,MText,"Small Permanent Creek 0.7-1.4 Wide 0.6 Deep",WETLAND-T,9.994732300000148
B0FC01,MText,"Wooded Coniferous Swamp",WETLAND-T,9.994732300000148
B0FC1B,MText,"Beaver Flood Shallow Open Water (V)",WETLAND-T,9.994732300000148
B1212C,BlockReference,"NEZD Point",C-WS-T,1
B12136,BlockReference,"NEZD Point",C-WS-T,1
B1213B,BlockReference,"NEZD Point",C-WS-T,1
B1230E,MText,"Lot 1 Block 1 Plan 192 2146",L-TITLEDB-T,9.994784000000378
B1234A,MText,"Building",T-TEXT,9.994732300000223
B1234C,MText,"Risers (Typ.)",T-TEXT,9.994732300000223
B12356,MText,"Break Line",T-TEXT,9.994732300000223
B12362,MText,"40cm Poplar & Spruce",T-BUSH-T,9.994744700000394
B12364,MText,"40cm Poplar & Spruce",T-BUSH-T,9.994744700000394
B12366,MText,"10-40cm Spruce 25cm Poplar 10-15cm Birch",T-BUSH-T,9.994744700000394
B125FC,BlockReference,"*U23",AS-SURFACE IMPACT,0.999471000000034
B126A0,BlockReference,"*U21",0,0.999471000000034
B126FB,BlockReference,"RISER",AS-SYMBOL,4.997366150000111
B126FC,BlockReference,"RISER",AS-SYMBOL,4.997366150000111
B12A35,AlignedDimension,"Saturn  P/L R/W  812 2880  800648",F-WS-S,Compass 5 000
F4C3D0,MText,"Graminoid Marsh",WETLAND-T,9.994732300000148
F4C3E1,MText,"Shallow Open Water",WETLAND-T,9.994732300000148
F534BE,MText,"Shallow Open Water",WETLAND-T,9.994732300000148
F86CE0,MText,"ESD Site",C-WS-T,9.994744700000394
103D7A1,BlockReference,"TEMP",L-MON,4.9973661499999995
103D7A2,BlockReference,"TEMP",L-MON,4.9973661499999995
103D842,MText,"ESD Site",C-WS-T,9.994732300000015
103D849,BlockReference,"TEMP",L-MON,4.9973661499999995
1053E02,AlignedDimension,"Crescent Point  P/L R/W  231179",C-RW-T,Compass 5 000
1056A40,AlignedDimension,"Crescent Point  P/L R/W  231179",C-RW-T,Compass 5 000
1058F1D,DBText,"RP",35,10.000000000000014
105F3AB,MText,"100m Buffer",P-BUFFER-T,9.994732300000004
1063429,DBText,"235°59'",L-BD,9.994732300000004
106342A,DBText,"512.1 (Tie)",L-BD,9.994732300000004
106A204,BlockReference,"TEMP",L-MON,4.9973661499999995
106A205,BlockReference,"TEMP",L-MON,4.9973661499999995
106C0C8,BlockReference,"TEMP",L-MON,4.9973661499999995
106C0C9,BlockReference,"TEMP",L-MON,4.9973661499999995
106C0CA,BlockReference,"TEMP",L-MON,4.9973661499999995
106C0CD,DBText,"217°31'",L-BD,9.994732299999999
106C0CF,MText,"127°31' 25.0",L-BD,9.994732299999999
106C0D0,DBText,"307°31'",L-BD,9.994732299999999
106C0D4,MText,"37°31' 60.0",L-BD,9.994732299999999
106CA9D,MText,"Buried Pipe",AS-PIPE-UG-T,9.994732300000015
106CA9E,DBText,"512.1 (Tie)",L-TIE-T,9.994732299999999
106CA9F,DBText,"55°59'",L-TIE-T,9.994732299999999
