Handle,ObjType,Content,Layer,Extra
AE3D7B,BlockReference,"L-SECLBL",L-SECLBL,1
AE5093,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99999999999989
AE509B,MText,"Twp. 62",D-TXT,13.999999999999703
AE509C,MText,"Twp. 63",D-TXT,13.999999999999703
AE50CB,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999872
AE50CC,MText,"(Correction Line)",L-ROAD-T,9.999999999999874
AE5119,MText,"Twp. 62",D-TXT,13.999999999999767
AE511A,MText,"Twp. 63",D-TXT,13.999999999999767
AE51C1,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999684
AE51C3,MText,"Theor. S.E.1/4 Sec. 1 63-19-W.5M.",C-SYMBOL,19.999999999999794
AE5218,MText,"Crescent Point FC806 9-1 (Surface) MSL 231098",C-WS-T,9.994743699999775
AE5243,MText,"30cm Spruce,  Poplar, Birch",T-BUSH-T,9.994743699999775
AE5249,MText,"30cm Birch & Spruce 40cm Poplar",T-BUSH-T,9.994743699999818
AE5251,AlignedDimension,"GMT  P/L R/W  812 2457  800649  60180-2)",F-RW-T,Compass 5 000
AE5458,MText,"Culvert (0.62 Diameter)",AS-GENERAL,9.98949016286875
AE54BC,AlignedDimension,"Crescent Point  A/R  220579",C-RW-T,Compass 5 000
AE596D,MText,"(CORRECTION LINE)",L-ROAD-T,10.00000000000044
AF5D1A,BlockReference,"*U34",0,0.99947447
AF5D49,AlignedDimension,"GMT   P/L R/W  812 2457  800649",F-WS-S,Compass 5 000
AFA244,BlockReference,"FDI",L-MON,5.0000000000000435
AFA285,BlockReference,"FDI",L-MON,5.0000000000000435
AFF39A,MText,"Ephemeral Draw 2.2 Wide 0.4 Deep",T-WATER-T,9.9947447
B00353,MText,"Wooded Deciduous Swamp (not fully)",WETLAND-T,9.9947447
B0035E,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.9947447
B00360,MText,"Existing Proposed Borrow Pit",T-EXISTING TFA-T,9.9947447
B03550,MText,"Rge. 19",L-ROAD-T,12.493493249999956
B03551,MText,"Rge. 18",L-ROAD-T,12.493493249999956
B0549A,MText,"Fd.I. c.s. (Top Broken)",L-MON,9.9947447
B0CBB1,MText,"25cm Birch",T-BUSH-T,9.994743699999818
B0E653,MText,"Wooded Deciduous Swamp",WETLAND-T,9.9947447
B0E84E,MText,"Shrubby Swamp",WETLAND-T,9.9947447
B0EB2A,MText,"Wooded Coniferous Swamp",WETLAND-T,9.9947447
B39328,AlignedDimension,"Crescent Point  A/R  231973",C-RW-T,Compass 5 000
B75BC2,BlockReference,"NEZD Point",F-RW-T,1
B75BC7,BlockReference,"NEZD Point",F-RW-T,1
CDC6A9,MText,"Existing Log Deck",T-EXISTING TFA-T,9.994743699999775
CDF1F9,MText,"40°07'30'' 953.57",L-BD,9.9947447
CDFF05,MText,"Existing Log Deck",T-EXISTING TFA-T,9.994743699999775
CE1A70,BlockReference,"FDI",L-MON,4.99737235
CE1A74,BlockReference,"TEMP",L-MON,4.99737235
CE1A75,BlockReference,"TEMP",L-MON,4.99737235
CE1A76,BlockReference,"TEMP",L-MON,4.99737235
CE1A77,BlockReference,"TEMP",L-MON,4.99737235
CE1A78,BlockReference,"TEMP",L-MON,4.99737235
CE1A79,BlockReference,"TEMP",L-MON,4.99737235
CE1C85,DBText,"130°07'30''",L-BD1,9.9947447
CE1C87,DBText,"40°",L-BD1,9.9947447
CE1C89,DBText,"30''",L-BD1,9.9947447
CE1C8B,DBText,"220°07'30''",L-BD1,9.9947447
CE1C8D,DBText,"310°07'30''",L-BD1,9.9947447
CE1C90,MText,"15.00 130°07'30''",L-BD1,9.9947447
CE1C91,DBText,"07'",L-BD1,9.9947447
CE213D,DBText,"40°07'30''",L-BD,9.9947447
CE2A43,DBText,"40°07'30''",L-BD,9.9947447
CE2C27,MText,"Fd.I. Mp.",L-MON,9.9947447
CE3995,BlockReference,"*U26",DETAIL-T,0.99947447
CE39A3,MText,"DETAIL",DETAIL-T,19.9894894
CE39AB,MText,"SEE DETAIL",DETAIL-T,15.99159152
CE39AD,AlignedDimension,"Crescent Point  A/R  220579",C-RW-T,Compass 5 000
CE39D6,MText,"7m High Grade Gravel Road",T-TEXT,9.98954103611426
CE39D7,MText,"25cm Birch",T-BUSH-T,9.994743699999818
CE39D9,MText,"30cm Spruce,  Poplar, Birch",T-BUSH-T,9.994743699999775
CE39DB,MText,"Wooded Deciduous Swamp",WETLAND-T,9.9947447
CE5E1C,DBText,"82.80 (Tie)",L-TIE-T,9.9947447
CE5E1D,DBText,"266°33'50''",L-TIE-T,9.9947447
CE5E1E,AlignedDimension,"GMT  P/L R/W  812 2457  800649  60180-2)",F-RW-T,Compass 5 000
CE5E60,AlignedDimension,"Crescent Point  P/L R/W  231182",C-RW-T,Compass 5 000
CE6084,MText,"Buried Pipes",AS-PIPE-UG-T,9.98949016286875
CF3F6B,BlockReference,"*U38",0,0.99947447
CF402C,BlockReference,"*U39",0,0.99947447
CF40C6,BlockReference,"*U40",DETAIL-T,1
CF4878,BlockReference,"*U41",DETAIL-T,1
CF5444,BlockReference,"*U42",DETAIL-T,1
CFDC9A,AlignedDimension,"Crescent Point  P/L R/W  231182",C-RW-T,Compass 5 000
D072B8,MText,"40°07'30'' 82.06",L-BD,9.9947447
D0BA79,BlockReference,"TEMP",L-MON,4.99737235
D0BA7A,BlockReference,"TEMP",L-MON,4.99737235
D0BA7B,BlockReference,"TEMP",L-MON,4.99737235
D0BA7C,BlockReference,"TEMP",L-MON,4.99737235
D0BA7D,BlockReference,"TEMP",L-MON,4.99737235
D0BA7E,BlockReference,"TEMP",L-MON,4.99737235
D102EB,MText,"L.S. 1",L-SECTION-LSD,9.9947447
D102EC,MText,"L.S. 2",L-SECTION-LSD,9.9947447
D102EE,MText,"L.S. 8",L-SECTION-LSD,9.9947447
D102EF,MText,"L.S. 7",L-SECTION-LSD,9.9947447
D16DB0,MText,"100m FNC Buffer",P-BUFFER-T,9.9947447
D1BE1F,BlockReference,"*U44",DETAIL-T,1
D1CB1A,BlockReference,"*U45",DETAIL-T,1
D1D0E4,BlockReference,"xing2",P-CROSSINGS,0.99947447
D1D126,BlockReference,"xing2",P-CROSSINGS,0.99947447
D1D168,BlockReference,"xing2",P-CROSSINGS,0.99947447
D1D16F,BlockReference,"xing2",P-CROSSINGS,0.99947447
D1D176,MText,"(Saturn 60180-2)",AS-PIPE-UG-T,9.98949016286875
D1D34D,MText,"(18979-16)",AS-PIPE-UG-T,9.98949016286875
D29FBC,BlockReference,"Disclaimer_Legal",0,0.3481400073118081
D2A1C1,AlignedDimension,"10.00 A/R",P-TXT,Compass 5 000
