Handle,ObjType,Content,Layer,Extra
BC5742,BlockReference,"L-SECLBL",L-SECLBL,0.999628
BC5748,BlockReference,"L-SECLBL",L-SECLBL,0.999628
BC7B8D,DBText,"N.E.1/4 Sec. 15-78-17-W.4M.",C-SYMBOL,19.99255999999995
BC7B90,DBText,"N.W.1/4 Sec. 14-78-17-W.4M.",C-SYMBOL,19.99255999999995
BC7B91,DBText,"Access Road = 0.404 ha  1.00 Ac.",L-AREAREQUIRED,10.995907999999977
BC7B93,DBText,"N.E.1/4 Sec. 14-78-17-W.4M.",C-SYMBOL,19.99255999999995
BC7B94,DBText,"Area Required = 0.077 ha  0.19 Ac.",L-AREAREQUIRED,10.995907999999977
BC7B96,MText,"L.S. 9",L-SECTION-LSD,9.996279999999976
BC7B98,MText,"L.S. 10",L-SECTION-LSD,9.996279999999976
BC7B9A,MText,"L.S. 16",L-SECTION-LSD,9.996279999999976
BC7B9C,MText,"L.S. 15",L-SECTION-LSD,9.996279999999976
BC7B9E,MText,"L.S. 11",L-SECTION-LSD,9.996279999999976
BC7BA0,MText,"L.S. 12",L-SECTION-LSD,9.996279999999976
BC7BA2,MText,"L.S. 14",L-SECTION-LSD,9.996279999999976
BC7BA3,MText,"L.S. 13",L-SECTION-LSD,9.996279999999976
BC7BA6,MText,"L.S. 9",L-SECTION-LSD,9.996279999999976
BC7BA8,MText,"L.S. 10",L-SECTION-LSD,9.996279999999976
BC7BAA,MText,"L.S. 16",L-SECTION-LSD,9.996279999999976
BC7BAC,MText,"L.S. 15",L-SECTION-LSD,9.996279999999976
BC98BB,AlignedDimension,"Northland  A/R  750951",F-AR-T,Compass 5 000
BC9910,AlignedDimension,"IPC  A/R  4231",C-AR-T,Compass 5 000
BCA276,AlignedDimension,"IPC  A/R  4231",C-AR-T,Compass 5 000
BCA29E,AlignedDimension,"IPC  A/R  033331",C-AR-T,Compass 5 000
BCA2D8,AlignedDimension,"IPC  A/R  200316",C-AR-T,Compass 5 000
BCA31D,BlockReference,"RP",35,0.999628
BCA345,MText,"IPC 10-14 (Surface) MSL 034922",C-WS-T,9.996279999999977
BCAB82,AlignedDimension,"IPC  P/L R/W  212 0735  040216",C-RW-T,Compass 5 000
BCABB3,AlignedDimension,"IPC  P/L R/W  212 0735  040216",C-RW-T,Compass 5 000
BCABDB,AlignedDimension,"IPC  P/L R/W  822 0723  810708",C-RW-T,Compass 5 000
BCAC0C,AlignedDimension,"IPC  P/L R/W  772 1844  770068",C-RW-T,Compass 5 000
BCB57A,AlignedDimension,"IPC  P/L R/W  992 5259  950165",C-RW-T,Compass 5 000
BCB5C6,AlignedDimension,"IPC  P/L R/W  044764",C-RW-T,Compass 5 000
BCB609,AlignedDimension,"IPC  P/L R/W  822 0464  820446",C-RW-T,Compass 5 000
BCF41F,BlockReference,"TEMP",L-MON,4.998139999999989
BCF421,BlockReference,"TEMP",L-MON,4.998139999999989
BCF422,BlockReference,"TEMP",L-MON,4.998139999999989
BCF423,BlockReference,"TEMP",L-MON,4.998139999999989
BD0F0C,DBText,"281°25'",L-BD1,9.996279999999977
BD0F20,DBText,"271°38'",L-BD1,9.996279999999977
BD0F27,DBText,"444.8 (Tie)",L-BD1,9.996279999999977
BD0F28,DBText,"5°08'",L-BD1,9.996279999999977
BD1721,DBText,"Government Road Allowance",L-ROAD-T,9.996279999999977
BD1722,DBText,"(Undeveloped)",T-TEXT,9.996279999999977
BD1723,DBText,"Government Road Allowance",L-ROAD-T,9.996279999999977
BD1724,DBText,"(Undeveloped)",T-TEXT,9.996279999999977
BD2014,BlockReference,"TEMP",L-MON,4.998139999999989
BD2015,BlockReference,"TEMP",L-MON,4.998139999999989
BD2016,BlockReference,"TEMP",L-MON,4.998139999999989
BD2017,BlockReference,"TEMP",L-MON,4.998139999999989
BD2018,BlockReference,"TEMP",L-MON,4.998139999999989
BD201D,DBText,"271°38'",L-BD1,9.996279999999977
BD201F,DBText,"1°14'",L-BD1,9.996279999999977
BD2021,DBText,"91°38'",L-BD1,9.996279999999977
BD2025,DBText,"Government Road Allowance",L-ROAD-T,9.996279999999977
BD2026,DBText,"(Undeveloped)",T-TEXT,9.996279999999977
BD202A,MText,"20.12 calc.",P-TXT,9.996279999999977
BD202B,DBText,"5°08'",L-BD1,9.996279999999977
BD202C,DBText,"444.8 (Tie)",L-BD1,9.996279999999977
BD2904,AlignedDimension,"IPC  Width A/R  4231",C-AR-T,Compass 5 000
BD2940,AlignedDimension,"IPC  P/L R/W  822 0723  810708",C-RW-T,Compass 5 000
