Handle,ObjType,Content,Layer,Extra
BB744C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994219999999743
BB7452,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994219999999743
BB8F1B,BlockReference,"L-SECLBL",L-SECLBL,0.9994219999999957
BB988C,MText,"Theor. N.E.1/4 Sec. 9-57-18-W.5M.",C-SYMBOL,19.98843999999949
BBA1C3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.990751999999745
BBE3E0,BlockReference,"GAS",F-WS-S,4.997109999999875
BC6304,AlignedDimension,"Veren  P/L R/W  160081",C-RW-T,Compass 5 000
BC9397,AlignedDimension,"Veren  P/L R/W  170549",C-RW-T,Compass 5 000
BCA6BD,AlignedDimension,"Paramount  P/L R/W  044301",F-RW-T,Compass 5 000
BCB0A0,AlignedDimension,"Paramount  P/L R/W  030837",F-RW-T,Compass 5 000
BCBAA2,AlignedDimension,"Paramount  A/R  022031",F-AR-T,Compass 5 000
BCBB16,MText,"Paramount 9-9 (Surface) MSL 022744",F-RW-T,9.994219999999752
BCCE5F,MText,"Veren Riser Site PIL170055 (To be Amended)",C-WS-T,9.994219999999752
BCCE8D,AlignedDimension,"Blue Ridge  A/R  140043",F-AR-T,Compass 5 000
C0DCE9,MText,"Wooded Coniferous Fen",WETLAND-T,9.999999999999861
C0F090,MText,"Small Permanent Watercourse 0.5-1.4 Wide 0.5 Deep",T-WATER-T,9.999999999999861
C21339,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
C21352,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
C21377,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
C2B93D,MText,"Small Permanent Watercourse 2.5-5.4 Wide 0.8 Deep",T-WATER-T,9.999999999999861
C6FECB,MText,"SEE DETAIL",DETAIL-T,15.990751999999832
C87250,AlignedDimension,"Veren  P/L R/W  ______",C-RW-T,Compass 5 000
D13CB9,DBText,"RP",35,9.999999999999952
D2927C,BlockReference,"FDI",L-MON,4.997109999999982
D2950E,BlockReference,"FDI",L-MON,4.997109999999982
D29513,BlockReference,"FDI",L-MON,4.997109999999982
D29518,BlockReference,"FDI",L-MON-T,4.997125699999984
D2951D,BlockReference,"FDI",L-MON,4.997109999999982
D2A426,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
D2E334,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
D2E335,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
D2E336,BlockReference,"FDI",L-MON,4.997109999999982
D2E337,BlockReference,"FDI",L-MON,4.997109999999982
D2E338,BlockReference,"FDI",L-MON,4.997109999999982
D2E49B,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
D2E4A0,BlockReference,"FDI",L-MON,4.997109999999982
D2E4C5,BlockReference,"RISER",AS-SYMBOL,4.9971256999999945
D2FBE0,AlignedDimension,"Veren  P/L R/W  170549",C-RW-T,Compass 5 000
D2FBF4,AlignedDimension,"Blue Ridge  A/R  140043",F-AR-T,Compass 5 000
D2FC09,AlignedDimension,"Veren  P/L R/W  160081",C-RW-T,Compass 5 000
D2FC1E,AlignedDimension,"Veren  P/L R/W  ______",C-RW-T,Compass 5 000
D30256,DBText,"118°50'50''",L-BD1,9.994251399999968
D3025E,DBText,"298°50'50''",L-BD1,9.994251399999968
D30376,DBText,"28°",L-BD1,9.994251399999968
D3037A,DBText,"53'",L-BD1,9.994251399999968
D3037C,DBText,"20''",L-BD1,9.994251399999968
D304A2,DBText,"283°",L-BD1,9.994251399999968
D304A7,DBText,"24'",L-BD1,9.994251399999968
D305B8,MText,"05''",L-BD1,9.994251399999968
D307C2,DBText,"298°50'50''",L-BD1,9.994251399999968
D30822,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.98850279999994
D30824,MText,"Veren Riser Site PIL170055 (To be Amended)",C-WS-T,9.994219999999752
D3097C,MText,"Guard Rail",T-TEXT,9.999999999999861
D31297,MText,"100m  Buffer",P-BUFFER-T,9.99425139999997
D32F9D,MText,"L.S. 9",L-SECTION-LSD,9.99425139999997
D32F9F,MText,"L.S. 10",L-SECTION-LSD,9.99425139999997
D32FA1,MText,"L.S. 16",L-SECTION-LSD,9.99425139999997
D32FA3,MText,"L.S. 15",L-SECTION-LSD,9.99425139999997
D3344A,BlockReference,"*U42",DETAIL-T,1
D35672,MText,"Cutblock",T-TEXT,9.999999999999972
D35674,MText,"15-30cm Spruce & Pine",T-BUSH-T,9.999999999999972
D35966,MText,"Cutblock",T-TEXT,9.999999999999972
D35968,MText,"15-30cm Spruce & Pine",T-BUSH-T,9.999999999999972
D3596A,BlockReference,"PIG",AS-SYMBOL,4.9971256999999865
D36AED,MText,"PIL Extension",P-TXT,9.994219999999752
D36AEE,MText,"Existing PIL",P-TXT,9.994219999999752
D3E610,BlockReference,"*U44",CG-NOTES,0.9985906680610052
D3E623,BlockReference,"Hybrid_EC",L-MON,4.999999999999989
D3E627,BlockReference,"Hybrid_EC",L-MON,4.999999999999989
D3E748,BlockReference,"Hybrid_EC",L-MON,4.999999999999989
D3E74D,BlockReference,"Hybrid_EC",L-MON,4.999999999999989
D3E880,BlockReference,"*U45",CG-NOTES,0.9985906680610052
D3E8BA,BlockReference,"*U46",CG-NOTES,0.9985906680610052
D3E8D5,BlockReference,"*U47",CG-NOTES,0.9985906680610052
D3E8F0,BlockReference,"*U48",CG-NOTES,0.9985906680610052
D3E90B,BlockReference,"*U49",CG-NOTES,0.9985906680610052
D3E93C,BlockReference,"*U49",CG-NOTES,0.9985906680610052
D3E9BD,BlockReference,"*U48",CG-NOTES,0.9985906680610052
