Handle,ObjType,Content,Layer,Extra
B69162,BlockReference,"L-SECLBL",L-SECLBL,1
B69187,BlockReference,"L-SECLBL",L-SECLBL,1
B691A3,MText,"Islander 14-16",ABADATA-DRILL-T,9.999999999999922
B691B1,MText,"Islander 15-15 (DD)",ABADATA-DRILL-T,9.999999999999922
B691DA,BlockReference,"WC",L-MON,4.997731049999973
B6A30F,MText,"L.S. 11",L-SECTION-LSD,9.995462099999983
B6A311,MText,"L.S. 12",L-SECTION-LSD,9.995462099999983
B6A313,MText,"L.S. 14",L-SECTION-LSD,9.995462099999983
B6A314,MText,"L.S. 13",L-SECTION-LSD,9.995462099999983
B6A316,MText,"L.S. 9",L-SECTION-LSD,9.995462099999983
B6A318,MText,"L.S. 10",L-SECTION-LSD,9.995462099999983
B6A31A,MText,"L.S. 16",L-SECTION-LSD,9.995462099999983
B6A31C,MText,"L.S. 15",L-SECTION-LSD,9.995462099999983
B6A31E,MText,"L.S. 1",L-SECTION-LSD,9.995462099999983
B6A31F,MText,"L.S. 2",L-SECTION-LSD,9.995462099999983
B6A321,MText,"L.S. 8",L-SECTION-LSD,9.995462099999983
B6A322,MText,"L.S. 7",L-SECTION-LSD,9.995462099999983
B6A324,MText,"L.S. 3",L-SECTION-LSD,9.995462099999983
B6A326,MText,"L.S. 4",L-SECTION-LSD,9.995462099999983
B6A328,MText,"L.S. 6",L-SECTION-LSD,9.995462099999983
B6A32A,MText,"L.S. 5",L-SECTION-LSD,9.995462099999983
B6A32C,MText,"L.S. 1",L-SECTION-LSD,9.995462099999983
B6A32D,MText,"L.S. 2",L-SECTION-LSD,9.995462099999983
B6A32F,MText,"L.S. 8",L-SECTION-LSD,9.995462099999983
B6A330,MText,"L.S. 7",L-SECTION-LSD,9.995462099999983
B6A379,MText,"L.S. 11",L-SECTION-LSD,9.995462099999983
B6A37B,MText,"L.S. 12",L-SECTION-LSD,9.995462099999983
B6A37D,MText,"L.S. 14",L-SECTION-LSD,9.995462099999983
B6A37E,MText,"L.S. 13",L-SECTION-LSD,9.995462099999983
B6A380,MText,"L.S. 9",L-SECTION-LSD,9.995462099999983
B6A382,MText,"L.S. 10",L-SECTION-LSD,9.995462099999983
B6A384,MText,"L.S. 16",L-SECTION-LSD,9.995462099999983
B6A386,MText,"L.S. 15",L-SECTION-LSD,9.995462099999983
B6A8D3,MText,"299.0 to ICP",L-BD,9.995462099999925
B6BA55,BlockReference,"plbh",L-MON,4.999999999999961
B6BC1C,BlockReference,"plbh",L-MON,4.999999999999961
B6BC1D,BlockReference,"plbh",L-MON,4.999999999999961
B6BE9A,BlockReference,"*U18",CG-NOTES,1
B6C018,BlockReference,"*U19",CG-NOTES,1
B6C02A,BlockReference,"*U19",CG-NOTES,1
B773C6,MText,"304.2 to L2 Tie-in",L-BD,9.995462099999925
B7A72D,BlockReference,"Disclaimer_Legal",C-AR,0.2
