Handle,ObjType,Content,Layer,Extra
9E3FF5,AlignedDimension,"Pembina 12.19 P/L R/W  1132 KS  150783",F-RW-T,Compass 5 000
9E4747,AlignedDimension,"CNRL 15.00 P/L R/W  170182",F-RW-T,Compass 5 000
9E4ED3,AlignedDimension,"Pembina 12.19 P/L R/W  1132 KS  2587",F-RW-T,Compass 5 000
9E6790,BlockReference,"L-SECLBL",L-SECLBL,1
9E7650,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9E7656,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9E7670,MText,"Twp. 61",D-TXT,13.999999999999917
9E7671,MText,"Twp. 62",D-TXT,13.999999999999917
9E80C3,MText,"UNSURVEYED TERRITORY",L-UNS-T,16
9ECA33,BlockReference,"FDI",L-MON,5
9EE7F3,AlignedDimension,"ATCO 12.50 Power Line R/W  190204",F-EZE-T,Compass 5 000
9EED32,AlignedDimension,"Paramount 15.00 A/R  010166",F-AR-T,Compass 5 000
9EED51,AlignedDimension,"Pembina 18.28 P/L R/W  5030 RS  4207",F-RW-T,Compass 5 000
9EED70,AlignedDimension,"Paramount 7.00 P/L R/W  082 7684  012664 (LIC. #32537-26)",F-RW-T,Compass 5 000
9EF2AE,AlignedDimension,"CNRL 15.00 P/L R/W PLA 170161",F-RW-T,Compass 5 000
9EF2E8,AlignedDimension,"CNRL 15.00 P/L R/W  170182",F-RW-T,Compass 5 000
9EF82F,AlignedDimension,"CNRL 36.00 P/L R/W  190066",F-RW-T,Compass 5 000
9EF84D,AlignedDimension,"Veren 15.00 P/L R/W  792 1576  780563",C-RW-T,Compass 5 000
9F11B1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9F11B9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9F170D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
9F1716,MText,"Twp. 61",D-TXT,13.999999999999917
9F1717,MText,"Twp. 62",D-TXT,13.999999999999917
9F1CE9,MText,"UNSURVEYED TERRITORY",L-UNS-T,16
9F1CF1,MText,"UNSURVEYED TERRITORY",L-UNS-T,16
9F2775,MText,"4m Trail",T-TEXT,10.000000000000002
9F3F3C,MText,"Ephemeral  Draw",T-WATER-T,10.000000000000002
9F447F,MText,"Paramount 5-4(Surface) MSL 010198",F-WS-T,10.000000000000002
B2A18F,BlockReference,"WAT",0,5
