Handle,ObjType,Content,Layer,Extra
BD4C80,BlockReference,"label_road_undeveloped",CG-NOTES,1
BD5603,BlockReference,"L-SECLBL",L-SECLBL,0.99942434
BD560B,DBText,"N.E.1/4 Sec. 32-49-21-W.5M.",C-SYMBOL,19.98848679999996
BD560C,DBText,"Area Required = 10.424 ha  25.76 Ac.",L-AREAREQUIRED,10.99366774
BD5616,DBText,"L.S. 10",L-SECTION-LSD,9.99424339999998
BD5618,DBText,"L.S. 16",L-SECTION-LSD,9.99424339999998
BD5619,DBText,"L.S. 9",L-SECTION-LSD,9.99424339999998
BD6002,MText,"West Fraser SML 850117",F-WS-T,9.99999999999998
BD693D,AlignedDimension,"West Fraser  A/R  3980",F-AR-T,Compass 5 000
BDA52E,MText,"Tourmaline Storage MLL 150161",F-WS-T,9.99999999999998
BDA52F,MText,"Canlin SML 790039 (Expired)",C-WS,9.99999999999998
BDB059,BlockReference,"FDI",L-MON,4.997121699999992
BDB05E,BlockReference,"FDI",L-MON,4.997121699999992
BDB072,BlockReference,"FDI",L-MON,4.997121699999992
BDB095,BlockReference,"PLI",L-MON,4.997121699999992
BE77CA,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77CB,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77CC,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77CD,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77CF,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D0,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D1,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D2,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D3,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D4,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D5,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D6,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D7,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D8,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77D9,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE77DA,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BE89C9,DBText,"180°02'30"",L-BD,9.994243399999984
BE92FF,BlockReference,"Linebrk",L-QSEC,4997.1216999999815
BE9302,BlockReference,"FDI",L-MON,4.997121699999992
BE9DBE,BlockReference,"Linebrk",L-QSEC,4997.121699999992
BE9DC2,BlockReference,"PLI",L-MON,4.997121699999992
BEA706,MText,"Canlin SML 790039 (Expired)",C-WS,9.99999999999998
BEA708,BlockReference,"FDI",L-MON,4.997121699999992
BEA974,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA975,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA976,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA977,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA978,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA979,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA97A,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA97B,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA97C,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA97D,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA97E,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA97F,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA980,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA981,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA982,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA983,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BEA985,DBText,"90°",L-BD1,9.994243399999984
BEA987,DBText,"00'",L-BD1,9.994243399999984
BEA98B,DBText,"02'",L-BD1,9.994243399999984
BEA98D,DBText,"270°",L-BD1,9.994243399999984
BEA98F,DBText,"05"",L-BD1,9.994243399999984
BEA991,DBText,"02'",L-BD,9.994243399999984
BEA9A7,DBText,"318°12'00"",L-BD1,9.994243399999984
BEBDBF,BlockReference,"see_detail",CG-NOTES,0.99942434
BEBE4E,MText,"DETAIL SCALE 1:2000",DETAIL-T,19.988486799999972
BEBE57,AlignedDimension,"West Fraser  A/R  3980",F-AR-T,Compass 5 000
BF28DD,MText,"West Fraser CLR020743",F-WS-T,9.99999999999998
BF5664,MText,"5m High Grade Gravel Road",T-TEXT,9.99999999999998
BF7630,MText,"L.S. 15",L-SECTION-LSD,9.99424339999998
BF86DD,MText,"0° 499.63",L-BD,9.994243399999984
BF86DF,MText,"05" 51.36",L-BD1,9.994243399999984
BF86E2,MText,"401.94 05"",L-BD,9.994243399999984
BF86E3,MText,"299°55'20" 45.43",L-BD1,9.994243399999984
BF86E4,MText,"292°45'45" 197.17",L-BD1,9.994243399999984
BF8C17,MText,"305°04'05" 43.76",L-BD1,9.994243399999984
BF8C18,MText,"327°03'40" 43.28",L-BD1,9.994243399999984
BF8C19,MText,"341°20'00" 38.26",L-BD1,9.994243399999984
BF8C1A,MText,"354°44'35" 23.13",L-BD1,9.994243399999984
BF8C1B,MText,"21.98 119°55'20"",L-BD1,9.994243399999984
BF8C1D,MText,"195.10 112°45'45"",L-BD1,9.994243399999984
BF8C1E,MText,"125°04'05"",L-BD1,9.994243399999984
BF8C1F,MText,"36.71 138°12'00"",L-BD1,9.994243399999984
BF8C20,MText,"34.01 147°03'40"",L-BD1,9.994243399999984
BF8C21,MText,"27.16 161°20'00"",L-BD1,9.994243399999984
BF8C22,MText,"174°44'35" 13.52",L-BD1,9.994243399999984
BF9158,MText,"Government Road Allowance",L-ROAD-T,9.999999999999991
BF9159,MText,"(Undeveloped)",T-TEXT,9.999999999999991
BF915A,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999991
BF915C,MText,"(Undeveloped)",T-TEXT,9.999999999999991
BF97A5,BlockReference,"FDI",L-MON,4.997121699999992
BF97A6,BlockReference,"Linebrk",L-SEC,5000
BF9CE6,BlockReference,"FDI",L-MON,4.997121699999992
BF9D07,DBText,"180°03'05"",L-BD,9.994243399999997
BF9D09,DBText,"179°52'00"",L-BD,9.994243399999997
BFC0EE,MText,"N.-S. 1/4 Line",L-QSEC,9.994243399999984
BFE951,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BFE952,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BFE953,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
BFF488,DBText,"0°",L-BD,9.994243399999998
BFF492,DBText,"20"",L-BD,9.994243399999998
BFF494,DBText,"269°",L-BD,9.994243399999998
BFF9C6,DBText,"50"",L-BD,9.994243399999998
BFF9C8,DBText,"269°",L-BD,9.994243399999998
BFFEFA,DBText,"90°02'05"",L-BD1,9.994243399999998
C0148D,DBText,"05"",L-BD,9.994243399999998
C0243A,DBText,"180°01'15"",L-BD1,9.994243399999998
C03AB2,DBText,"00'",L-BD,9.994243399999998
C03AB3,DBText,"47'",L-BD,9.994243399999998
C03AB4,DBText,"47'",L-BD,9.994243399999998
C05F6D,BlockReference,"RP",35,1
C064AF,BlockReference,"Hybrd Num",P-STATION,1
C064B3,BlockReference,"Hybrd Num",P-STATION,1
C064B7,BlockReference,"Hybrd Num",P-STATION,1
C064BB,BlockReference,"Hybrd Num",P-STATION,1
C064BF,BlockReference,"Hybrd Num",P-STATION,1
C064C3,BlockReference,"Hybrd Num",P-STATION,1
C064C7,BlockReference,"Hybrd Num",P-STATION,1
C064CB,BlockReference,"Hybrd Num",P-STATION,1
C064CF,BlockReference,"Hybrd Num",P-STATION,1
C064D3,BlockReference,"Hybrd Num",P-STATION,1
C064D7,BlockReference,"Hybrd Num",P-STATION,1
C064DB,BlockReference,"Hybrd Num",P-STATION,1
C064DF,BlockReference,"Hybrd Num",P-STATION,1
C064E3,BlockReference,"Hybrd Num",P-STATION,1
C064E7,BlockReference,"Hybrd Num",P-STATION,1
C064EB,BlockReference,"Hybrd Num",P-STATION,1
C064EF,BlockReference,"Hybrd Num",P-STATION,1
C064F3,BlockReference,"Hybrd Num",P-STATION,1
C064F7,BlockReference,"Hybrd Num",P-STATION,1
C064FB,BlockReference,"Hybrd Num",P-STATION,1
C064FF,BlockReference,"Hybrd Num",P-STATION,1
C06503,BlockReference,"Hybrd Num",P-STATION,1
C06507,BlockReference,"Hybrd Num",P-STATION,1
C0650B,BlockReference,"Hybrd Num",P-STATION,1
C0650F,BlockReference,"Hybrd Num",P-STATION,1
C06513,BlockReference,"Hybrd Num",P-STATION,1
C06517,BlockReference,"Hybrd Num",P-STATION,1
C0653E,BlockReference,"RP",35,1
C06A7D,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
C06A7E,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
C06A80,BlockReference,"Hybrid_EC",L-MON,4.997121699999992
C09B4F,MText,"West Fraser SML 850117",F-WS-T,9.99999999999998
C0EE62,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.5
