Handle,ObjType,Content,Layer,Extra
86F546,AlignedDimension,"Sun Gro\P20.00 Drainage Ditch R/W\PEZE 990135",C-EZE-T,Compass 5 000
870095,MText,"Bonterra
8-5 (Surface)
MSL 070762",F-WS-T,9.999999999999943
870540,AlignedDimension,"Bonterra\P20.00 A/R\PMSL 070762",F-WS-T,Compass 5 000
87059F,AlignedDimension,"Tourmaline\P15.00 A/R\PLOC 931065",F-AR-T,Compass 5 000
8705C5,MText,"Tourmaline
16-5 (Surface)
MSL 931665",F-WS-T,9.999999999999943
870B4E,AlignedDimension,"Tourmaline\P15.00 A/R\PLOC 931065",F-AR-T,Compass 5 000
870B6A,AlignedDimension,"Brixton\P20.00 A/R\PLOC 910149\P(Expired)",F-AR-T,Compass 5 000
87112F,MText,"Sinopec
16-6 (Surface)
MSL 062266",F-WS-T,9.999999999999943
87116F,MText,"Sun Gro
Commercial Development
DML 860120
(To be Cancelled)",C-WS-T,9.999999999999943
87161A,AlignedDimension,"Brixton\P20.00 A/R\PLOC 910149\P(Expired)",F-AR-T,Compass 5 000
871B42,AlignedDimension,"Equs Rea\P5.00 Vegetation Control R/W\PVCE 060016",F-VCE-T,Compass 5 000
872014,AlignedDimension,"Equs Rea\P10.00 Power Line R/W\PREA 060002",F-EZE-T,Compass 5 000
872057,AlignedDimension,"Tourmaline\P15.00 A/R\PLOC 931065",F-AR-T,Compass 5 000
8725A2,AlignedDimension,"30.48 Road\PPlan 782 0199",L-TITLEDB-T,Compass 5 000
873036,AlignedDimension,"Adanac\P20.00 A/R\PLOC 900578",F-AR-T,Compass 5 000
873059,MText,"Adanac
14-8 (Surface)
MSL 900733",F-WS-T,9.999999999999943
87305A,AlignedDimension,"Cenovus\P10.00 P/L R/W\PPlan 952 1509\PPLA 941168",F-RW-T,Compass 5 000
8730BE,AlignedDimension,"30.48 Road\PPlan 762 2339",L-TITLEDB-T,Compass 5 000
873ADD,BlockReference,"L-SECLBL",L-SECLBL,1
873AE3,BlockReference,"L-SECLBL",L-SECLBL,1
873AE9,BlockReference,"L-SECLBL",L-SECLBL,1
873AEF,BlockReference,"L-SECLBL",L-SECLBL,1
873AF5,BlockReference,"L-SECLBL",L-SECLBL,1
873AFB,BlockReference,"L-SECLBL",L-SECLBL,1
875A1B,BlockReference,"label_road_undeveloped",CG-NOTES,1
8763A1,MText,"Twp. 51",D-TXT,13.999999999999886
8763A2,MText,"Twp. 52",D-TXT,13.999999999999886
8763AB,MText,"Twp. 51",D-TXT,13.999999999999886
8763AC,MText,"Twp. 52",D-TXT,13.999999999999886
8763B5,MText,"Twp. 51",D-TXT,13.999999999999886
8763B6,MText,"Twp. 52",D-TXT,13.999999999999886
8763BF,MText,"Twp. 51",D-TXT,13.999999999999886
8763C0,MText,"Twp. 52",D-TXT,13.999999999999886
8763DF,MText,"Rge. 7",D-TXT,13.999999999999886
8763E8,MText,"Rge. 6",D-TXT,13.999999999999886
8763F1,MText,"Rge. 7",D-TXT,13.999999999999886
8763F2,MText,"Rge. 6",D-TXT,13.999999999999886
8763FB,MText,"Rge. 7",D-TXT,13.999999999999886
8763FC,MText,"Rge. 6",D-TXT,13.999999999999886
876405,MText,"Rge. 7",D-TXT,13.999999999999886
876406,MText,"Rge. 6",D-TXT,13.999999999999886
876AA4,BlockReference,"*U47",AS-OWNER,1
876AE8,BlockReference,"*U47",AS-OWNER,1
876B2C,BlockReference,"*U47",AS-OWNER,1
876B70,BlockReference,"*U47",AS-OWNER,1
876BB4,BlockReference,"*U47",AS-OWNER,1
876BF8,BlockReference,"*U47",AS-OWNER,1
876C3C,BlockReference,"*U47",AS-OWNER,1
876C80,BlockReference,"*U47",AS-OWNER,1
876CC4,BlockReference,"*U48",AS-OWNER,1
876D1F,BlockReference,"*U48",AS-OWNER,1
8772B5,BlockReference,"*U49",AS-OWNER,1
877985,BlockReference,"*U47",AS-OWNER,1
87A851,BlockReference,"FDI",L-MON,4.999999999999972
87A85B,BlockReference,"FDI",L-MON,4.999999999999972
87A865,BlockReference,"FDI",L-MON,4.999999999999972
87A86A,BlockReference,"FDI",L-MON,4.999999999999972
87A878,BlockReference,"FDI",L-MON,4.999999999999972
87A87D,BlockReference,"FDI",L-MON,4.999999999999972
87A887,BlockReference,"FDI",L-MON,4.999999999999972
87A88C,BlockReference,"FDI",L-MON,4.999999999999972
87A891,BlockReference,"FDI",L-MON,4.999999999999972
87A896,BlockReference,"FDI",L-MON,4.999999999999972
87A89B,BlockReference,"FDI",L-MON,4.999999999999972
87A8B4,BlockReference,"FDI",L-MON,4.999999999999972
87AF63,BlockReference,"FDI",L-MON,4.999999999999972
87AF68,BlockReference,"PLI",L-MON,4.999999999999972
87AF6D,BlockReference,"PLI",L-MON,4.999999999999972
87AF81,BlockReference,"PLI",L-MON,4.999999999999972
87AF8B,BlockReference,"PLI",L-MON,4.999999999999972
87AF95,BlockReference,"PLI",L-MON,4.999999999999972
87AF9F,BlockReference,"PLI",L-MON,4.999999999999972
87AFA4,BlockReference,"PLI",L-MON,4.999999999999972
87AFA9,BlockReference,"PLI",L-MON,4.999999999999972
87AFAE,BlockReference,"PLI",L-MON,4.999999999999972
87AFB3,BlockReference,"PLI",L-MON,4.999999999999972
87AFB8,BlockReference,"PLI",L-MON,4.999999999999972
87C919,BlockReference,"Hybrid_RC",L-MON,4.998619999999972
87E09D,MText,"Fd.I. Mp.
N.E. 29",L-MON,9.99999999999995
884FB5,BlockReference,"FDI",L-MON,4.998619999999972
88C11C,AlignedDimension,"Sun Gro\P9.14 Drainage Ditch R/W\PDLO 800843",C-AR-T,Compass 5 000
88C13B,AlignedDimension,"Sun Gro\P10.06 A/R\PDLO 871053",C-AR-T,Compass 5 000
88C148,AlignedDimension,"Sun Gro\P10.06 A/R\PDLO 871053",C-AR-T,Compass 5 000
88C179,AlignedDimension,"Sun Gro\P9.14 Drainage Ditch R/W\PDLO 800843",C-AR-T,Compass 5 000
88C198,AlignedDimension,"Sun Gro\P9.14 Drainage Ditch R/W\PDLO 800843",C-AR-T,Compass 5 000
88C1D6,AlignedDimension,"Sun Gro\P9.14 Drainage Ditch R/W\PDLO 800843",C-AR-T,Compass 5 000
88C1F5,AlignedDimension,"Sun Gro\P9.14 Drainage Ditch R/W\PDLO 800843",C-AR-T,Compass 5 000
88C6E3,AlignedDimension,"Sun Gro\PVariable Width Drainage Ditch R/W\PEZE 940046\P(To Be Amended)",C-AR-T,Compass 5 000
88DFD6,BlockReference,"PLI",L-MON,4.998619999999975
890718,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890720,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890728,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890730,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890738,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890740,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890758,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890760,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890763,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890765,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
890BF9,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
8910AA,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
8910B2,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
8910DA,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
8910E2,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891653,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891655,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891657,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
89165B,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
89165D,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
89165F,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891661,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891663,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891665,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891667,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891669,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B09,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B0B,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B0D,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B0F,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B11,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B13,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B15,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B17,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B19,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B1B,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B1D,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B1F,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891B22,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891FB9,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891FBB,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891FBD,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891FBF,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891FC1,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
891FC3,BlockReference,"Hybrid_Point",L-MON,4.998619999999975
892530,BlockReference,"Hybrid_RC",L-MON,4.998619999999975
892538,BlockReference,"Hybrid_RC",L-MON,4.998619999999975
892540,BlockReference,"Hybrid_RC",L-MON,4.998619999999975
892548,BlockReference,"Hybrid_RC",L-MON,4.998619999999975
8E7A9D,MText,"S.E.1/4 Sec. 32-51-6-W.5M.",C-SYMBOL,19.999999999999886
8E7A9E,MText,"S.W.1/4 Sec. 32-51-6-W.5M.",C-SYMBOL,19.999999999999886
8E7A9F,MText,"S.E.1/4 Sec. 31-51-6-W.5M.",C-SYMBOL,19.999999999999886
8E7AA0,MText,"N.W.1/4 Sec. 31-51-6-W.5M.",C-SYMBOL,19.999999999999886
8E7AA1,MText,"N.E.1/4 Sec. 31-51-6-W.5M.",C-SYMBOL,19.999999999999886
8E7AA2,MText,"N.E.1/4 Sec. 32-51-6-W.5M.",C-SYMBOL,19.999999999999886
8E7AA4,MText,"S.E.1/4 Sec. 5-52-6-W.5M.",C-SYMBOL,19.999999999999886
8E7AA5,MText,"S.W.1/4 Sec. 5-52-6-W.5M.",C-SYMBOL,19.999999999999886
8E7AA6,MText,"S.W.1/4 Sec. 6-52-6-W.5M.",C-SYMBOL,19.999999999999886
8E7AA7,MText,"S.E.1/4 Sec. 6-52-6-W.5M.",C-SYMBOL,19.999999999999886
8E8020,MText,"N.W.1/4 Sec. 6-52-6-W.5M.",C-SYMBOL,19.999999999999886
8E8021,MText,"N.E.1/4 Sec. 6-52-6-W.5M.",C-SYMBOL,19.999999999999886
8E8022,MText,"N.W.1/4 Sec. 5-52-6-W.5M.",C-SYMBOL,19.999999999999886
8E8023,MText,"N.E.1/4 Sec. 5-52-6-W.5M.",C-SYMBOL,19.999999999999886
