Handle,ObjType,Content,Layer,Extra
BCDD94,BlockReference,"FDI",L-MON,1
BCDD99,BlockReference,"FDI",L-MON,1
BCDD9E,BlockReference,"FDI",L-MON,1
BCDDA3,BlockReference,"FDI",L-MON,1
BCDDAC,BlockReference,"FDI",L-MON,1
BCDDB1,BlockReference,"FDI",L-MON,1
BCDDB6,BlockReference,"FDI",L-MON,1
BCDDBB,BlockReference,"FDI",L-MON,1
BCDDC4,BlockReference,"FDI",L-MON,1
BCDDC9,BlockReference,"FDI",L-MON,1
BCDDD3,BlockReference,"FDI",L-MON,1
BCDDD8,BlockReference,"FDI",L-MON,1
BCDDDD,BlockReference,"FDI",L-MON,1
BCDDE2,BlockReference,"FDI",L-MON,1
BCDDE7,BlockReference,"FDI",L-MON,1
BCDDEC,BlockReference,"FDI",L-MON,1
BCDDF5,BlockReference,"FDI",L-MON,1
BCDDFA,BlockReference,"FDI",L-MON,1
BCDDFF,BlockReference,"FDI",L-MON,1
BCDE04,BlockReference,"FDI",L-MON,1
BCDE09,BlockReference,"FDI",L-MON,1
BCDE0E,BlockReference,"FDI",L-MON,1
BCDE13,BlockReference,"FDI",L-MON,1
BCDE18,BlockReference,"FDI",L-MON,1
BCDE1D,BlockReference,"FDI",L-MON,1
BCDE22,BlockReference,"FDI",L-MON,1
BCDE27,BlockReference,"FDI",L-MON,1
BCDE2C,BlockReference,"FDI",L-MON,1
BCDE31,BlockReference,"FDI",L-MON,1
BCDE36,BlockReference,"FDI",L-MON,1
BCDE3B,BlockReference,"FDI",L-MON,1
BCDE93,BlockReference,"VALVE",AS-SYMBOL,1
BCDE98,BlockReference,"VALVE",AS-SYMBOL,1
BCDE9D,BlockReference,"VALVE",AS-SYMBOL,1
BCF2FC,BlockReference,"FDI",L-MON,1
BCF301,BlockReference,"FDI",L-MON,1
BCF306,BlockReference,"FDI",L-MON,1
BCF30B,BlockReference,"FDI",L-MON,1
BE1899,BlockReference,"RISER",AS-SYMBOL,1
