Handle,ObjType,Content,Layer,Extra
AF3E11,DBText,"GOVERNMENT ROAD ALLOWANCE",L-ROAD-T,9.996242600000015
AF3E13,BlockReference,"L-SECLBL",L-SECLBL,0.99962426
AF3E19,DBText,"N.W.1/4 Sec. 18-40-18-W.4M.",C-SYMBOL,19.99248520000003
AF3E1B,DBText,"WORKSPACE = 0.040 ha  0.10 Ac.",L-AREAWORK,10.995866860000007
AF3FBF,MText,"Rge. 19",D-TXT,13.994739640000015
AF3FC0,MText,"Rge. 18",D-TXT,13.994739640000015
AF4A86,AlignedDimension,"BAYTEX  P/L R/W  982 6456",F-RW-T,Compass 5 000
AF4AA7,AlignedDimension,"ATCO  P/L R/W  6258 RS",F-RW-T,Compass 5 000
AF4C61,AlignedDimension,"EMBER  P/L R/W  772 1502",F-RW-T,Compass 5 000
AF4C7E,MText,"METER STATION PLAN 6258 RS",F-WS-T,9.996242600000015
AF4C82,AlignedDimension,"APEX  P/L R/W  992 6214",C-RW-T,Compass 5 000
AF538C,AlignedDimension,"30.18 ROAD  6395 RS",L-TITLEDB-T,Compass 5 000
AF79F9,BlockReference,"*U14",CG-NOTES,0.99962426
AF8795,MText,"APPROXIMATE LOCATION OF PAINTEARTH GAS CO-OP LTD.",AS-RECON EXISTING,9.9962426
AFA7F6,MText,"APEX STATION SITE PLAN 992 6215",C-WS-T,9.996242600000008
AFB30D,MText,"RAILWAY  PLAN 1983 AJ",L-TITLEDB-T,9.996242600000008
AFBC80,BlockReference,"FDI",L-MON,4.9981213
AFBC8A,BlockReference,"FDI",L-MON,4.9981213
AFBC8F,BlockReference,"FDI",L-MON,4.9981213
AFBC94,BlockReference,"FDI",L-MON,4.9981213
AFBD5F,BlockReference,"RISER",AS-SYMBOL,4.9981213
AFBD64,BlockReference,"RISER",AS-SYMBOL,4.9981213
B07086,MText,"SEE DETAIL",DETAIL-T,15.993988160000004
B078B8,BlockReference,"RISER",AS-SYMBOL,4.9981213
B078B9,BlockReference,"RISER",AS-SYMBOL,4.9981213
B078BA,BlockReference,"FDI",L-MON,4.9981213
B078BB,BlockReference,"FDI",L-MON,4.9981213
B078BC,BlockReference,"FDI",L-MON,4.9981213
B078BD,BlockReference,"FDI",L-MON,4.9981213
B07CE2,DBText,"GOVERNMENT ROAD ALLOWANCE",L-ROAD-T,9.996242600000015
B07CE3,DBText,"(UNDEVELOPED)",T-TEXT,9.996242600000015
B07CE4,MText,"ROAD  PLAN 6395 RS",L-TITLEDB-T,9.996242600000008
B07DDA,MText,"RISER (TYP.)",T-TEXT,9.9962426
B07DDD,MText,"BUILDING",T-TEXT,9.9962426
B07ECC,MText,"FENCE",T-TEXT,9.9962426
B07ECF,MText,"GATE",T-TEXT,9.9962426
B07ED4,MText,"LINE HEATER",T-TEXT,9.9962426
B07ED7,MText,"A/G PIPES",T-TEXT,9.9962426
B083F9,MText,"BURIED  PIPES (2)",T-TEXT,9.9962426
B085D3,BlockReference,"RISER",AS-SYMBOL,4.9981213
B085D4,BlockReference,"RISER",AS-SYMBOL,4.9981213
B085D5,BlockReference,"FDI",L-MON,4.9981213
B085D6,BlockReference,"FDI",L-MON,4.9981213
B085D7,BlockReference,"FDI",L-MON,4.9981213
B085D8,BlockReference,"FDI",L-MON,4.9981213
B0866F,DBText,"GOVERNMENT ROAD ALLOWANCE",L-ROAD-T,9.996242600000015
B087A8,MText,"RISER (TYP.)",T-TEXT,9.9962426
B08A07,MText,"FD.I. MP.",L-MON,9.9962426
B08A09,MText,"FD.I. MP.",L-MON,9.9962426
