Handle,ObjType,Content,Layer,Extra
AF1EAF,BlockReference,"515064",Parcel Mapping,1
AF2E67,BlockReference,"515063",Parcel Mapping,1
AF3210,BlockReference,"516064",Parcel Mapping,1
AF36EB,BlockReference,"516063",Parcel Mapping,1
AF390B,BlockReference,"L-SECLBL",L-SECLBL,0.99946895
AF3F25,MText,"L.S. 3",L-SECTION-LSD,9.994689500000046
AF3F27,MText,"L.S. 4",L-SECTION-LSD,9.994689500000046
AF3F29,MText,"L.S. 6",L-SECTION-LSD,9.994689500000046
AF3F2B,MText,"L.S. 5",L-SECTION-LSD,9.994689500000046
AF3F2D,MText,"L.S. 1",L-SECTION-LSD,9.994689500000046
AF3F2E,MText,"L.S. 2",L-SECTION-LSD,9.994689500000046
AF3F30,MText,"L.S. 8",L-SECTION-LSD,9.994689500000046
AF3F31,MText,"L.S. 7",L-SECTION-LSD,9.994689500000046
AF402A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000046
AF402B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000046
AF4031,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000044
AF4032,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000044
AF44AA,BlockReference,"*U32",L-SECLBL,1
AF44CC,BlockReference,"*U45",L-SECLBL,1
AF4503,AlignedDimension,"Murphy  A/R  141444",C-AR-T,Compass 5 000
AF4617,AlignedDimension,"Murphy  A/R  181038",C-AR-T,Compass 5 000
AF4636,AlignedDimension,"Murphy  A/R  181038",C-AR-T,Compass 5 000
AF4DCD,AlignedDimension,"Murphy  A/R  931815",C-AR-T,Compass 5 000
AF4E81,AlignedDimension,"Paramount  A/R  942309",F-AR-T,Compass 5 000
AF4EDD,MText,"Scollard 7-6 (Surface) MSL 932650 (Expired)",F-WS-T,10.000000000000053
AF4EFA,AlignedDimension,"Paramount  P/L R/W  022 1840  020843",F-RW-T,Compass 5 000
AF4F10,AlignedDimension,"Paramount  P/L R/W  022 1840  020843",F-RW-T,Compass 5 000
AF4F54,AlignedDimension,"Summerfield  P/L R/W  052 3758  051287",F-RW-T,Compass 5 000
AF5056,AlignedDimension,"Murphy  P/L R/W  221112",C-RW-T,Compass 5 000
AF50B0,AlignedDimension,"Paramount  P/L R/W  962 1525  940299",F-RW-T,Compass 5 000
AF50EB,AlignedDimension,"Paramount  P/L R/W  970747",F-RW-T,Compass 5 000
AF512A,AlignedDimension,"Paramount  P/L R/W  972285",F-RW-T,Compass 5 000
AF5245,MText,"Murphy Borrow Pit RSC 180033 (Expired) (To Be Cancelled)",C-AR-T,10.000000000000046
AF526C,MText,"Theor. S.E.1/4 Sec. 6-64-15-W.5M.",C-SYMBOL,20.000000000000064
AF589D,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000032
AF589F,MText,"Murphy Water Reservoir LOC 240218",C-AR-T,10.000000000000032
AF598C,AlignedDimension,"Murphy  A/R  931815",C-AR-T,Compass 5 000
AF59C1,AlignedDimension,"Murphy  P/L R/W  221112",C-RW-T,Compass 5 000
AF59E9,AlignedDimension,"Paramount  P/L R/W  962 1525  940299",F-RW-T,Compass 5 000
AF6150,AlignedDimension,"Paramount  A/R  940195",F-AR-T,Compass 5 000
AF62BF,MText,"Special Access Zone Boundary",AS-BOUNDARY,9.994800000000007
AF62C1,MText,"Special Access Zone Boundary",AS-BOUNDARY,9.994800000000007
AF6304,BlockReference,"*U50",AS-WILDLIFE-BLOCK,1
AF6454,BlockReference,"*U50",AS-WILDLIFE-BLOCK,1
AF6468,MText,"Theor. S.W.1/4 Sec. 6-64-15-W.5M.",C-SYMBOL,20.000000000000057
AF6469,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000032
AF64A7,BlockReference,"*U51",AS-WILDLIFE-BLOCK,1
AF64B6,BlockReference,"*U51",AS-WILDLIFE-BLOCK,1
AF80AC,BlockReference,"plspike",L-MON,5.000000000000014
AF80B1,BlockReference,"plspike",L-MON,5.000000000000014
AF80B6,BlockReference,"plspike",L-MON,5.000000000000014
AF80BB,BlockReference,"plspike",L-MON,5.000000000000014
AF80C0,BlockReference,"FDI",L-MON,5.000000000000014
AF80C5,BlockReference,"FDI",L-MON,5.000000000000014
AF8A7E,BlockReference,"515063",Parcel Mapping,1
AF8A8E,BlockReference,"FDI",L-MON,5.000000000000014
AF8A9E,MText,"Rge. 16",D-TXT,14.000000000000037
AF8A9F,MText,"Rge. 15",D-TXT,14.000000000000037
AF8AAE,MText,"Twp. 63",D-TXT,14.000000000000037
AF8AAF,MText,"Twp. 64",D-TXT,14.000000000000037
AF9213,MText,"Fd.I. c.s.",L-MON,9.994689500000021
AF9215,DBText,"209°14'20''",L-BD,9.994689500000021
AF931E,MText,"Fd.I. Mp.",L-MON,9.994689500000021
AF935D,AlignedDimension,"Murphy  A/R  931815",C-AR-T,Compass 5 000
AF9385,AlignedDimension,"Paramount  P/L R/W  962 1525  940299",F-RW-T,Compass 5 000
AF9D58,MText,"18°17'00'' 901.48 (Tie)",L-TIE-T,9.994689500000018
AFA2DE,MText,"Top of Slope",T-TEXT,9.994689500000018
AFA2E2,MText,"286°22'10''",L-BD1,9.994689500000018
AFA2E4,MText,"Bottom of  Slope",T-TEXT,9.994689500000018
AFA7AD,BlockReference,"GAS",F-WS-S,5.000000000000007
AFAD2E,BlockReference,"GAS",F-WS-S,5.000000000000007
AFAFC5,MText,"Twp. 63",D-TXT,14.000000000000037
AFAFC6,MText,"Twp. 64",D-TXT,14.000000000000037
AFFAB9,BlockReference,"LOC",12,0.019979178379755772
AFFABA,BlockReference,"STA",13,0.019979211939829142
B005C6,DBText,"WINDFALL",12,5.9937616223999735
B005C8,DBText,"JUNCTION",13,5.9937616223999735
B005CA,DBText,"WINDFALL",13,5.9937616223999735
B005CC,DBText,"HURDY",13,5.9937616223999735
B005CE,DBText,"CNR",39,5.9937616223999735
B005D0,DBText,"CHICKADEE",21,5.9937616223999735
B005D2,DBText,"BEAR",21,5.9937616223999735
B005D4,DBText,"CREEK",21,5.9937616223999735
B005D6,DBText,"CR",21,5.9937616223999735
B005D8,DBText,"CREEK",21,5.9937616223999735
B005DA,DBText,"CR",21,5.9937616223999735
B005DC,DBText,"BESSIE",21,5.9937616223999735
B005DE,DBText,"OLDMAN",21,5.9937616223999735
B005E0,DBText,"RIVER",21,5.9937616223999735
B005E2,DBText,"SAKWATAMAU",21,5.9937616223999735
B005E4,DBText,"HILLS",38,5.9937616223999735
B005E8,DBText,"INDIAN",6,5.9937616223999735
B005EA,DBText,"WHITECOURT",6,5.9937616223999735
B005EC,DBText,"RESERVE",6,5.9937616223999735
