Handle,ObjType,Content,Layer,Extra
AF282E,BlockReference,"L-SECLBL",L-SECLBL,0.999488
AF28AC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999844
AF334D,MText,"Murphy 16-27 (Surface) MSL 190392",C-WS-T,9.994879999999805
AF38E0,BlockReference,"GAS",C-WS-S,4.999999999999929
AF38E1,BlockReference,"GAS",C-WS-S,4.999999999999929
AF6A79,MText,"40cm Poplar & 20cm Scattered Spruce",T-BUSH-T,9.984537975828387
AF6A7A,MText,"40cm Poplar & 20cm Scattered Spruce",T-BUSH-T,9.984537975828387
AF6FD6,BlockReference,"*U20",C-WS-S,0.999488
AF7194,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999727
B1E745,MText,"Low Area",T-LOW-AREA-T,9.99487999999987
B2A1CC,MText,"L.S. 9",L-SECTION-LSD,9.994879999999892
B2A1CE,MText,"L.S. 10",L-SECTION-LSD,9.994879999999892
B2A1D0,MText,"L.S. 16",L-SECTION-LSD,9.994879999999892
B2A1D2,MText,"L.S. 15",L-SECTION-LSD,9.994879999999892
B703D7,MText,"40cm Poplar 20cm Scattered Spruce",T-BUSH-T,9.994879999999943
B703DF,MText,"40cm Poplar 20cm Scattered Spruce",T-BUSH-T,9.994879999999943
B8A192,BlockReference,"TEMP",L-MON,4.999999999999984
B8A193,BlockReference,"TEMP",L-MON,4.999999999999984
B8A194,BlockReference,"TEMP",L-MON,4.999999999999984
B92FDB,AlignedDimension,"Murphy  A/R  ______",C-AR-T,Compass 5 000
B93F1A,BlockReference,"RP",35,1
B96396,AlignedDimension,"Murphy  P/L R/W  195181",C-AR-T,Compass 5 000
B9A9CF,BlockReference,"*U28",AS-WILDLIFE-BLOCK,0.999488
B9BDBD,MText,"100m FNC Buffer",P-BUFFER-T,9.994879999999913
B9DDE8,MText,"40cm Poplar 20cm Scattered Spruce",T-BUSH-T,9.994879999999986
B9DDE9,MText,"40cm Poplar 20cm Scattered Spruce",T-BUSH-T,9.994879999999986
B9DDEA,MText,"40cm Poplar 20cm Scattered Spruce",T-BUSH-T,9.994879999999986
B9DDEE,BlockReference,"TEMP",L-MON,4.997439999999993
B9DDEF,BlockReference,"TEMP",L-MON,4.997439999999993
B9DDF0,BlockReference,"TEMP",L-MON,4.997439999999993
B9DDF1,BlockReference,"TEMP",L-MON,4.997439999999993
B9DDF9,DBText,"29°10'",L-BD,9.994879999999979
B9DDFF,DBText,"299°49'",L-BD,9.994879999999979
B9E4F8,AlignedDimension,"Murphy  A/R  ______",C-AR-T,Compass 5 000
BA358A,MText,"Theor. N.E.1/4 Sec. 27 64-17-W.5M.",C-SYMBOL,19.98975999999964
BA369C,AlignedDimension,"Blue Ridge  A/R  781064",F-AR-T,Compass 5 000
BA36A9,AlignedDimension,"Murphy  P/L R/W  210720",C-AR-T,Compass 5 000
BA36EF,AlignedDimension,"Murphy  P/L R/W  210458",C-RW-T,Compass 5 000
BA3724,AlignedDimension,"Murphy  P/L R/W  210396",C-RW-T,Compass 5 000
BA3E42,MText,"SEE DETAIL",DETAIL-T,15.99180799999999
BB03BB,MText,"209°10' 100.0",L-BD,9.994879999999979
BB03BC,MText,"119°49'  200.0",L-BD,9.994879999999979
BB03CE,MText,"338.2 (Tie) 195°15'",L-TIE-T,9.994879999999993
BB1104,MText,"338.2 (Tie) 195°15'",L-TIE-T,9.994879999999993
BB302C,BlockReference,"TEMP",L-MON,4.99744
BB3C65,AlignedDimension,"Athabasca  P/L R/W  240969",F-RW-T,Compass 5 000
BB3C9E,AlignedDimension,"Athabasca  P/L R/W  240970",F-RW-T,Compass 5 000
BB3CDA,AlignedDimension,"Athabasca  P/L R/W  240970",F-RW-T,Compass 5 000
BC09C5,BlockReference,"Disclaimer_Legal",F-RW-T,0.3
