Handle,ObjType,Content,Layer,Extra
AFC733,BlockReference,"L-SECLBL",L-SECLBL,1
AFC73A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,8.999999999999961
AFC752,MText,"L.S. 10",L-SECTION-LSD,8.995274999999982
AFC754,MText,"L.S. 15",L-SECTION-LSD,8.995274999999982
AFCC95,MText,"L.S. 9",L-SECTION-LSD,8.995274999999982
AFCCA9,MText,"L.S. 16",L-SECTION-LSD,8.995274999999982
AFCCAB,BlockReference,"GAS",ABADATA-DRILL-T,4.99999999999999
AFCCAC,BlockReference,"GAS",ABADATA-DRILL-T,4.99999999999999
AFCCB0,BlockReference,"musk",T-GENERAL,4.997421650000001
AFCCB1,BlockReference,"musk",T-GENERAL,4.997421650000001
AFDC4A,AlignedDimension,"Cenovus  P/L R/W  052 5856  001681",L-SEC,Compass 5 000
B010C9,MText,"Theor. N.E.1/4 Sec. 29 64-16-W.5M.",C-SYMBOL,19.999999999999925
B010CA,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999963
B01194,BlockReference,"*U27",DETAIL-T,1
B011A6,BlockReference,"*U28",DETAIL-T,1
B0160A,AlignedDimension,"Murphy  A/R  220512",C-AR-T,Compass 5 000
B01613,AlignedDimension,"Murphy  P/L R/W  180910",C-RW-T,Compass 5 000
B01622,AlignedDimension,"Murphy  P/L R/W  210508",C-RW-T,Compass 5 000
B01625,MText,"Murphy  16-29 (Surface) MSL 221659",C-WS-T,9.994843299999985
B01627,AlignedDimension,"Enercapita  A/R  060237",F-AR-T,Compass 5 000
B01649,AlignedDimension,"Murphy  A/R  221936",C-WS-T,Compass 5 000
B01673,MText,"Atikkamek Creek",T-WATER-T,9.999999999999963
B0168F,MText,"Ephemeral Draw",T-WATER-T,9.994843299999985
B0169B,MText,"Muskeg 10cm Small Spruce",T-BUSH-T,10.00009334900823
B0169F,MText,"35cm Poplar  & Spruce",T-BUSH-T,9.999999999999963
B0193D,BlockReference,"WC",L-MON,4.999999999999981
B0193E,BlockReference,"WC",L-MON,4.999999999999981
B0193F,BlockReference,"WC",L-MON,4.999999999999981
B01940,BlockReference,"WC",L-MON,4.999999999999981
B01941,BlockReference,"WC",L-MON,4.999999999999981
B01942,BlockReference,"WC",L-MON,4.999999999999981
B01943,BlockReference,"WC",L-MON,4.999999999999981
B01944,BlockReference,"WC",L-MON,4.999999999999981
B01945,BlockReference,"WC",L-MON,4.999999999999981
B01946,BlockReference,"WC",L-MON,4.999999999999981
B0195B,BlockReference,"*U26",L-MON,1
B01992,BlockReference,"FDI",L-MON,5.000000000000002
B01993,BlockReference,"FDI",L-MON,5.000000000000002
B01994,MText,"Fd. I.  Mp.",L-MON,9.999999999999996
B01996,MText,"Fd. I.  Mp.",L-MON,9.999999999999996
B019A3,BlockReference,"fdspike",L-MON,5.000000000000002
B06AD2,DBText,"179°25'05''",L-BD,9.999999999999995
B06AD5,DBText,"269°25'05''",L-BD,9.999999999999995
B06ADC,DBText,"295°20'50''",L-BD,9.999999999999995
B075C4,BlockReference,"plspike",L-MON,4.999999999999998
B075C5,BlockReference,"plspike",L-MON,4.999999999999998
B075C7,BlockReference,"plspike",L-MON,4.999999999999998
B0A231,BlockReference,"*U35",L-MON,1
B1B724,BlockReference,"*U36",CG-NOTES,1
B1E8EE,MText,"89°25'05''",L-BD,9.999999999999995
B1F429,MText,"05''",L-BD,9.999999999999995
B20F42,DBText,"Murphy",C-WS-T,9.994843299999985
B20F48,MText,"Non-Manufacturing Clay",C-WS-T,9.994843299999985
B20F49,MText,"(To Be Cancelled)",C-WS-T,9.994843299999985
B2163B,BlockReference,"fdspike",L-MON,5.000000000000002
B2163D,MText,"359°",L-BD,9.999999999999995
B2163E,MText,"25'",L-BD,9.999999999999995
B290BF,MText,"(Expired)",C-WS-T,9.994843299999985
B290C1,MText,"RSC 221033",C-WS-T,9.994843299999985
B2A169,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.5
