Handle,ObjType,Content,Layer,Extra
BCE1D0,AlignedDimension,"Paramount  A/R  910937",F-AR-T,Compass 5 000
BCE1D1,BlockReference,"L-SECLBL",L-SECLBL,1
BCE1D7,DBText,"Theor. S.E.1/4 Sec. 16-64-17-W.5M.",C-SYMBOL,19.999999999999716
BCE1F7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999858
BCE1F8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999858
BCE1F9,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999698
BCE38F,AlignedDimension,"Paramount  P/L R/W  992 3417  940050",F-RW-T,Compass 5 000
BCE392,AlignedDimension,"Murphy  P/L R/W  195039",C-RW-T,Compass 5 000
BCE393,MText,"20cm Spruce",T-BUSH-T,9.999999999999858
BCE394,MText,"20cm Spruce",T-BUSH-T,9.999999999999858
BCE3A6,MText,"Buried Pipes(2)",AS-PIPE-UG-T,9.994902799999952
BCE3A9,MText,"Buried Pipe",AS-PIPE-UG-T,9.994902799999952
BCE415,AlignedDimension,"Paramount  A/R  920163",F-AR-T,Compass 5 000
BD26D7,BlockReference,"TEMP",L-MON,4.997375
BD26D9,BlockReference,"TEMP",L-MON,4.997375
BD26DA,BlockReference,"TEMP",L-MON,4.997375
BD26DB,BlockReference,"TEMP",L-MON,4.997375
BD288D,DBText,"265%%d28'",L-BD1,9.99475
BD334B,DBText,"RP",35,9.99475
BD426E,MText,"L.S. 1",L-SECTION-LSD,9.99475
BD426F,MText,"L.S. 2",L-SECTION-LSD,9.99475
BD4271,MText,"L.S. 8",L-SECTION-LSD,9.99475
BD4272,MText,"L.S. 7",L-SECTION-LSD,9.99475
BD86A1,MText,"100m FNC Buffer",P-BUFFER-T,9.99475
BE0260,MText,"SEE DETAIL",DETAIL-T,15.9916
BEE78D,AlignedDimension,"Murphy   A/R  ______",C-AR-T,Compass 5 000
BEE7E1,MText,"Murphy  Reservoir LOC ______",C-AR-T,9.99475
BEED30,MText,"Existing Log Deck",T-EXISTING RTF-T,9.99475
BEED91,MText,"Buried Pipes(2)",AS-PIPE-UG-T,9.99475
BEED94,MText,"Buried Pipe",AS-PIPE-UG-T,9.994902799999952
BEEDB7,DBText,"175%%d28'",L-BD1,9.99475
BEEDBC,MText,"20cm Spruce",T-BUSH-T,9.999999999999858
BEEDBF,BlockReference,"TEMP",L-MON,4.997375
BEEDC0,BlockReference,"TEMP",L-MON,4.997375
BEEDC1,BlockReference,"TEMP",L-MON,4.997375
BEEDC3,BlockReference,"TEMP",L-MON,4.997375
BEEDC7,MText,"Murphy  Reservoir LOC ______",C-AR-T,9.99475
BEF9EB,AlignedDimension,"Paramount  A/R  910937",F-AR-T,Compass 5 000
BEF9F7,AlignedDimension,"Paramount  P/L R/W  992 3417  940050",F-RW-T,Compass 5 000
BEFA03,AlignedDimension,"Murphy  P/L R/W  195039",C-RW-T,Compass 5 000
BEFFAA,AlignedDimension,"Paramount  A/R  920163",F-AR-T,Compass 5 000
BEFFFB,DBText,"128°53'",L-BD1,9.99475
BEFFFD,DBText,"85°28'",L-BD1,9.99475
BF0533,DBText,"97.71 (Tie)",L-TIE-T,9.994749999999998
BF0534,DBText,"319°19'45''",L-TIE-T,9.994749999999998
BF0535,DBText,"319°19'45''",L-TIE-T,9.99475
BF0536,DBText,"97.71 (Tie)",L-TIE-T,9.99475
BF2C8B,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999858
BF2C8C,MText,"20cm Spruce",T-BUSH-T,9.999999999999858
BF4334,MText,"20cm Spruce",T-BUSH-T,9.999999999999858
BF9557,BlockReference,"Disclaimer_Legal",C-AR-T,0.3
