Handle,ObjType,Content,Layer,Extra
AF2C69,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999090300000102
AF2C6A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999090300000102
AF2C6D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999090300000102
AF2C78,MText,"Twp. 74",D-TXT,13.998726420000205
AF2C79,MText,"Twp. 75",D-TXT,13.998726420000205
AF2C7A,MText,"Twp. 74",D-TXT,13.998726420000205
AF2C7B,MText,"Twp. 75",D-TXT,13.998726420000205
AF2C88,DBText,"(Correction Line)",L-ROAD-T,9.999090300000102
AF2C8C,DBText,"(Correction Line)",L-ROAD-T,9.999090300000102
AF2C8D,DBText,"(Correction Line)",L-ROAD-T,9.999090300000102
AF2CD4,BlockReference,"L-SECLBL",L-SECLBL,1
AF2D52,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999116200000087
AF2DC9,BlockReference,"L-SECLBL",L-SECLBL,1
AF2E28,DBText,"Theor. N.E.1/4 Sec. 34-74-1-W.5M.",C-SYMBOL,19.998232400000123
AF2E2A,DBText,"Theor. S.E.1/4 Sec. 34-74-1-W.5M.",C-SYMBOL,19.998232400000123
AF2E2B,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998585920000124
AF2E2F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998585920000124
AF2E31,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999116200000087
AF2E32,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999116200000087
AF2E34,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999116200000087
AF2E49,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998585920000124
AF2E4C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998585920000124
AF2E6C,MText,"L.S. 11",L-SECTION-LSD,9.999116200000062
AF2E6E,MText,"L.S. 12",L-SECTION-LSD,9.999116200000062
AF2E70,MText,"L.S. 14",L-SECTION-LSD,9.999116200000062
AF2E71,MText,"L.S. 13",L-SECTION-LSD,9.999116200000062
AF2EA9,BlockReference,"*U35",AS-SURFACE IMPACT,1
AF2EB8,BlockReference,"*U36",AS-SURFACE IMPACT,1
AF2EC7,BlockReference,"*U37",AS-SURFACE IMPACT,1
AF2EE5,BlockReference,"*U38",AS-SURFACE IMPACT,1
AF2EF4,BlockReference,"*U39",AS-SURFACE IMPACT,1
AF2F4E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998585920000124
AF2F50,MText,"Theor. N.W.1/4  Sec. 34-74-1-W.5M.",C-SYMBOL,19.998232400000123
AF2F5E,AlignedDimension,"Tolko  A/R  980747  be Amended)",C-AR-T,Compass 5 000
