Handle,ObjType,Content,Layer,Extra
AF53C5,BlockReference,"L-SECLBL",L-SECLBL,0.99980714
AF5CA9,DBText,"S.W.1/4 Sec. 19-61-23-W.4M.",C-SYMBOL,19.996142799999916
AF5CAA,DBText,"Tower Site = 2.245 ha  5.55 Ac.",L-AREAREQUIRED,10.997878539999915
AF5CAB,DBText,"Access Road = 0.041 ha  0.10 Ac.",L-AREAWORK,10.997878539999915
AF5CBB,MText,"Lot 1 Block 1 Plan 082 0862",L-TITLEDB-T,9.998071399999956
AF5CBD,AlignedDimension,"30.48  Road  2969 NY",L-TITLEDB-T,Compass 5 000
AF5CD2,AlignedDimension,"25.15 Road  842 1810",L-TITLEDB-T,Compass 5 000
AF6843,BlockReference,"*U55",CG-NOTES,0.99980714
AF6889,MText,"C. of T.",L-TITLEDB-T,9.998071399999956
AF83B6,MText,"L.S. 3",L-SECTION-LSD,9.998071399999965
AF83B8,MText,"L.S. 4",L-SECTION-LSD,9.998071399999965
AF83BA,MText,"L.S. 6",L-SECTION-LSD,9.998071399999965
AF83BC,MText,"L.S. 5",L-SECTION-LSD,9.998071399999965
AF83D9,BlockReference,"HRV",CG-NOTES,0.99980714
AF85C9,MText,"Approximate Location of Apex Utilities Ltd. Gas Co-op",AS-PIPE-UG-T,9.998071399999963
AF85D3,MText,"Buried Telus Cable",AS-TELUS,9.998071399999963
AF99B7,DBText,"(High Grade Gravel)",T-TEXT,9.998071399999967
AF99B8,DBText,"Government Road Allowance",L-ROAD-T,9.998071399999967
AFABC4,BlockReference,"GABD",F-WS-S,4.999035699999983
AFB4BC,MText,"Fortis O/H Powerline",AS-POWER,9.998071399999963
AFBDB0,MText,"1W0/5-19 (Abd.)",F-WS-T,9.998071399999963
AFEA99,BlockReference,"FDI",L-MON,4.999999999999967
AFEA9E,BlockReference,"FDI",L-MON,4.999999999999967
AFEAB2,BlockReference,"plspike",L-MON,4.999035699999987
AFEAB7,BlockReference,"plspike",L-MON,4.999035699999987
B044D6,MText,"Fd.I. R21",L-MON,9.99807139999997
B05181,DBText,"45''",L-BD,9.998071399999974
B05184,MText,"Fd.I. Mp. R20",L-MON,9.99807139999997
B05475,MText,"300m",AUX-BUFFER,9.99807139999997
B05CB1,MText,"Small Shrubs & Small Trees 5 - 10cm Poplar",T-BUSH-T,9.99807139999997
B06AE7,BlockReference,"FDI",L-MON,4.999035699999987
B06AE8,BlockReference,"plspike",L-MON,4.999035699999987
B06AE9,BlockReference,"plspike",L-MON,4.999035699999987
B06AEA,BlockReference,"plspike",L-MON,4.999035699999987
B06AEB,BlockReference,"plspike",L-MON,4.999035699999987
B06AEC,BlockReference,"plspike",L-MON,4.999035699999987
B08E65,BlockReference,"we",L-BD,0.99980714
B0B9CA,MText,"Dugout",T-WATER-T,9.998071399999974
B0C1E3,MText,"Pedestal",AS-CABLE,9.998071399999974
B0C1E6,MText,"Buried Telus Cables",AS-TELUS,9.998071399999963
B0CB90,MText,"(High Grade Gravel)",T-TEXT,9.998071399999967
B0CB92,MText,"N.-S. 1/4 Line",L-SECQ,9.998071399999974
B0CB93,MText,"E.-W. 1/4 Line",L-SECQ,9.998071399999974
B0CDC7,AlignedDimension,"30.48  Road  2969 NY",L-TITLEDB-T,Compass 5 000
B0CE1B,MText,"Fd.I. R21",L-MON,9.99807139999997
B0CE1E,DBText,"91°",L-BD,9.998071399999974
B0CE21,DBText,"45''",L-BD,9.998071399999974
B0D7C5,MText,"1°51'15'' 140.00",L-BD1,9.998071399999974
B0D7C8,MText,"91°51'15'' 150.00",L-BD1,9.998071399999974
B0D7CB,MText,"150.00 181°51'15''",L-BD1,9.998071399999974
B0D7CE,MText,"140.00 271°51'15''",L-BD1,9.998071399999974
B0D7D3,MText,"Small Shrubs & Small Trees 5 - 10cm Poplar",T-BUSH-T,9.99807139999997
B0D7D4,MText,"Small Shrubs & Small Trees 5 - 10cm Poplar",T-BUSH-T,9.99807139999997
B0D94B,MText,"40.85 226°24'25''",L-BD1,9.998071399999974
B0D94C,AlignedDimension,"10.00 A/R",P-TXT,Compass 5 000
B0D988,BlockReference,"L-SECLBL",L-SECLBL,0.99980714
B0FDE5,DBText,"Low Area",T-TEXT,9.998071399999974
B0FDF6,MText,"SEE DETAIL",DETAIL-T,15.996914239999947
B1175A,BlockReference,"*U60",DETAIL-T,1.0001551039622125
B13126,BlockReference,"*U71",CG-NOTES,0.99980714
B139C0,BlockReference,"*U62",AS-POWER-T,0.99980714
B139D8,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.999035699999989
B14C50,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.999035699999989
B154E5,BlockReference,"*U63",DETAIL-T,1.0001551039622125
B1556A,MText,"Rge. 24",D-TXT,13.997299959999959
B1556B,MText,"Rge. 23",D-TXT,13.997299959999959
B156DF,MText,"MAJOR CONTOUR INTERVAL= 0.5m MINOR CONTOUR INTERVAL= 0.1m",L-BD,9.99580713677002
B15768,MText,"TOWER SITE DETAIL",DETAIL-T,19.991614273540044
B1576A,BlockReference,"*U52",L-BD,0.9995807136770012
B15781,BlockReference,"we",L-BD,0.99980714
B1858D,BlockReference,"we",L-BD,0.99980714
B18590,BlockReference,"we",L-BD,0.99980714
B1916E,BlockReference,"xing2",P-CROSSINGS,0.99980714
B19175,BlockReference,"xing2",P-CROSSINGS,0.99980714
B192F1,MText,"Approximate Location of Apex Utilities Ltd. Gas Co-op (Abandoned)",AS-PIPE-UG-T,9.998071399999963
B1D111,BlockReference,"*U70",L-BD,0.99980714
B1D3FF,BlockReference,"plspike",L-MON,4.99903569999999
B1E6FD,BlockReference,"res_occ",AS-RESIDENCE,4.99903569999999
B21D17,BlockReference,"plspike",L-MON,4.9990356999999905
B21D18,BlockReference,"plspike",L-MON,4.9990356999999905
B22049,DBText,"0+000",0,9.998071399999981
B2204A,DBText,"0+005",0,9.998071399999981
B2204B,DBText,"0+010",0,9.998071399999981
B2204C,DBText,"0+015",0,9.998071399999981
B2204D,DBText,"0+020",0,9.998071399999981
B2204E,DBText,"0+025",0,9.998071399999981
B2204F,DBText,"0+030",0,9.998071399999981
B22050,DBText,"0+035",0,9.998071399999981
B22051,DBText,"0+040",0,9.998071399999981
B22052,DBText,"0+045",0,9.998071399999981
B22053,DBText,"0+050",0,9.998071399999981
B226F3,MText,"W. Pole 8.73m",L-BD,9.99807139999998
B228F8,MText,"W. Bdy. A/R 8.29m",L-BD,9.99807139999998
B228F9,MText,"17.5 O/S 8.84m",L-BD,9.99807139999998
B228FB,MText,"Midspan 8.17m",L-BD,9.99807139999998
B228FF,MText,"A/R 8.19m",L-BD,9.99807139999998
B22A01,MText,"E. Bdy. A/R 8.31m",L-BD,9.99807139999998
B22A04,MText,"E. Pole 8.65m",L-BD,9.99807139999998
B2335E,MText,"North Parkland Power 2-Wire O/H Powerline",AS-POWER,9.998071399999978
B23BBC,MText,"Scale	1: 250 (Horiz.) 	1: 200 (Vert.)",DETAIL-T,10.00155103962217
