Handle,ObjType,TextString,Layer,TextHeight
AF20B0,MText,"\pxql;L.S. 9",L-SECTION-LSD,9.99449389999991
AF20B2,MText,"\pxqr;L.S. 10",L-SECTION-LSD,9.99449389999991
AF20B4,MText,"\pxql;L.S. 16",L-SECTION-LSD,9.99449389999991
AF20B6,MText,"\pxqr;L.S. 15",L-SECTION-LSD,9.99449389999991
AF32D8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;5m Low Grade Dirt Road}",AS-GENERAL,9.99449389999991
AF417B,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.991190239999861
AF417D,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.991190239999861
AF417F,MText,"\pxql;L.S. 11",L-SECTION-LSD,9.99449389999991
AF4181,MText,"\pxqr;L.S. 12",L-SECTION-LSD,9.99449389999991
AF4184,MText,"\pxqr;L.S. 13",L-SECTION-LSD,9.99449389999991
AF4186,MText,"Theor. N.W.1/4 \PSec. 33-60-19-W.5M.",C-SYMBOL,19.98898779999982
AF4187,MText,"Theor. N.E.1/4 \PSec. 33-60-19-W.5M.",C-SYMBOL,19.98898779999982
AF4B67,DBText,"338.48",L-BD1,9.994493899999915
AF4B68,DBText,"269°50'10''",L-BD1,9.994493899999915
AF4C22,MText,"Fd.I. Mp.\PN.1/4 33",L-MON,9.99449389999991
AF4C23,MText,"Fd.I.",L-MON,9.99449389999991
AF583C,DBText,"354°46'45''",L-BD1,9.994493899999915
AF583D,DBText,"300.47 (Tie)",L-BD1,9.994493899999915
AF5877,DBText,"Government Road Allowance",L-ROAD-T,9.994493899999915
AF5878,DBText,"(Undeveloped)",T-TEXT,9.994493899999915
AF5879,DBText,"Government Road Allowance",L-ROAD-T,9.994493899999915
AF587A,DBText,"(Undeveloped)",T-TEXT,9.994493899999915
AF587B,DBText,"(16th Baseline)",L-ROAD-T,9.994493899999915
AF587C,DBText,"(16th Baseline)",L-ROAD-T,9.994493899999915
AF5F33,DBText,"RP",35,9.994493899999915
AFC6F9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994493899999915
AFC92D,MText,"30m Buffer",P-BUFFER-T,9.994493899999915
AFDA2A,MText,"{\fArial Narrow|b0|i1|c0|p34;Old Cutblock}",T-TEXT,9.999999999999913
AFDA2B,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;10cm Pine \P& Willows \P(Regrowth)}",T-BUSH-T,9.999999999999913
AFDA34,MText,"{\fArial Narrow|b0|i1|c0|p34;Old Cutblock}",T-TEXT,9.999999999999913
AFDA35,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;10cm Pine \P& Willows \P(Regrowth)}",T-BUSH-T,9.999999999999913
AFEED8,MText,"Hwn Energy Ltd.",licensee,9.999999999999925
AFEED9,MText,"Hwn Energy Ltd.",licensee,9.999999999999925
