Handle,ObjType,TextString,Layer,TextHeight
BB2959,MText,"\pxqc;Nova\PMeter Station\PPlan 202 2583\PDPI 150044",F-RW-T,9.995794099999978
BB2969,MText,"\pxqc;Nova\PValve Site\PPlan 192 0829
DPI 150045",F-RW-T,9.995794099999978
BB2B2F,MText,"\pxqc;Alliance\PRiser Site\PDPI 170016",F-RW-T,9.995794099999978
BB3968,MText,"\pxqc;PGI\PPlant Site\PMLL 150183",F-RW-T,9.995794099999978
BB3969,MText,"\pxqc;PGI\PWater Disposal\PMLL 160037",F-RW-T,9.995794099999978
BB3B2E,MText,"\pxqc;PGI\PPlant Site\PMLL 180066\P(Expired)",F-RW-T,9.995794099999978
BB3B2F,MText,"\pxqc;PGI\PRiser Site\PPIL 220118",F-RW-T,9.995794099999978
BB3E57,MText,"\pxqc;CanFor\PBorrow Pit\PSML 150023",F-RW-T,9.995794099999978
BB4B8A,MText,"Theor. S.W.1/4 \PSec. 28-66-3-W.6M.",C-SYMBOL,19.991588199999956
BB4B9A,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.99327055999997
BB4B9E,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.99327055999997
BB4BA2,MText,"Theor. N.E.1/4 \PSec. 20-66-3-W.6M.",C-SYMBOL,19.991588199999956
BB4BA3,MText,"Theor. N.W.1/4 \PSec. 21-66-3-W.6M.",C-SYMBOL,19.991588199999956
BB4BDF,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995794099999978
BB4BE0,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995794099999978
BB4BE1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995794099999978
BB4BE2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995794099999978
BB4BE3,MText,"\pxql;L.S. 9",L-SECTION-LSD,9.995794099999978
BB4BE5,MText,"\pxqr;L.S. 10",L-SECTION-LSD,9.995794099999978
BB4BE7,MText,"\pxql;L.S. 16",L-SECTION-LSD,9.995794099999978
BB4BE9,MText,"\pxqr;L.S. 15",L-SECTION-LSD,9.995794099999978
BB4BEB,MText,"\pxql;L.S. 11",L-SECTION-LSD,9.995794099999978
BB4BED,MText,"\pxqr;L.S. 12",L-SECTION-LSD,9.995794099999978
BB4BEF,MText,"L.S. 14",L-SECTION-LSD,9.995794099999978
BB4BF0,MText,"\pxqr;L.S. 13",L-SECTION-LSD,9.995794099999978
BB4BF2,MText,"\pxql;L.S. 3",L-SECTION-LSD,9.995794099999978
BB4BF4,MText,"\pxqr;L.S. 4",L-SECTION-LSD,9.995794099999978
BB4BF6,MText,"\pxql;L.S. 6",L-SECTION-LSD,9.995794099999978
BB4BF8,MText,"\pxqr;L.S. 5",L-SECTION-LSD,9.995794099999978
BB5192,DBText,"967.03",L-BD,9.995794099999978
BB5193,DBText,"331°23'10''",L-BD,9.995794099999978
BB5194,MText,"\pxqr;Fd.I.\PMp.",L-MON,9.995794099999978
BB5195,MText,"\pxqr;Fd.I.\PMp.",L-MON,9.995794099999978
BB53D4,DBText,"849.14",L-BD,9.995794099999978
BB53D5,DBText,"331°23'10''",L-BD,9.995794099999978
BC05F7,MText,"\pxqc,t10;{\fArial Narrow|b0|i1|c0|p34;Small Permanent Creek\P(Lost In Flood)}",T-WATER-T,9.999999999999979
BC05F9,MText,"\pxqc,t2;{\fArial Narrow|b0|i1|c0|p34;Beaver Dams}",T-TEXT,9.999999999999979
BC05FD,MText,"\pxqc,t2;{\fArial Narrow|b0|i1|c0|p34;Beaver Dams}",T-TEXT,9.999999999999979
BC08F7,MText,"\pxqc,t2;{\fArial Narrow|b0|i1|c0|p34;Beaver Dams}",T-TEXT,9.999999999999979
BC08FA,MText,"\pxqc,t2;{\fArial Narrow|b0|i1|c0|p34;Beaver Dam}",T-TEXT,9.999999999999979
BC130D,MText,"{\fArial Narrow|b0|i1|c0|p34;Cutblock}",T-TEXT,9.99579409999998
BC130E,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;(Re-growth)\P5cm Aspen & Birch}",T-BUSH,9.99579409999998
BC1326,MText,"{\fArial Narrow|b0|i1|c0|p34;Cutblock}",T-TEXT,9.99579409999998
BC1327,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;(Re-growth)\P5cm Aspen & Birch}",T-BUSH,9.99579409999998
BC132A,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;35cm Spruce\P10cm Birch}",T-BUSH,9.99579409999998
BC1623,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;25cm Spruce}",T-BUSH,9.99579409999998
BC1624,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Left Bank}",T-TEXT,9.999999999999979
BC1626,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Right Bank}",T-TEXT,9.999999999999979
BC1628,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Break Lines}",T-TEXT,9.999999999999979
BC162B,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Break Line}",T-TEXT,9.999999999999979
BC1632,MText,"{\fArial Narrow|b0|i1|c0|p34;Cutblock}",T-TEXT,9.99579409999998
BC1633,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;(Re-growth)\P5cm Aspen & Birch}",T-BUSH,9.99579409999998
BC2FD4,DBText,"231°23'",L-BD,9.995794099999978
BC2FD8,DBText,"272.07",L-BD,9.99579409999998
BC2FD9,DBText,"186°32'10''",L-BD,9.99579409999998
BC2FDF,MText,"\pxqc;241°23'05'' 39.97",L-BD,9.99579409999998
BC2FE0,MText,"\pxqc;216°34'30''\P95.00 ",L-BD,9.99579409999998
BC2FE3,MText,"\pxqc,t2;{\fArial Narrow|b0|i1|c0|p34;Beaver Dams}",T-TEXT,9.999999999999979
BC32CD,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Break Line}",T-TEXT,9.999999999999979
BC32EB,MText,"\pxqr;Fd.I.\PMp.",L-MON,9.995794099999978
BC35D2,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Seismic Line (Overgrown)}",AS-SEISMIC,9.99579409999998
BC4A7E,MText,"100m",AUX-BUFFER,9.99579409999998
BC4A80,MText,"200m",AUX-BUFFER,9.99579409999998
BC4AAD,DBText,"104°56'05''",L-BD,9.99579409999998
BC4AAE,DBText,"1167.11 (Tie)",L-BD,9.99579409999998
BC4AB4,MText,"\pxqc;155°15'30'' 676.94 (Tie)",L-BD,9.99579409999998
BC50B7,MText,"\pxqc;100m FNC Buffer",P-BUFFER-T,9.99579409999998
BC8EEA,MText,"9m High Grade Gravel Road",T-TEXT,9.999999999999979
BC9214,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99327055999997
BC93F9,MText,"\pxqc;Mancal\P16-20 (HZ)",AS-DRILL-T,9.999999999999982
BC93FA,MText,"\pxqc;Mancal\P9-20 (HZ)",AS-DRILL-T,9.999999999999982
BC93FB,MText,"\pxqc;30m FNC Buffer",P-BUFFER-T,9.99579409999998
BC9C82,MText,"\pxql;L.S. 9",L-SECTION-LSD,29.987382299999958
BC9C84,MText,"\pxqr;L.S. 10",L-SECTION-LSD,29.987382299999958
BC9C86,MText,"\pxql;L.S. 16",L-SECTION-LSD,29.987382299999958
BC9C88,MText,"\pxqr;L.S. 15",L-SECTION-LSD,29.987382299999958
BC9CBB,MText,"\pxql;L.S. 11",L-SECTION-LSD,29.987382299999958
BC9CBD,MText,"\pxqr;L.S. 12",L-SECTION-LSD,29.987382299999958
BC9CBF,MText,"L.S. 14",L-SECTION-LSD,29.987382299999958
BC9CC0,MText,"\pxqr;L.S. 13",L-SECTION-LSD,29.987382299999958
BC9D0D,MText,"\pxqc;Mancal\P16-20 (HZ)",AS-DRILL-T,29.99999999999993
BC9D0E,MText,"\pxqc;Mancal\P9-20 (HZ)",AS-DRILL-T,29.99999999999993
BC9D12,MText,"\pxqc;Mancal\P8-20 (HZ)",AS-DRILL-T,29.99999999999993
BC9D13,MText,"\pxqc;Mancal\P1-20 (HZ)",AS-DRILL-T,29.99999999999993
BC9D15,MText,"\pxqc;CNRL
7-21 (Abd.)",F-WS-S,29.99999999999993
BC9D17,MText,"\pxqc;Veren\P8-21 (HZ)",AS-DRILL-T,29.99999999999993
BC9D1B,MText,"\pxqc;Veren\P4-22 (DD)",AS-DRILL-T,29.999999999999932
BC9D1C,MText,"\pxqc;Veren\P3-22",C-WS-S,29.98738229999997
BC9D1E,MText,"\pxqc;Gulf\P3-22",Defpoints,9.995794099999983
BC9D22,MText,"\pxqc;Veren\P7-22 (DD)",C-WS-S,29.98738229999997
BC9D23,MText,"\pxqc;Veren\P13-22 (DD)",C-WS-S,29.98738229999997
BC9F9F,MText,"\pxqc;DRILL PLAN\P{\H0.7x;SCALE 1:15000}",DETAIL-T,59.97476459999994
BC9FA4,MText,"L.S. 1",L-SECTION-LSD,29.98738229999997
BC9FA5,MText,"\pxqr;L.S. 2",L-SECTION-LSD,29.98738229999997
BC9FA7,MText,"L.S. 8",L-SECTION-LSD,29.98738229999997
BC9FA8,MText,"\pxqr;L.S. 7",L-SECTION-LSD,29.98738229999997
BC9FAC,MText,"\pxql;L.S. 3",L-SECTION-LSD,29.98738229999997
BC9FAE,MText,"\pxqr;L.S. 4",L-SECTION-LSD,29.98738229999997
BC9FB0,MText,"\pxql;L.S. 6",L-SECTION-LSD,29.98738229999997
BC9FB2,MText,"\pxqr;L.S. 5",L-SECTION-LSD,29.98738229999997
BCA190,MText,"\pxql;L.S. 9",L-SECTION-LSD,29.98738229999997
BCA192,MText,"\pxqr;L.S. 10",L-SECTION-LSD,29.98738229999997
BCA194,MText,"\pxql;L.S. 16",L-SECTION-LSD,29.98738229999997
BCA196,MText,"\pxqr;L.S. 15",L-SECTION-LSD,29.98738229999997
BCA19A,MText,"L.S. 1",L-SECTION-LSD,29.98738229999997
BCA19B,MText,"\pxqr;L.S. 2",L-SECTION-LSD,29.98738229999997
BCA19D,MText,"L.S. 8",L-SECTION-LSD,29.98738229999997
BCA19E,MText,"\pxqr;L.S. 7",L-SECTION-LSD,29.98738229999997
BCA546,MText,"\pxql;L.S. 11",L-SECTION-LSD,29.987382299999958
BCA548,MText,"\pxqr;L.S. 12",L-SECTION-LSD,29.987382299999958
BCA54A,MText,"L.S. 14",L-SECTION-LSD,29.987382299999958
BCA54B,MText,"\pxqr;L.S. 13",L-SECTION-LSD,29.987382299999958
BCA54D,MText,"\pxql;L.S. 3",L-SECTION-LSD,29.98738229999997
BCA54F,MText,"\pxqr;L.S. 4",L-SECTION-LSD,29.98738229999997
BCA551,MText,"\pxql;L.S. 6",L-SECTION-LSD,29.98738229999997
BCA553,MText,"\pxqr;L.S. 5",L-SECTION-LSD,29.98738229999997
BCA555,MText,"\pxql;L.S. 9",L-SECTION-LSD,29.98738229999997
BCA557,MText,"\pxqr;L.S. 10",L-SECTION-LSD,29.98738229999997
BCA559,MText,"\pxql;L.S. 16",L-SECTION-LSD,29.98738229999997
BCA55B,MText,"\pxqr;L.S. 15",L-SECTION-LSD,29.98738229999997
BCA55D,MText,"L.S. 1",L-SECTION-LSD,29.98738229999997
BCA55E,MText,"\pxqr;L.S. 2",L-SECTION-LSD,29.98738229999997
BCA560,MText,"L.S. 8",L-SECTION-LSD,29.98738229999997
