Handle,ObjType,TextString,Layer,TextHeight
BC73AC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99551000000015
BC73DC,MText,"Theor. N.E.1/4 \PSec. 5-66-3-W.6M.",C-SYMBOL,19.999999999999964
BC73DF,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999964
BC7799,MText,"\pxql;L.S. 9",L-SECTION-LSD,9.999999999999984
BC779B,MText,"\pxqr;L.S. 10",L-SECTION-LSD,9.999999999999984
BC779D,MText,"\pxql;L.S. 16",L-SECTION-LSD,9.999999999999984
BC779F,MText,"\pxqr;L.S. 15",L-SECTION-LSD,9.999999999999984
BC77FC,MText,"\pxqc;Veren\P8.00 A/R\PLOC 132000",C-AR-T,10.000000000000147
BC7808,MText,"\pxqc;Veren\PRiser Site\PPIL 130658",C-WS-T,10.000000000000147
BC780A,MText,"\pxqc;Veren\PRiser Site\PPIL 140561",C-WS-T,10.000000000000147
BC780C,MText,"\pxqc;Veren\P15-5 (Surface)\PMSL 130410",C-WS-T,10.000000000000147
BC783E,MText,"\pxqc;Mancal\P14-5 (Surface)\PMSL 131775",F-WS-T,10.000000000000147
BC785C,MText,"\pxqc;Mancal\P16-5 (Surface)\PMSL 121924",F-WS-T,10.000000000000147
BC785E,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;5cm Birch & Spruce\P\C48;Cutblock}",T-BUSH-T,9.995670000000105
BD4EFA,MText,"\pxqc;Mancal\PWork Camp\PDML 240039",F-WS-T,10.000000000000147
