Handle,ObjType,TextString,Layer,TextHeight
BB7470,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994219999999768
BB7C9B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994219999999768
BB9891,MText,"Theor. N.W.1/4\PSec. 8-57-18-W.5M.",C-SYMBOL,19.988439999999535
BBA1CD,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.990751999999768
BBD0BD,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Pine Creek}",T-WATER-T,9.994219999999771
BBD0BE,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Pine Creek\PLarge Permanent Watercourse\P4.0-7.0 Wide\P1.3 Deep}",T-WATER-T,9.994219999999771
BC155E,MText,"\A1;Tourmaline\P13-8 (Surface)\PMSL 910679",F-WS-T,9.994219999999775
BC6D4C,MText,"\A1;Tourmaline\P14-8 (Surface)\PMSL 042590",F-WS-T,9.994219999999775
BC801D,MText,"\A1;Veren\P14-8 (Surface)\PMSL 111523",C-AR-T,9.994219999999775
BC801E,MText,"\A1;Tourmaline\P12-8 (Surface)\PMSL 901005",F-WS-T,9.994219999999775
C0BEA2,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.99999999999989
C0BEA8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Wooded Coniferous Swamp}",WETLAND-T,9.99999999999989
C0BED1,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.99999999999989
C0C40B,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Breakline}",T-TEXT,9.99999999999989
C363D4,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;10-25cm \PPine & Spruce}",T-BUSH-T,9.9942199999998
C363D8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;15-30cm \PPine & Spruce}",T-BUSH-T,9.9942199999998
D1EB47,DBText,"RP",35,9.994219999999967
D1F719,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;10-25cm \PPine & Spruce}",T-BUSH-T,9.9942199999998
D1F71B,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Wooded Coniferous Swamp}",WETLAND-T,9.99999999999989
D1F71D,DBText,"695.6 (Tie)",L-BD,9.994219999999967
D1F71E,DBText,"60°25'",L-BD,9.994219999999967
D1F722,DBText,"695.6 (Tie)",L-BD,9.994219999999967
D1F723,DBText,"60°25'",L-BD,9.994219999999967
D1F724,MText,"\A1;Veren\P14-8 (Surface)\PMSL 111523",C-AR-T,9.994219999999775
D1F85C,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipe}",AS-PIPE-UG-T,9.99999999999989
D1F864,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipe}",AS-PIPE-UG-T,9.99999999999989
D1F872,DBText,"70.3",L-BD1,9.994219999999967
D1F873,DBText,"244°25'",L-BD1,9.994219999999967
D1F874,DBText,"52.2",L-BD1,9.994219999999967
D1F875,DBText,"333°00'",L-BD1,9.994219999999967
D1F876,DBText,"21.3",L-BD1,9.994219999999967
D1F878,DBText,"25.4",L-BD1,9.994219999999967
D1F879,DBText,"153°00'",L-BD1,9.994219999999967
D1F87A,MText,"43°10'",L-BD1,9.994219999999967
D1F972,DBText,"0.7",L-BD1,9.994219999999967
D1F977,MText,"138°51'",L-BD1,9.994219999999967
D1F978,DBText,"26.1",L-BD1,9.994219999999967
D1F97A,MText,"112°11'",L-BD1,9.994219999999967
D1F9DD,MText,"\pxqc;DETAIL\P{\H0.7x;SCALE 1:1000}",DETAIL-T,19.988439999999933
D21FD0,MText,"\pxqc;100m FNCBuffer",P-BUFFER-T,9.99421999999997
D2250E,MText,"\pxqc;SEE\PDETAIL",DETAIL-T,15.990751999999974
D2C1D2,DBText,"6.0",L-BD1,9.994219999999988
D2C1D3,DBText,"63°00'",L-BD1,9.994219999999988
D2C1D7,DBText,"18.2",L-BD1,9.994219999999988
D2C1D8,DBText,"117°34'",L-BD1,9.994219999999988
D2C2ED,DBText,"16.5",L-BD1,9.994219999999988
D2C2EE,DBText,"64°25'",L-BD1,9.994219999999988
D2E887,MText,"\pxql;L.S. 11",L-SECTION-LSD,9.994219999999999
D2E889,MText,"\pxqr;L.S. 12",L-SECTION-LSD,9.994219999999999
D2E88B,MText,"L.S. 14",L-SECTION-LSD,9.994219999999999
D2E88C,MText,"\pxqr;L.S. 13",L-SECTION-LSD,9.994219999999999
