Handle,ObjType,Content,Layer,Extra
BC4093,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991663999999908
BC40C3,BlockReference,"L-SECLBL",L-SECLBL,0.999479
BC40C9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994789999999952
BC40D1,MText,"Theor. S.E.1/4 Sec. 19-64-21-W.5M.",C-SYMBOL,19.989579999999908
BC40F9,BlockReference,"Route_Letters",CG-NOTES,0.9984468346444553
BC40FC,BlockReference,"AA",CG-NOTES,0.9984468346444553
BC40FD,BlockReference,"Route_Letters",CG-NOTES,0.9984468346444553
BC4101,BlockReference,"AA",CG-NOTES,0.9984468346444553
BC4105,BlockReference,"AA",CG-NOTES,0.9984468346444553
BC4106,BlockReference,"Route_Letters",CG-NOTES,0.9984468346444553
BC4132,MText,"Veren 20.00 A/R LOC 190462",C-AR-T,9.994789999999954
BC4134,MText,"Veren 30.00 A/R LOC 180174",C-AR-T,9.994789999999954
BC4136,AlignedDimension,"Veren  A/R  800686",C-AR-T,Compass 5 000
BC4137,AlignedDimension,"Veren  A/R  030947",C-AR-T,Compass 5 000
BC413A,AlignedDimension,"Veren  P/L R/W  230495",C-RW-T,Compass 5 000
BC413B,AlignedDimension,"Veren  P/L R/W PLA 180409",C-RW-T,Compass 5 000
BC413C,AlignedDimension,"Veren  P/L R/W PLA 190046",C-RW-T,Compass 5 000
BC413E,AlignedDimension,"Veren  Water Line R/W  210822",C-RW-T,Compass 5 000
BC413F,AlignedDimension,"Veren  P/L R/W  072 8998  070859",C-RW-T,Compass 5 000
BC4141,AlignedDimension,"Veren  P/L R/W Plan 094 1536  071598",C-RW-T,Compass 5 000
BC4143,AlignedDimension,"Veren  P/L R/W  180514",C-RW-T,Compass 5 000
BC4145,MText,"Veren Water Reservoir LOC 181062",C-WS-T,9.994789999999954
BC4147,MText,"Veren Central Processing Facility MSL 180159",C-WS-T,9.994789999999954
BC414A,MText,"Veren Riser Site PIL 220228",C-WS-T,9.994789999999954
BC414D,MText,"Veren Storage Site MLL 220001",C-WS-T,9.994789999999954
BC414F,MText,"Veren Riser Site PIL 180351",C-WS-T,9.994789999999954
BC4152,MText,"Veren Riser Site PIL 190223",C-WS-T,9.994789999999954
BC4155,AlignedDimension,"ATCO  Power Line R/W  180151",F-EZE-T,Compass 5 000
BC4156,AlignedDimension,"CNRL  P/L R/W Plan 802 3164  840255",F-RW-T,Compass 5 000
BC4158,MText,"CanFor CLR970308",F-WS-T,9.994789999999954
BC4185,BlockReference,"GAS",C-WS-S,4.999999999999995
BE1E02,AlignedDimension,"Veren  P/L R/W  230495",C-RW-T,Compass 5 000
BE1E7C,MText,"Veren Central Processing Facility MSL 180159",C-WS-T,9.994789999999954
BE1E7E,MText,"Veren Storage Site MLL 220001",C-WS-T,9.994789999999954
BE1E80,AlignedDimension,"Veren  P/L R/W  180514",C-RW-T,Compass 5 000
BE1E81,MText,"CanFor CLR970308",F-WS-T,9.994789999999954
BE3202,DBText,"179%%d53'",L-BD,9.99479
BE3204,DBText,"134%%d53'",L-BD,9.99479
BE3206,DBText,"179%%d53'",L-BD,9.99479
BE3208,DBText,"224%%d53'",L-BD,9.99479
BE320C,DBText,"269%%d53'",L-BD,9.99479
BE320E,DBText,"359%%d53'",L-BD,9.99479
BE3210,DBText,"89%%d53'",L-BD,9.99479
BE5E8A,BlockReference,"TEMP",L-MON,4.997395
BE5E8B,BlockReference,"TEMP",L-MON,4.997395
BE5E8C,BlockReference,"TEMP",L-MON,4.997395
BE5E8D,BlockReference,"TEMP",L-MON,4.997395
BE5E8E,BlockReference,"TEMP",L-MON,4.997395
BE5E8F,BlockReference,"TEMP",L-MON,4.997395
BE6825,BlockReference,"TEMP",L-MON,4.997395
BE6F65,MText,"30m Buffer",P-BUFFER-T,9.994789999999954
BE790E,MText,"SEE DETAIL",DETAIL-T,15.991664
BE946B,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.98958
BF37C3,DBText,"519.7(Tie)",L-BD,9.99479
BF37C4,DBText,"211%%d34'",L-BD,9.99479
BF3E10,DBText,"519.7(Tie)",L-BD,9.99479
BF3E11,DBText,"211%%d34'",L-BD,9.99479
BF45C4,BlockReference,"TEMP",L-MON,4.997395
BF45C5,BlockReference,"TEMP",L-MON,4.997395
BF45C6,BlockReference,"TEMP",L-MON,4.997395
BF45C7,BlockReference,"TEMP",L-MON,4.997395
BF45C8,BlockReference,"TEMP",L-MON,4.997395
BF45C9,BlockReference,"TEMP",L-MON,4.997395
BF45CA,BlockReference,"TEMP",L-MON,4.997395
BFB555,BlockReference,"*U47",35,0.999479
C0546A,MText,"Building",AS-STRUCTURE-T,10.000000000000052
