Handle,ObjType,Content,Layer,Extra
BC4353,BlockReference,"L-SECLBL",L-SECLBL,1
BC438E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
BC438F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
BC439F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999979
BC43B1,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.004331875702169
BC43C5,BlockReference,"L-SECLBL",L-SECLBL,1
BC43CB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
BC43ED,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999979
BC4417,MText,"Ephemeral Draw",T-WATER-T,10.004331875701945
BC441A,MText,"Ephemeral Draw 0.5-1.25 Wide",T-WATER-T,10.004331875701945
BC4453,AlignedDimension,"Veren  A/R  122350",C-AR-T,Compass 5 000
BC4454,MText,"Veren Water Reservoir LOC 170772",C-AR-T,10
BC4456,AlignedDimension,"Veren  A/R  781379",C-AR-T,Compass 5 000
BC4457,AlignedDimension,"Veren  A/R  220991",C-AR-T,Compass 5 000
BC4458,AlignedDimension,"Veren  A/R  220993",C-AR-T,Compass 5 000
BC4459,AlignedDimension,"Veren  Water Line R/W  241688",C-AR-T,Compass 5 000
BC445A,AlignedDimension,"Veren  A/R - Class V  241953",C-AR-T,Compass 5 000
BC445C,AlignedDimension,"Veren  P/L R/W  220497",C-RW-T,Compass 5 000
BC445D,AlignedDimension,"Veren  P/L R/W  231083",C-RW-T,Compass 5 000
BC445E,AlignedDimension,"Veren  P/L R/W  231083",C-RW-T,Compass 5 000
BC445F,AlignedDimension,"Veren  P/L R/W  230970",C-RW-T,Compass 5 000
BC4460,MText,"Veren Storage MLL 220142",C-WS-T,10
BC4463,MText,"Veren 1-16 (Surface) MSL 122399",C-WS-T,10
BC4465,MText,"Veren Work Camp DML 220037",C-WS-T,10
BC4467,MText,"Veren 16-9 (Surface) MSL 230520",C-WS-T,10
BC446A,MText,"Veren Riser Site PIL 240347",C-WS-T,10
BC446D,AlignedDimension,"Veren  P/L R/W PLA 141747",C-RW-T,Compass 5 000
BC446E,AlignedDimension,"Veren  P/L R/W  151374",C-RW-T,Compass 5 000
BC446F,AlignedDimension,"PGI  P/L R/W  190496",F-RW-T,Compass 5 000
BC4470,AlignedDimension,"PGI  P/L R/W  220626",F-RW-T,Compass 5 000
BC4471,AlignedDimension,"Veren  P/L R/W  151374",C-RW-T,Compass 5 000
BC4472,AlignedDimension,"PGI  P/L R/W  190496",F-RW-T,Compass 5 000
BC4473,AlignedDimension,"Veren  P/L R/W  230606",C-RW-T,Compass 5 000
BC4475,MText,"5m High Grade  Gravel Road",T-TEXT,10.004218976146946
BC4476,MText,"20cm White Spruce, Trembling Aspen & Balsam Poplar",T-BUSH-T,10.000040017327219
