Handle,ObjType,Content,Layer,Extra
AF4B8B,BlockReference,"L-SECLBL",L-SECLBL,1
AF4B91,BlockReference,"L-SECLBL",L-SECLBL,1
AF4B97,BlockReference,"L-SECLBL",L-SECLBL,1
AF4BB0,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999943
AF4BB1,DBText,"(Undeveloped)",T-TEXT,9.999999999999943
AF4BB7,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999943
AF4BC4,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999943
AF4BCA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999943
AF4BCB,DBText,"Theor. S.E.1/4 Sec. 5-65-18-W.5M.",C-SYMBOL,19.999999999999886
AF4BCC,DBText,"Theor. S.W.1/4 Sec. 4-65-18-W.5M.",C-SYMBOL,19.999999999999886
AF4BCE,DBText,"Theor. N.W.1/4 Sec. 33-64-18-W.5M.",C-SYMBOL,19.999999999999886
AF4CEC,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999915
AF4CEE,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999915
AF4CF0,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999915
AF4F40,AlignedDimension,"Murphy  A/R  170747",C-AR-T,Compass 5 000
AF4F41,AlignedDimension,"Murphy  A/R  131944",C-AR-T,Compass 5 000
AF4F42,AlignedDimension,"Murphy  P/L R/W   120526",C-RW-T,Compass 5 000
AF4F43,AlignedDimension,"Murphy   P/L R/W  210576",C-RW-T,Compass 5 000
AF4F44,AlignedDimension,"Athabasca  P/L R/W  121579",F-RW-T,Compass 5 000
AF4F45,AlignedDimension,"Murphy  P/L R/W  170887",C-RW-T,Compass 5 000
AF4F47,AlignedDimension,"Murphy  P/L R/W  221036",C-RW-T,Compass 5 000
AF4F48,MText,"Murphy 1-5 (Surface) MSL 131851",C-WS-T,8.995392269999954
AF4F4A,MText,"Murphy 4-4(Surface) MSL 120109",C-WS-T,8.995392269999954
AF4F4C,MText,"Murphy Water Reservoir LOC 132017",C-WS-T,8.995392269999954
AF4F4E,AlignedDimension,"Canfor  A/R  656",F-AR-T,Compass 5 000
AF4F4F,AlignedDimension,"Alphabow  A/R  926",F-AR-T,Compass 5 000
AF4F50,AlignedDimension,"Canfor  A/R  656",F-AR-T,Compass 5 000
AF4F51,AlignedDimension,"ATCO  Width   Line R/W  140356",F-EZE-T,Compass 5 000
AF4F53,AlignedDimension,"ATCO  Power Line R/W  140356",F-EZE-T,Compass 5 000
AF4F54,MText,"Paramount  14-33 MSL 951502 (Expired)",F-WS-T,8.995392269999954
AF50B8,BlockReference,"*U34",P-75m DRAINAGE AREA,1
AF5419,AlignedDimension,"Murphy  Water Line R/W  195185",C-RW,Compass 5 000
AF544A,AlignedDimension,"Murphy  P/L R/W  195181",C-RW-T,Compass 5 000
AF5583,BlockReference,"*U37",P-75m DRAINAGE AREA,1
