Handle,ObjType,Content,Layer,Extra
BCE1D0,AlignedDimension,"Paramount  A/R  910937",F-AR-T,Compass 5 000
BCE1D1,BlockReference,"L-SECLBL",L-SECLBL,1
BCE1D7,DBText,"Theor. S.E.1/4 Sec. 16-64-17-W.5M.",C-SYMBOL,19.999999999999716
BCE1F7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999858
BCE1F8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999858
BCE1F9,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999698
BCE38F,AlignedDimension,"Paramount  P/L R/W  992 3417  940050",F-RW-T,Compass 5 000
BCE392,AlignedDimension,"Murphy  P/L R/W  195039",C-RW-T,Compass 5 000
BCE393,MText,"20cm Spruce",T-BUSH-T,9.999999999999858
BCE394,MText,"20cm Spruce",T-BUSH-T,9.999999999999858
BCE3A6,MText,"Buried Pipes(2)",AS-PIPE-UG-T,9.994902799999952
BCE3A9,MText,"Buried Pipe",AS-PIPE-UG-T,9.994902799999952
BCE415,AlignedDimension,"Paramount  A/R  920163",F-AR-T,Compass 5 000
BD26D6,BlockReference,"TEMP",L-MON,4.997375
BD26D7,BlockReference,"TEMP",L-MON,4.997375
BD26D9,BlockReference,"TEMP",L-MON,4.997375
BD26DA,BlockReference,"TEMP",L-MON,4.997375
BD26DB,BlockReference,"TEMP",L-MON,4.997375
BD26DC,BlockReference,"TEMP",L-MON,4.997375
BD2880,MText,"Pond Topsoil",T-WATER-T,9.99475
BD2899,DBText,"85%%d28'",L-BD1,9.99475
BD289B,DBText,"37%%d57'",L-BD1,9.994749999999998
BD2A3F,DBText,"85%%d28'",L-BD1,9.99475
BD2A41,DBText,"175%%d28'",L-BD1,9.99475
BD32FB,DBText,"265%%d28'",L-BD1,9.99475
BD32FD,DBText,"355%%d28'",L-BD1,9.99475
BD334B,DBText,"RP",35,9.99475
BD426E,MText,"L.S. 1",L-SECTION-LSD,9.99475
BD426F,MText,"L.S. 2",L-SECTION-LSD,9.99475
BD4271,MText,"L.S. 8",L-SECTION-LSD,9.99475
BD4272,MText,"L.S. 7",L-SECTION-LSD,9.99475
BD438C,DBText,"221.1 (Tie)",L-BD,9.99475
BD438D,DBText,"286%%d22'",L-BD,9.99475
BD86A1,MText,"100m FNC Buffer",P-BUFFER-T,9.99475
BDA3FE,AlignedDimension,"20.0 A/R",P-TXT,Compass 5 000
BDB7E8,MText,"20.0x20.0 Corner Cut",P-TXT,9.99475
BDB7EA,MText,"20.0x20.0 Corner Cut",P-TXT,9.99475
BE0260,MText,"SEE LD1 DETAIL",DETAIL-T,15.9916
BE0262,MText,"LD1 DETAIL NOT TO SCALE",DETAIL-T,19.9895
BE03D4,BlockReference,"*U24",P-TEMP-BLOCKS,0.999475
BE0400,BlockReference,"*U25",P-TEMP-BLOCKS,0.999475
BE591F,BlockReference,"Disclaimer_Legal",AS-SYMBOL,0.2
