Handle,ObjType,Content,Layer,Extra
AF2596,BlockReference,"L-SECLBL",L-SECLBL,1
AF259C,MText,"Theor. N.W.1/4  Sec. 29-64-20-W.5M.",C-SYMBOL,19.99999999999978
AF259F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999837
AF25C4,MText,"2 Buried  Pipes",AS-PIPE-UG-T,9.99476139999999
AF25CB,AlignedDimension,"Murphy  A/R   200752",C-AR-T,Compass 5 000
AF25CC,AlignedDimension,"Murphy  A/R  170787",C-AR-T,Compass 5 000
AF25CD,AlignedDimension,"Murphy  A/R  131661",C-AR-T,Compass 5 000
AF25CE,AlignedDimension,"Murphy  P/L R/W   200440",C-RW-T,Compass 5 000
AF25D1,AlignedDimension,"Murphy  P/L R/W   220922",C-RW-T,Compass 5 000
AF25D2,MText,"Murphy 4-32 (Surface) MSL 131563",C-WS-T,9.999999999999893
AF25D4,MText,"Murphy Borrow Pit RSC 170027 (To be cancelled)",C-WS-T,9.994761399999947
AF25D6,MText,"30cm Spruce,  Black Spruce, & Poplar",T-BUSH-T,9.98952274575994
AF25DE,MText,"30cm Spruce,  Black Spruce, & Poplar",T-BUSH-T,9.98952274575994
AF25E0,BlockReference,"RISER",AS-SYMBOL,4.999999999999945
AF25E1,BlockReference,"RISER",AS-SYMBOL,4.999999999999945
AF25E2,BlockReference,"GAS",C-WS-S,4.9999999999999485
AF25E3,BlockReference,"GAS",C-WS-S,4.9999999999999485
AF25E4,BlockReference,"GAS",C-WS-S,4.9999999999999485
AF25E5,BlockReference,"*U41",AS-WILDLIFE-BLOCK,1
AF25F4,BlockReference,"GAS",C-WS-S,4.9999999999999485
AF25F5,BlockReference,"*U42",AS-SURFACE IMPACT,0.99947614
AF2605,AlignedDimension,"Murphy  P/L R/W  200445",C-AR-T,Compass 5 000
AF2610,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999906
AF3224,BlockReference,"fdspike",L-MON,4.999999999999968
AF3233,BlockReference,"FDI",L-MON,4.999999999999968
