Handle,ObjType,Content,Layer,Extra
AF1E58,BlockReference,"L-SECLBL",L-SECLBL,0.99948665
AF1E6C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.9917864
AF1E6E,MText,"L.S. 11",L-SECTION-LSD,9.9948665
AF1E70,MText,"L.S. 12",L-SECTION-LSD,9.9948665
AF1E72,MText,"L.S. 14",L-SECTION-LSD,9.9948665
AF1E73,MText,"L.S. 13",L-SECTION-LSD,9.9948665
AF1E80,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994866499999999
AF1E86,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948665
AF2F59,AlignedDimension,"Murphy  P/L R/W  220674",C-RW-T,Compass 5 000
AF2F5A,AlignedDimension,"Paramount  A/R  910437",F-AR-T,Compass 5 000
AF2FC2,MText,"Murphy 11-12 (Surface) MSL 170659",C-WS-T,9.9948665
AF3151,AlignedDimension,"Canlin  P/L R/W  942 0047  931582",F-RW-T,Compass 5 000
AF5609,BlockReference,"FDI",L-MON,4.99743325
AF560E,BlockReference,"FDI",L-MON,4.99743325
AF5613,BlockReference,"FDI",L-MON,4.99743325
AF5F82,DBText,"325°02'00''",L-BD1,9.9948665
AF70D9,MText,"145°41'50''",L-BD,9.9948665
AF70DA,MText,"100.00 235°41'50''",L-BD1,9.9948665
AF70E0,DBText,"325°41'50''",L-BD1,9.9948665
AF7312,DBText,"RP",35,9.9948665
AF7314,MText,"Top of Slope",T-TEXT,9.9948665
AF7316,MText,"Theor. N.W.1/4 Sec. 12 65-18-W.5M.",C-SYMBOL,19.989733
AF8503,MText,"Atikkamek  Creek",T-WATER-T,9.989727139645565
AFB679,BlockReference,"GAS",C-WS-S,4.99743325
AFB83F,MText,"8cm Pine & Alder (Regrowth)",T-BUSH-T,10.000014907679764
B002DC,BlockReference,"*U35",L-BD1,0.99948665
B00F34,BlockReference,"*U36",AS-WILDLIFE-BLOCK,0.99948665
B0DEF7,MText,"Murphy Borrow Pit RSC 170074 (Expired) (To Be Cancelled)",C-WS-T,9.9948665
B18EE4,MText,"55°02'00'' 100.00",L-BD1,9.9948665
B1C7D9,MText,"81.20 145°02'00''",L-BD,10
B1C802,MText,"SEE DETAIL",DETAIL-T,15.9917864
B1CD28,BlockReference,"FDI",L-MON,4.99743325
B1CD94,MText,"Murphy Borrow Pit RSC 170074 (Expired) (To Be Cancelled)",C-WS-T,9.9948665
B1CDE5,AlignedDimension,"Canlin  P/L R/W  942 0047  931582",F-RW-T,Compass 5 000
B1CE51,MText,"3m Medium Grade Dirt Road",T-TEXT,9.9948665
B1D63C,MText,"100.00 235°",L-BD1,9.9948665
B1D63E,DBText,"02'",L-BD1,9.9948665
B1DFD9,MText,"55° 100.00",L-BD1,9.9948665
