Handle,ObjType,Content,Layer,Extra
B15278,BlockReference,"L-SECLBL",L-SECLBL,1
B15294,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994870000000002
B15298,DBText,"270%%d18'06"",BEARING1,0.15000000000000008
B15299,DBText,"484.83m",DISTANCE1,0.15000000000000008
B152B2,MText,"Theor. N.E.1/4 Sec. 28 64-20-W.5M.",C-SYMBOL,20.000000000000004
B1535F,MText,"Buried Pipes (3)",AS-PIPE-UG-T,9.994870000000002
B15EBE,MText,"5m High Grade Gravel Road",AS-GENERAL,10.000000000000002
B15EEE,AlignedDimension,"Murphy  A/R  180650",C-AR-T,Compass 5 000
B15EFA,MText,"Murphy Surface Materials RSC 180028 (Expired) (To be Cancelled)",C-WS-T,10.000000000000002
B15F1E,MText,"30cm Pine, Spruce & Poplar",T-BUSH-T,9.994870000000002
B15F22,MText,"30cm Pine, Spruce & Poplar",T-BUSH-T,9.994870000000002
B1610A,BlockReference,"FDI",L-MON,5.000000000000007
B1610F,BlockReference,"FDI",L-MON,5.000000000000007
B16114,BlockReference,"PLI",L-MON,5.000000000000007
B16119,BlockReference,"PLI",L-MON,5.000000000000007
B1611E,BlockReference,"PLI",L-MON,5.000000000000007
B16123,BlockReference,"PLI",L-MON,5.000000000000007
B16A31,BlockReference,"*U32",C-RW-T,0.99948742
B16A41,DBText,"234°34'45''",L-BD,9.994874200000007
B16A46,MText,"Mp.",L-MON,9.994870000000002
B16A48,MText,"Mp.",L-MON,9.994870000000002
B16A4A,MText,"Mp.",L-MON,9.994870000000002
B16B39,MText,"Mp.",L-MON,9.994870000000002
B16B3E,MText,"Fd.I.  Mp.",L-MON,9.994840000000043
B16B40,MText,"Fd.I. Mp.",L-MON,9.994840000000043
B16B44,DBText,"81.17 (Tie)",L-BD,9.994874200000007
B16B45,DBText,"25°03'25''",L-BD,9.994874200000007
B16B4A,DBText,"324°34'45''",L-BD,9.994874200000007
B16B4C,DBText,"54°34'45''",L-BD,9.994874200000007
B16B4E,DBText,"144°34'45''",L-BD,9.994874200000007
B16B4F,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000043
B16C59,DBText,"255.27 (Tie)",L-BD,9.994874200000007
B16C5A,DBText,"63°35'40''",L-BD,9.994874200000007
B16DD9,AlignedDimension,"Murphy  P/L R/W  180883",C-RW-T,Compass 5 000
B16F03,MText,"Top of Slope",T-GENERAL,9.989584412829663
B1703C,BlockReference,"*U34",L-BD,0.99948742
B1718A,BlockReference,"*U35",DETAIL-T,0.999484000000004
B171EC,BlockReference,"*U35",DETAIL-T,0.999484000000004
B17E02,BlockReference,"*U36",AS-WILDLIFE-BLOCK,0.99948742
B1B7F9,MText,"L.S. 9",L-SECTION-LSD,9.9948742
B1B7FB,MText,"L.S. 10",L-SECTION-LSD,9.9948742
B1B7FD,MText,"L.S. 16",L-SECTION-LSD,9.9948742
B1B7FF,MText,"L.S. 15",L-SECTION-LSD,9.9948742
B1E5D9,DBText,"234°34'45''",L-BD,9.9948742
B212F4,BlockReference,"Disclaimer_Legal",L-BD,0.299846226
