Handle,ObjType,Content,Layer,Extra
AF9069,BlockReference,"L-SECLBL",L-SECLBL,1
AF9087,MText,"Twp. 64",D-TXT,13.992776000000093
AF9088,MText,"Twp. 65",D-TXT,13.992776000000093
AF908C,MText,"Key Wildlife and Biodiversity Boundary",AS-WILDLIFE,9.99484000000004
AF908D,MText,"Boundary of Key Wildlife  and Biodiversity Zone",AS-WILDLIFE,9.989712647079951
AF909E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000075
AF90A9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000075
AF92BE,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00000000000004
AF92CF,DBText,"Theor. S.E.1/4",C-SYMBOL,20.00000000000015
AF92D0,DBText,"Sec. 3-65-20-W.5M.",C-SYMBOL,20.00000000000015
AF9464,MText,"SEE DETAIL",DETAIL-T,15.99174400000006
AF978F,AlignedDimension,"Murphy  A/R  180650",C-AR-T,Compass 5 000
AF9793,MText,"Murphy 2-3 (Surface) MSL 180583",C-WS-T,10.000000000000073
AF9795,MText,"Murphy Borrow Pit RSC 180054 (Expired) (To be Cancelled)",C-WS-T,10.000000000000073
AF97B1,AlignedDimension,"Veren  A/R  220688",F-AR-T,Compass 5 000
AF9826,MText,"30cm Pine, Spruce & Poplar",T-BUSH-T,9.994840000000039
AF98C0,MText,"Fd.I. c.s. (Top Broken) N.E. 34",L-MON,9.994840000000039
AF9903,AlignedDimension,"Paramount  P/L R/W  022765",F-RW,Compass 5 000
AF9913,BlockReference,"L-SECLBL",L-SECLBL,0.9994840000000037
AF9919,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00000000000004
AF991B,MText,"Murphy 10-34 (Surface) MSL 210251",C-WS-T,10.000000000000073
AF991D,MText,"Theor. N.E.1/4 Sec. 34-64-20-W.5M.",C-SYMBOL,19.989680000000078
AFAD73,BlockReference,"PLI",L-MON,5.000000000000018
AFAD7C,BlockReference,"PLI",L-MON,5.000000000000018
AFAD81,BlockReference,"PLI",L-MON,5.000000000000018
AFAD86,BlockReference,"PLI",L-MON,5.000000000000018
AFAD9A,BlockReference,"FDI",L-MON,5.000000000000018
AFADA9,BlockReference,"FDI",L-MON,5.000000000000018
AFADAE,BlockReference,"PLI",L-MON,5.000000000000018
AFADB3,BlockReference,"PLI",L-MON,5.000000000000018
AFB07D,BlockReference,"FDI",L-MON,5.000000000000036
AFB4FD,AlignedDimension,"Murphy  P/L R/W  180883",C-RW-T,Compass 5 000
AFB528,MText,"17th Baseline",L-ROAD-T,9.99484000000004
AFB532,BlockReference,"*U37",C-RW-T,0.99948742
AFB573,MText,"Fd.I. Mp. N.1/4 34",L-MON,9.994840000000039
AFB5B1,BlockReference,"*U38",DETAIL-T,0.99948742
AFB778,MText,"800m Trumpeter  Swan Boundary",AS-WILDLIFE,9.994874200000025
AFB77A,MText,"500m Trumpeter  Swan Boundary",AS-WILDLIFE,9.994874200000025
AFB89C,BlockReference,"*U40",C-RW-T,0.99948742
AFB91F,BlockReference,"*U46",AS-WILDLIFE-BLOCK,0.99948742
AFBA2F,BlockReference,"*U42",C-RW-T,0.99948742
AFBD44,AlignedDimension,"Murphy  P/L R/W  180883",C-RW-T,Compass 5 000
AFBD68,MText,"Murphy Borrow Pit RSC 180054 (Expired) (To be Cancelled)",C-WS-T,10.000000000000073
AFE4DC,BlockReference,"PLI",L-MON,4.997437100000011
AFE4DD,BlockReference,"PLI",L-MON,4.997437100000011
AFE4DE,BlockReference,"PLI",L-MON,4.997437100000011
AFE4DF,BlockReference,"PLI",L-MON,4.997437100000011
AFE4E0,BlockReference,"FDI",L-MON,4.997437100000011
AFE53A,AlignedDimension,"Murphy  P/L R/W  180883",C-RW-T,Compass 5 000
AFE56E,AlignedDimension,"Murphy  P/L R/W  230663",C-RW-T,Compass 5 000
AFE8EC,DBText,"05''",L-BD,9.994874200000021
AFE8EE,DBText,"57'",L-BD,9.994874200000021
AFE8F5,DBText,"89°",L-BD,9.994874200000021
AFE9E3,DBText,"05''",L-BD,9.994874200000021
AFE9E7,DBText,"327°",L-BD,9.994874200000021
AFEAD7,DBText,"15''",L-BD,9.994874200000021
AFEBC8,DBText,"57°06'15''",L-BD,9.994874200000021
