Handle,ObjType,Content,Layer,Extra
AF3255,BlockReference,"L-SECLBL",L-SECLBL,0.99948056
AF325C,BlockReference,"L-SECLBL",L-SECLBL,0.99948056
AF3274,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994805600000028
AF3275,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994805600000028
AF3276,MText,"L.S. 11",L-SECTION-LSD,9.994805600000028
AF3278,MText,"L.S. 12",L-SECTION-LSD,9.994805600000028
AF327A,MText,"L.S. 14",L-SECTION-LSD,9.994805600000028
AF327B,MText,"L.S. 13",L-SECTION-LSD,9.994805600000028
AF327D,MText,"L.S. 9",L-SECTION-LSD,9.994805600000028
AF327F,MText,"L.S. 10",L-SECTION-LSD,9.994805600000028
AF3281,MText,"L.S. 16",L-SECTION-LSD,9.994805600000028
AF3283,MText,"L.S. 15",L-SECTION-LSD,9.994805600000028
AF3BB5,BlockReference,"*U36",L-SECLBL,0.99948056
AF3D91,AlignedDimension,"Sprocket  A/R  981623",F-AR-T,Compass 5 000
AF3DC2,MText,"Murphy Borrow Pit RSC 180013 (Expired) (To Be Cancelled)",C-WS-T,9.994805600000024
AF4FBD,BlockReference,"*U36",L-SECLBL,0.99948056
AF4FD8,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99168896000005
AF4FDA,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99168896000005
AF4FDC,AlignedDimension,"Sprocket  A/R  981623",F-AR-T,Compass 5 000
AF4FFB,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994805600000028
AF5034,BlockReference,"PLI",L-MON,5.000000000000012
AF5039,BlockReference,"PLI",L-MON,5.000000000000012
AF503E,BlockReference,"PLI",L-MON,5.000000000000012
AF5043,BlockReference,"PLI",L-MON,5.000000000000012
AF5048,BlockReference,"PLI",L-MON,5.000000000000012
AF504D,BlockReference,"PLI",L-MON,5.000000000000012
AF5ADC,BlockReference,"FDI",L-MON,5.000000000000012
AF5ADD,BlockReference,"FDI",L-MON,5.000000000000012
AF6D38,DBText,"RP",35,9.99480560000001
AF6D40,MText,"151°59'15''",L-BD1,9.99480560000001
AF6D41,MText,"151°40'00'' 99.72",L-BD1,9.99480560000001
AF76B7,MText,"Fd.I. Bar",L-MON,9.99480560000001
AF76B9,MText,"Fd.I. Bar",L-MON,9.99480560000001
AF8B4D,MText,"100.00 241°40'00''",L-BD1,9.99480560000001
AF91DF,DBText,"331°40'00''",L-BD1,9.99480560000001
AF91E1,DBText,"331°59'15''",L-BD1,9.99480560000001
AF9B64,DBText,"508.04 (Tie)",L-BD,9.99480560000001
AF9B65,DBText,"166°32'55''",L-BD,9.99480560000001
AFA54C,MText,"61°59'15'' 100.00",L-BD1,9.99480560000001
AFA551,MText,"Mp.",L-MON,9.99480560000001
AFA553,MText,"Mp.",L-MON,9.99480560000001
AFA555,MText,"Mp.",L-MON,9.99480560000001
AFA557,MText,"Mp.",L-MON,9.99480560000001
AFA559,MText,"Mp.",L-MON,9.99480560000001
AFA55B,MText,"Mp.",L-MON,9.99480560000001
AFBB3C,MText,"Fd.I. Bar",L-MON,9.99480560000001
AFBBA2,BlockReference,"FDIBAR",L-MON,4.997402800000005
AFBBA3,BlockReference,"FDIBAR",L-MON,4.997402800000005
AFBBA4,BlockReference,"FDIBAR",L-MON,4.997402800000005
AFBC9F,DBText,"331°40'00''",L-BD,9.99480560000001
AFBCA1,DBText,"331°59'15''",L-BD,9.99480560000001
AFCE02,MText,"Theor. N.E.1/4 Sec. 20 65-19-W.5M.",C-SYMBOL,19.989611200000056
AFCE07,MText,"Theor. N.W.1/4 Sec. 21 65-19-W.5M.",C-SYMBOL,19.989611200000056
AFD464,MText,"Top of Slope",T-TEXT,9.99480560000001
AFD541,MText,"40cm  Poplar  & Spruce",T-BUSH-T,9.99480560000001
AFFB5B,BlockReference,"*U40",AS-WILDLIFE-BLOCK,0.99948056
AFFB6A,BlockReference,"*U40",AS-WILDLIFE-BLOCK,0.99948056
B191DD,BlockReference,"*U41",DETAIL-T,0.99948056
B1D83C,DBText,"1999.84 (Tie)",L-BD,9.9948056
B1D83D,DBText,"316°41'05''",L-BD,9.9948056
B1D841,BlockReference,"linebrk",L-TIE,4997.402800000001
B1D92C,DBText,"30.48 (Tie)",L-BD,9.9948056
B1D92D,DBText,"241°49'40''",L-BD,9.9948056
B1D931,MText,"173°03'05'' 54.73 (Tie)",L-BD,9.9948056
B1F825,MText,"85°56'05'' 595.41",L-BD,9.9948056
B1FF1B,MText,"Fd.I. Sta. 7-29-5 WS Plan 2905",L-MON-T,9.989613898179138
B1FF1C,MText,"Fd.I. Sta. 7-29-4 WS Plan 2905",L-MON-T,9.989613898179138
B237DF,BlockReference,"Disclaimer_Legal",0,0.5
