Handle,ObjType,Content,Layer,Extra
AF4AD6,BlockReference,"L-SECLBL",L-SECLBL,0.99948562
AF4AF6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994856200000038
AF4AF7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994856200000038
AF4AF8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994856200000038
AF4EE6,AlignedDimension,"Canfor  A/R  656",F-AR-T,Compass 5 000
AF4F24,AlignedDimension,"Canfor  A/R  656",F-AR-T,Compass 5 000
AF4F74,DBText,"Theor. N.E.1/4 Sec. 30-64-18-W.5M.",C-SYMBOL,19.989712400000073
AF4F9F,AlignedDimension,"ATCO  Power Line R/W  010268",F-EZE-T,Compass 5 000
AF51BA,AlignedDimension,"ATCO  Power Line R/W  010268",F-EZE-T,Compass 5 000
AF51F4,AlignedDimension,"ATCO  Width  Line R/W  140356",F-EZE-T,Compass 5 000
AF5237,AlignedDimension,"ATCO  Width  Line R/W  140356",F-EZE-T,Compass 5 000
AF5256,AlignedDimension,"ATCO  Power Line R/W  140359",F-EZE-T,Compass 5 000
AF5914,AlignedDimension,"Paramount  A/R  940413",F-AR-T,Compass 5 000
AF5B53,MText,"Paramount 10-30 (Surface) MSL 011917",F-WS-T,9.994856200000035
AF5B79,AlignedDimension,"Paramount  A/R  011917",F-AR-T,Compass 5 000
AF5BB2,MText,"Paramount 2-30 (Surface) MSL 011925",F-WS-T,9.994856200000035
AF5BB3,AlignedDimension,"Paramount  A/R  011925",F-AR-T,Compass 5 000
AF5DA0,MText,"Paramount 2-30 (Surface) MSL 122469",F-WS-T,9.994856200000035
AF5DA2,MText,"Murphy 12-29 (Surface) MSL 150834",C-WS-T,9.994856200000035
AF5F3A,MText,"Paramount 8-30 (Surface) MSL 951510 (Expired)",F-WS-T,9.994856200000035
AF5F3B,AlignedDimension,"Paramount  A/R  951510",F-AR-T,Compass 5 000
AF6198,MText,"L.S. 1",L-SECTION-LSD,9.994856200000035
AF6199,MText,"L.S. 2",L-SECTION-LSD,9.994856200000035
AF619B,MText,"L.S. 8",L-SECTION-LSD,9.994856200000035
AF619C,MText,"L.S. 7",L-SECTION-LSD,9.994856200000035
AF619E,MText,"L.S. 9",L-SECTION-LSD,9.994856200000035
AF61A0,MText,"L.S. 10",L-SECTION-LSD,9.994856200000035
AF61A2,MText,"L.S. 16",L-SECTION-LSD,9.994856200000035
AF61A4,MText,"L.S. 15",L-SECTION-LSD,9.994856200000035
AF6383,AlignedDimension,"Paramount  P/L R/W  042 0978  012447",F-RW-T,Compass 5 000
AF63BD,AlignedDimension,"Paramount  P/L R/W  042 0978  012447",F-RW-T,Compass 5 000
AF63DC,AlignedDimension,"Paramount  P/L R/W  140618",F-RW-T,Compass 5 000
AF6400,AlignedDimension,"Paramount  P/L R/W  141970",F-RW-T,Compass 5 000
AF65C5,AlignedDimension,"Murphy  P/L R/W  221036",C-RW-T,Compass 5 000
AF65F6,AlignedDimension,"Paramount  P/L R/W  022 4209  011701",F-RW-T,Compass 5 000
AF6843,BlockReference,"*U56",F-RW-T,0.99948562
AF6846,BlockReference,"*U57",F-RW-T,0.99948562
AF6A20,MText,"Theor. S.E.1/4 Sec. 30-64-18-W.5M.",C-SYMBOL,19.98971240000007
AF6BBA,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991769920000074
AF6BBC,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991769920000074
AF6C1C,BlockReference,"*U58",AS-WILDLIFE-BLOCK,0.99948562
