Handle,ObjType,Content,Layer,Extra
AF2E99,BlockReference,"L-SECLBL",L-SECLBL,0.9994779999999973
AF2E9F,BlockReference,"L-SECLBL",L-SECLBL,0.9994779999999973
AF2EA5,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991647999999957
AF2EA7,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991647999999957
AF2ECB,MText,"Theor. S.W.1/4  Sec. 8-64-20-W.5M.",C-SYMBOL,19.98955999999996
AF2ECE,MText,"800m Trumpeter Swan Boundary",AS-WILDLIFE,9.99476
AF2ED0,MText,"500m Trumpeter  Swan Boundary",AS-WILDLIFE,9.99476
AF2ED3,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.99476
AF2ED5,AlignedDimension,"Murphy  A/R  120573",C-RW-T,Compass 5 000
AF2ED6,AlignedDimension,"Murphy  P/L R/W PLA 230116",C-RW-T,Compass 5 000
AF2ED7,AlignedDimension,"Murphy  P/L R/W PLA 120747",C-RW-T,Compass 5 000
AF2EDA,MText,"Murphy 5-8 (Surface) MSL 851777",C-WS-T,9.99478209999998
AF2EDE,MText,"Paramount Riser Site PIL 040376",F-WS-T,9.99478209999998
AF2EE2,MText,"Hwy. 43",L-TITLEDB-T,9.999999999999979
AF2EE4,BlockReference,"GAS",C-WS-S,4.9973800000000015
AF2EE5,BlockReference,"*U36",AS-WILDLIFE-BLOCK,0.99947592
AF2EF4,BlockReference,"*U37",AS-WILDLIFE-BLOCK,0.99947592
AF2F03,BlockReference,"*U60",AS-WILDLIFE-BLOCK,0.99947592
AF2F12,AlignedDimension,"ATCO  Vegetation Control R/W  880550",F-VCE-T,Compass 5 000
AF2F14,BlockReference,"*U35",AS-SURFACE IMPACT,0.99947592
AF2F23,BlockReference,"*U34",AS-SURFACE IMPACT,0.99947592
AF2F32,AlignedDimension,"121.92 Road  4634 JY",L-TITLEDB-T,Compass 5 000
AF2F33,AlignedDimension,"121.92 Road  4634 JY",L-TITLEDB-T,Compass 5 000
AF2F34,AlignedDimension,"Pembina  P/L R/W PLA 190239",F-RW-T,Compass 5 000
AF2F35,AlignedDimension,"Paramount  P/L R/W  Plan 042 0970  020853",F-RW-T,Compass 5 000
AF2F36,AlignedDimension,"Paramount  P/L R/W  042823",F-RW-T,Compass 5 000
AF2F37,AlignedDimension,"Paramount  P/L R/W  170179",F-RW-T,Compass 5 000
AF2F38,AlignedDimension,"Veren  P/L R/W  180516",F-RW-T,Compass 5 000
AF2F39,AlignedDimension,"Pembina  P/L R/W PLA 190239",F-RW-T,Compass 5 000
AF2F3A,AlignedDimension,"Paramount  P/L R/W  Plan 042 0970  020853",F-RW-T,Compass 5 000
AF2F3B,AlignedDimension,"Paramount  P/L R/W  022688",F-RW-T,Compass 5 000
AF2F3C,AlignedDimension,"Veren  P/L R/W PLA 160391",F-RW-T,Compass 5 000
AF2F3E,AlignedDimension,"Paramount  P/L R/W PLA 170180",F-RW-T,Compass 5 000
AF2F3F,AlignedDimension,"Veren  P/L R/W PLA 180516",F-RW-T,Compass 5 000
AF2F40,AlignedDimension,"Pembina  P/L R/W  1379 KS  2188",F-RW-T,Compass 5 000
AF2F41,BlockReference,"*U38",AS-OWNER,0.999478209999999
AF2F5B,MText,"Theor. S.E.1/4 Sec. 7-64-20-W.5M.",C-SYMBOL,19.98955999999996
AF2F5D,MText,"Buried Telus Cable",AS-TELUS,9.99476
AF3A19,BlockReference,"FDI",L-MON,5.000000000000009
AF3A1E,BlockReference,"FDI",L-MON,5.000000000000009
AF3A32,BlockReference,"FDI",L-MON,5.000000000000009
AF3A37,BlockReference,"FDI",L-MON,5.000000000000009
AF3A3C,BlockReference,"FDI",L-MON,5.000000000000009
AF3A41,BlockReference,"PLI",L-MON,5.000000000000009
AF3A46,BlockReference,"PLI",L-MON,5.000000000000009
AF3A4B,BlockReference,"PLI",L-MON,5.000000000000009
AF3A50,BlockReference,"PLI",L-MON,5.000000000000009
AF3A55,BlockReference,"PLI",L-MON,5.000000000000009
AF3A5A,BlockReference,"PLI",L-MON,5.000000000000009
AF3A5F,BlockReference,"PLI",L-MON,5.000000000000009
AF3A64,BlockReference,"PLI",L-MON,5.000000000000009
AF3A69,BlockReference,"PLI",L-MON,5.000000000000009
AF8A97,AlignedDimension,"Paramount  P/L R/W  170179",F-RW-T,Compass 5 000
AF8ADA,MText,"Top of Slope",T-TEXT,9.99476
AF8AE0,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.99477999999998
AF8AE6,DBText,"64°16'25''",L-BD,9.994759200000013
AF8AEA,DBText,"158°38'05''",L-BD,9.994759200000013
AF92C1,DBText,"248°09'25''",L-BD,9.994759200000013
AF92C3,DBText,"334°42'05''",L-BD,9.994759200000013
AF92C5,DBText,"344°19'15''",L-BD,9.994759200000013
AFA378,MText,"157°35'20''",L-BD,9.994759200000013
AFD176,BlockReference,"PLI",L-MON,4.997379600000007
AFD18A,AlignedDimension,"121.92 Road  4634 JY",L-TITLEDB-T,Compass 5 000
AFD196,BlockReference,"PLI",L-MON,4.997379600000007
AFD198,BlockReference,"PLI",L-MON,4.997379600000007
AFD19A,BlockReference,"PLI",L-MON,4.997379600000007
AFD19E,BlockReference,"PLI",L-MON,4.997379600000007
AFD23C,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994759200000013
AFDBC5,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.99476
AFE3FF,MText,"Top of Slope",T-TEXT,9.99476
AFE402,DBText,"158°38'05''",L-BD,9.994759200000013
AFE405,DBText,"25''",L-BD,9.994759200000013
AFE407,DBText,"64°",L-BD,9.994759200000013
AFE40C,DBText,"31°31'45''",L-BD,9.994759200000013
AFE40E,DBText,"76°54'40''",L-BD,9.994759200000013
AFED37,DBText,"346°16'25''",L-BD,9.994759200000013
AFED38,DBText,"20''",L-BD,9.994759200000013
AFED3B,AlignedDimension,"ATCO  Vegetation Control R/W  880550",F-VCE-T,Compass 5 000
AFED64,MText,"Buried Telus Cable",AS-TELUS,9.99476
AFED70,MText,"Hwy. 43",L-TITLEDB-T,9.999999999999979
B0280D,MText,"SEE DETAIL",DETAIL-T,15.99161472000002
B02930,MText,"E.-W. 1/4 Line",L-SECQ,9.99476
B02932,MText,"E.-W. 1/4 Line",L-SECQ,9.99476
B03B1A,MText,"157°",L-BD,9.994759200000013
B03B1B,MText,"37'",L-BD,9.994759200000013
B03B1D,MText,"55''",L-BD,9.994759200000013
B04377,MText,"247°29'30''",L-BD,9.99475920000001
B04577,MText,"DETAIL",DETAIL-T,19.98951840000002
B04579,BlockReference,"*U32",L-2,0.99947592
B04E39,BlockReference,"RP",L-BD,0.99947592
B057CA,MText,"325°30'00'' 115.02 (Tie)",L-BD,9.99475920000001
B0626A,MText,"Mp.",L-MON-T,9.99476
B06AE6,MText,"Mp.",L-MON-T,9.99476
B06AE8,MText,"Mp.",L-MON-T,9.99476
B06AEA,MText,"Fd.I. Mp.",L-MON-T,9.99476
B06AEC,MText,"Fd.I. Mp.",L-MON-T,9.99476
B06AEE,MText,"Fd.I.",L-MON-T,9.99476
B06AF0,MText,"Fd.I.",L-MON-T,9.99476
B06AF2,MText,"Mp.",L-MON-T,9.99476
B06AF4,MText,"Mp.",L-MON-T,9.99476
B06AF6,MText,"Mp.",L-MON-T,9.99476
B06AF8,MText,"Mp.",L-MON-T,9.99476
B06AFA,MText,"Mp.",L-MON-T,9.99476
B06AFC,MText,"Mp.",L-MON-T,9.99476
B091CD,MText,"Mp.",L-MON-T,9.99476
B143B7,MText,"Fd.I.",L-MON-T,9.99476
B143BC,BlockReference,"PLI",L-MON,5.000000000000009
B143BD,BlockReference,"PLI",L-MON,5.000000000000009
B143BE,BlockReference,"PLI",L-MON,5.000000000000009
B143C1,DBText,"157°35'20''",L-BD,9.994759199999999
B143C3,DBText,"157°",L-BD,9.994759199999999
B14BA8,BlockReference,"PLI",L-MON,4.997379600000007
B14BA9,BlockReference,"PLI",L-MON,4.997379600000007
B14BAA,BlockReference,"PLI",L-MON,4.997379600000007
B15536,DBText,"16'",L-BD,9.994759200000013
B15538,DBText,"346°16'25''",L-BD,9.994759199999999
B1553A,DBText,"76°54'40''",L-BD,9.994759199999999
B1553F,DBText,"35'",L-BD,9.994759200000013
B15D51,AlignedDimension,"Paramount  P/L R/W  170179",F-RW-T,Compass 5 000
B1BA5F,MText,"Mp.",L-MON-T,9.99476
B1BA61,MText,"Mp.",L-MON-T,9.99476
B1BA63,MText,"Mp.",L-MON-T,9.99476
B25B25,BlockReference,"Disclaimer_Legal",0,0.399790368
