Handle,ObjType,Content,Layer,Extra
BB3C9A,BlockReference,"L-SECLBL",L-SECLBL,1
BB3CA4,MText,"Buried Telus Cable",AS-TELEPHONE,9.999999999999986
BB3CAD,DBText,"Hwy. 53",L-ROAD-T,10.002268372612198
BB3CAE,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999984
BB3CB9,MText,"Fortis 3-Wire O/H Power Line",AS-POWER,9.999999999999986
BB4010,AlignedDimension,"30.48 Road  1952 NY",L-TITLEDB-T,Compass 5 000
BB4012,MText,"Road Plan 1708TR",L-TITLEDB-T,10.00226837261219
BB4041,AlignedDimension,"20.00 Road  212 0354",L-TITLEDB-T,Compass 5 000
BB4135,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999993
BB413A,MText,"Residence",AS-RESIDENCE,9.99999999999998
CC18FC,MText,"Lot 2 Block 1 Plan 122 4530",L-TITLEDB-T,9.999999999999986
CC1909,MText,"C. of T.",L-TITLEDB-T,9.999999999999986
CD20A7,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD20B6,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29B7,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29BD,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29C3,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29C9,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29CF,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29D5,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29DB,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29E1,BlockReference,"L-SECLBL",L-SECLBL,0.999876
CD29F6,MText,"Rge. 2",D-TXT,13.998263999999999
CD29F7,MText,"Rge. 3",D-TXT,13.998263999999999
CD29F9,MText,"Rge. 2",D-TXT,13.998263999999999
CD29FA,MText,"Rge. 3",D-TXT,13.998263999999999
CD29FB,MText,"Rge. 2",D-TXT,13.998263999999999
CD29FC,MText,"Rge. 3",D-TXT,13.998263999999999
CD29FD,MText,"Rge. 2",D-TXT,13.998263999999999
CD29FE,MText,"Rge. 3",D-TXT,13.998263999999999
CD2A0C,MText,"Twp. 41",D-TXT,13.998263999999999
CD2A0D,MText,"Twp. 42",D-TXT,13.998263999999999
CD2A0E,MText,"Twp. 41",D-TXT,13.998263999999999
CD2A0F,MText,"Twp. 42",D-TXT,13.998263999999999
CD2A10,MText,"Twp. 41",D-TXT,13.998263999999999
CD2A11,MText,"Twp. 42",D-TXT,13.998263999999999
CD2A12,MText,"Twp. 41",D-TXT,13.998263999999999
CD2A13,MText,"Twp. 42",D-TXT,13.998263999999999
CD2A14,MText,"Twp. 41",D-TXT,13.998263999999999
CD2A15,MText,"Twp. 42",D-TXT,13.998263999999999
CD3316,MText,"I3 Energy 6-21",F-WS-T,9.99876
CD3C58,MText,"Taqa 14-21",F-WS-T,9.99876
CD3C59,AlignedDimension,"Taqa  A/R",F-AR-T,Compass 5 000
CD6A77,MText,"New North 14-21",F-WS-T,9.99876
CD737F,BlockReference,"GAS",F-WS-S,4.99938
CD7380,MText,"Journey 3-33",F-WS-T,9.99876
CD7383,BlockReference,"GABD",F-WS-S,4.99938
CD7384,MText,"6-33 (Abd.)",F-WS-T,9.99876
CD7387,BlockReference,"GABD",F-WS-S,4.99938
CD7388,MText,"Journey 6-33 (Abd.)",F-WS-T,9.99876
CD7397,AlignedDimension,"Journey  A/R",F-AR-T,Compass 5 000
CD7CD0,MText,"Journey 16-33",F-WS-T,9.99876
CD7CD1,AlignedDimension,"Journey  A/R",F-AR-T,Compass 5 000
CD860F,MText,"Ponoka County",L-33,11.998512000000037
CD8611,MText,"Lacombe County",L-33,11.998512000000037
CD8613,MText,"Ponoka County",L-33,11.998512000000037
CD8615,MText,"Lacombe County",L-33,11.998512000000037
CD8617,MText,"Ponoka County",L-33,11.998512000000037
CD8619,MText,"Lacombe County",L-33,11.998512000000037
CD861B,MText,"Ponoka County",L-33,11.998512000000037
CD861D,MText,"Lacombe County",L-33,11.998512000000037
CD861F,MText,"Ponoka County",L-33,11.998512000000037
CD8621,MText,"Lacombe County",L-33,11.998512000000037
CD9858,MText,"Taqa 13-34",F-WS-T,9.99876
CD9859,AlignedDimension,"Taqa  A/R",F-AR-T,Compass 5 000
CD9887,BlockReference,"GABD",F-WS-S,4.99938
CD9888,MText,"Provident 12-34 (Abd.)",F-WS-T,9.99876
CDAACA,AlignedDimension,"Journey  A/R",F-AR-T,Compass 5 000
CDAAE8,MText,"Journey 11-34",F-WS-T,9.99876
CDD892,MText,"Journey 3-3",F-WS-T,9.99876
CDD893,MText,"Journey 4-3",F-WS-T,9.99876
CDD894,AlignedDimension,"Journey  A/R",F-AR-T,Compass 5 000
CDD8B2,AlignedDimension,"Journey  A/R",F-AR-T,Compass 5 000
CDE21B,AlignedDimension,"Journey  A/R",F-AR-T,Compass 5 000
CDE239,MText,"Journey 7-3",F-WS-T,9.99876
CDEB77,AlignedDimension,"Mancal  A/R",F-AR-T,Compass 5 000
CDEB93,MText,"Mancal 6-2",F-WS-T,9.99876
CDF4D3,MText,"Mancal 12-2",F-WS-T,9.99876
CDFE41,BlockReference,"GABD",F-WS-S,4.99938
CDFE42,MText,"14-2 (Abd.)",F-WS-T,9.99876
CDFE4E,AlignedDimension,"Taqa  A/R",F-AR-T,Compass 5 000
CDFE6D,MText,"Taqa 3-11",F-WS-T,9.99876
CDFE7B,MText,"Taqa 1-10",F-WS-T,9.99876
CE07B1,MText,"Taqa 7-11",F-WS-T,9.99876
CE07B2,AlignedDimension,"Taqa  A/R",F-AR-T,Compass 5 000
CE11FF,BlockReference,"GABD",F-WS-S,4.99938
CE1200,MText,"14-11 (Abd.)",F-WS-T,9.99876
CE1B2E,BlockReference,"GABD",F-WS-S,4.99938
CE1B2F,MText,"10-11 (Abd.)",F-WS-T,9.99876
CE1B40,MText,"Taqa 1-14",F-WS-T,9.99876
CE1B41,AlignedDimension,"Taqa  A/R",F-AR-T,Compass 5 000
CE249E,MText,"Mancal 5-13",F-WS-T,9.99876
CE249F,AlignedDimension,"Mancal  A/R",F-AR-T,Compass 5 000
CE24D3,MText,"Mancal 10-13",F-WS-T,9.99876
CE24D4,AlignedDimension,"Mancal  A/R",F-AR-T,Compass 5 000
CE2E44,AlignedDimension,"Mancal  A/R",F-AR-T,Compass 5 000
CE2E60,MText,"Mancal 1-13",F-WS-T,9.99876
CE37AD,MText,"CNRL 6-18",F-WS-T,9.99876
CE37AE,AlignedDimension,"CNRL  A/R",F-AR-T,Compass 5 000
CE37E1,BlockReference,"GABD",F-WS-S,4.99938
CE37E2,MText,"6-18 (Abd.)",F-WS-T,9.99876
CE4122,MText,"Mancal 13-18",F-WS-T,9.99876
CE413B,AlignedDimension,"Mancal  A/R",F-AR-T,Compass 5 000
CE4AA7,MText,"Taqa 12-19",F-WS-T,9.99876
CE4AAC,MText,"Taqa 1-24",F-WS-T,9.99876
CE6821,MText,"Lot 1 Block 1 Plan 122 4276",L-TITLEDB-T,9.999999999999986
CE6823,MText,"Lot 1 Plan 962 2885",L-TITLEDB-T,9.999999999999986
CE6825,MText,"Lot 1 Plan 982 2039",L-TITLEDB-T,9.999999999999986
CE6827,MText,"Lot 1 Block 1 Plan 082 6146",L-TITLEDB-T,9.999999999999986
CE6829,MText,"Lot 1 Plan 992 4509",L-TITLEDB-T,9.999999999999986
CE682D,MText,"Lot 1 Block 1 Plan 132 1503",L-TITLEDB-T,9.999999999999986
CE682F,MText,"Lot 4 Block 1 Plan 102 4221",L-TITLEDB-T,9.999999999999986
CE6831,MText,"Lot C Plan 782 0371",L-TITLEDB-T,9.999999999999986
CE6833,MText,"Lot 2 Block 1 Plan 084 0376",L-TITLEDB-T,9.999999999999986
