Handle,ObjType,Content,Layer,Extra
822853,BlockReference,"L-SECLBL",L-SECLBL,1
825469,BlockReference,"L-SECLBL",L-SECLBL,0.999485000000012
8254A8,BlockReference,"L-SECLBL",L-SECLBL,0.999485000000012
8254E7,BlockReference,"L-SECLBL",L-SECLBL,0.999485000000012
825526,BlockReference,"L-SECLBL",L-SECLBL,0.999485000000012
826885,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000094
826886,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000094
826887,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000094
826888,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000094
826889,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000094
82688A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000094
837F83,MText,"35cm Poplar & Spruce",T-BUSH-T,9.98965267799993
837FCD,MText,"35cm Poplar & Spruce",T-BUSH-T,9.98965267799993
839F5D,AlignedDimension,"Paramount  A/R  1368",F-AR-T,Compass 5 000
839F79,AlignedDimension,"Murphy  Access R/W  862 1718  851574",C-RW-T,Compass 5 000
83B2F9,MText,"Alphabow 10-31 (Surface) MSL 1217",F-WS-T,9.994850000000104
83B358,AlignedDimension,"N7 Energy  P/L R/W  862 1718  850866",F-RW-T,Compass 5 000
83B3ED,AlignedDimension,"Blue Ridge   A/R   781064",F-AR-T,Compass 5 000
83B4ED,AlignedDimension,"Blue Ridge   A/R   781064",F-AR-T,Compass 5 000
83B514,AlignedDimension,"Blue Ridge   A/R   781064",F-AR-T,Compass 5 000
83CD09,BlockReference,"MUSK",T-GENERAL,4.997425000000054
83CD0A,BlockReference,"MUSK",T-GENERAL,4.997425000000054
83CD0B,BlockReference,"MUSK",T-GENERAL,4.997425000000054
83CD0F,BlockReference,"MUSK",T-GENERAL,5.000000000000043
83CD10,BlockReference,"MUSK",T-GENERAL,5.000000000000043
83CD11,BlockReference,"MUSK",T-GENERAL,5.000000000000043
83CD12,MText,"Pond",T-WATER-P3,9.999999999999972
83CD14,BlockReference,"MUSK",T-GENERAL,4.999999999999986
83CD15,BlockReference,"MUSK",T-GENERAL,4.999999999999986
83CD17,BlockReference,"MUSK",T-GENERAL,4.999999999999986
83CD18,BlockReference,"MUSK",T-GENERAL,4.999999999999986
83CD19,BlockReference,"MUSK",T-GENERAL,4.999999999999986
83CD1A,MText,"Open Muskeg (Wet)",AS-GENERAL,7.99999999999995
83CD1E,MText,"Muskeg",T-TEXT,9.994850000000108
